Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	59.736787268	59.935473599	11220.207	19271.656	14531.250	14625.000	-81.42	0.1987	8051.449	14531.250	59.8293		SA	A	0	SB
2	Spectrogram 1	1	59.751782463	59.751782463	11640.965	11640.965	11625.000	11625.000	-74.48	0.0000	0.000	11625.000	59.7493	FI				
3	Spectrogram 1	1	59.927976001	59.927976001	18605.600	18605.600	18562.500	18562.500	-77.09	0.0000	0.000	18562.500	59.9253	FF				
4	Spectrogram 1	1	60.130411131	60.280363079	12290.972	20635.302	16312.500	15562.500	-80.09	0.1500	8344.330	16312.500	60.2240		SA	A	0	SB
5	Spectrogram 1	1	60.145406326	60.145406326	12967.540	12967.540	12937.500	12937.500	-83.43	0.0000	0.000	12937.500	60.1440	FI				
6	Spectrogram 1	1	60.272865481	60.272865481	20071.496	20071.496	20062.500	20062.500	-83.85	0.0000	0.000	20062.500	60.2720	FF				
7	Spectrogram 1	1	64.271024589	64.612165270	10712.315	23454.333	11531.250	12000.000	-78.42	0.3411	12742.017	11531.250	64.3733		SA	A	0	SB
8	Spectrogram 1	1	64.282270985	64.282270985	11276.121	11276.121	11250.000	11250.000	-95.47	0.0000	0.000	11250.000	64.2827	FI				
9	Spectrogram 1	1	64.597170076	64.597170076	22890.526	22890.526	22875.000	22875.000	-80.87	0.0000	0.000	22875.000	64.5973	FF				
10	Spectrogram 1	1	187.473673328	187.953519560	7103.956	22665.004	9750.000	12937.500	-87.60	0.4798	15561.048	9750.000	187.5200		SA	A	0	SB
11	Spectrogram 1	1	187.488668522	187.488668522	8006.046	8006.046	7968.750	7968.750	-90.92	0.0000	0.000	7968.750	187.4880	FI				
12	Spectrogram 1	1	187.942273164	187.942273164	22101.198	22101.198	22125.000	22125.000	-88.24	0.0000	0.000	22125.000	187.9413	FF				
13	Spectrogram 1	1	356.245902409	356.590791889	6089.106	21762.914	16500.000	13500.000	-86.01	0.3449	15673.809	16500.000	356.4907		SA	A	0	SB
