Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	1.233354770	1.548253860	11165.775	19379.679	18000.000	15000.000	-83.26	0.3149	8213.904	18000.000	1.4427		SA	A	0	SB
2	Spectrogram 1	1	1.252098764	1.252098764	11807.487	11807.487	11812.500	11812.500	-78.02	0.0000	0.000	11812.500	1.2533	FI				
3	Spectrogram 1	1	1.525761068	1.525761068	18866.310	18866.310	18937.500	18937.500	-78.49	0.0000	0.000	18937.500	1.5253	FF				
4	Spectrogram 1	1	2.789106228	3.160237299	8085.561	19893.048	13312.500	13125.000	-81.69	0.3711	11807.487	13312.500	2.9840		SA	A	0	SB
5	Spectrogram 1	1	2.815347819	2.815347819	8598.930	8598.930	8625.000	8625.000	-76.95	0.0000	0.000	8625.000	2.8160	FI				
6	Spectrogram 1	1	3.148990903	3.148990903	19508.021	19508.021	19500.000	19500.000	-92.43	0.0000	0.000	19500.000	3.1493	FF				
7	Spectrogram 1	1	15.806619039	16.166503714	7957.219	19764.706	11625.000	12187.500	-83.68	0.3599	11807.487	11625.000	15.9360		SA	A	0	SB
8	Spectrogram 1	1	15.832860630	15.832860630	8213.904	8213.904	8250.000	8250.000	-74.14	0.0000	0.000	8250.000	15.8320	FI				
9	Spectrogram 1	1	16.162754915	16.162754915	18994.652	18994.652	18937.500	18937.500	-85.15	0.0000	0.000	18937.500	16.1627	FF				
10	Spectrogram 1	1	62.660762646	63.001903328	7315.508	19251.337	9750.000	12187.500	-84.00	0.3411	11935.829	9750.000	62.6667		SA	A	0	SB
11	Spectrogram 1	1	62.679506640	62.679506640	7828.877	7828.877	7875.000	7875.000	-76.97	0.0000	0.000	7875.000	62.6800	FI				
12	Spectrogram 1	1	62.986908133	62.986908133	18352.941	18352.941	18375.000	18375.000	-79.73	0.0000	0.000	18375.000	62.9867	FF				
13	Spectrogram 1	1	21.360929870	21.660833765	9497.326	20278.075	12000.000	12750.000	-83.56	0.2999	10780.749	12000.000	21.4267		SA	A	0	SB
14	Spectrogram 1	1	21.383422662	21.383422662	10267.380	10267.380	10312.500	10312.500	-72.60	0.0000	0.000	10312.500	21.3840	FI				
15	Spectrogram 1	1	21.649587369	21.649587369	19636.364	19636.364	19687.500	19687.500	-82.87	0.0000	0.000	19687.500	21.6507	FF				
16	Spectrogram 1	1	57.178516467	57.512159551	10909.091	16171.123	15000.000	13687.500	-80.56	0.3336	5262.032	15000.000	57.3280		SA	A	0	SB
17	Spectrogram 1	1	57.212255656	57.212255656	11165.775	11165.775	11250.000	11250.000	-68.15	0.0000	0.000	11250.000	57.2133	FI				
18	Spectrogram 1	1	57.485917960	57.485917960	15786.096	15786.096	15750.000	15750.000	-76.18	0.0000	0.000	15750.000	57.4853	FF				
19	Spectrogram 1	1	57.969512992	58.276914485	10010.695	17069.519	11437.500	13125.000	-81.49	0.3074	7058.824	11437.500	57.9947		SA	A	0	SB
20	Spectrogram 1	1	57.992005784	57.992005784	11037.433	11037.433	11062.500	11062.500	-87.36	0.0000	0.000	11062.500	57.9920	FI				
21	Spectrogram 1	1	58.273165686	58.273165686	16299.465	16299.465	16312.500	16312.500	-80.23	0.0000	0.000	16312.500	58.2720	FF				
22	Spectrogram 1	1	133.559930816	134.054772243	9754.011	19764.706	13125.000	13312.500	-81.89	0.4948	10010.695	13125.000	133.7653		SA	A	0	SB
23	Spectrogram 1	1	133.593670004	133.593670004	10139.037	10139.037	10125.000	10125.000	-73.55	0.0000	0.000	10125.000	133.5947	FI				
24	Spectrogram 1	1	134.047274646	134.047274646	19122.995	19122.995	19125.000	19125.000	-93.91	0.0000	0.000	19125.000	134.0480	FF				
25	Spectrogram 1	1	298.845424762	299.261541417	7572.193	14374.332	13500.000	11625.000	-79.57	0.4161	6802.139	13500.000	299.1947		SA	A	0	SB
26	Spectrogram 1	1	298.860419956	298.860419956	7957.219	7957.219	7875.000	7875.000	-82.65	0.0000	0.000	7875.000	298.8613	FI				
27	Spectrogram 1	1	299.246546222	299.246546222	13860.963	13860.963	13875.000	13875.000	-82.21	0.0000	0.000	13875.000	299.2453	FF				
28	Spectrogram 1	1	351.058136375	351.305557088	5390.374	24128.342	13500.000	9562.500	-81.25	0.2474	18737.968	13500.000	351.1520		SA	A	0	SB
29	Spectrogram 1	1	351.073131569	351.073131569	6032.086	6032.086	6000.000	6000.000	-70.78	0.0000	0.000	6000.000	351.0720	FI				
30	Spectrogram 1	1	351.294310692	351.294310692	23614.973	23614.973	23625.000	23625.000	-83.53	0.0000	0.000	23625.000	351.2933	FF				
31	Spectrogram 1	1	474.056688019	474.461558278	8983.957	18096.257	14250.000	13312.500	-80.07	0.4049	9112.300	14250.000	474.1920		NA	A	0	SB
32	Spectrogram 1	1	474.071683214	474.071683214	9368.984	9368.984	9375.000	9375.000	-74.61	0.0000	0.000	9375.000	474.0720	FI				
33	Spectrogram 1	1	474.450311882	474.450311882	17326.203	17326.203	17250.000	17250.000	-86.78	0.0000	0.000	17250.000	474.4507	FF				
34	Spectrogram 1	1	555.679180184	556.012823268	7443.850	15272.727	9000.000	10312.500	-81.78	0.3336	7828.877	9000.000	555.7893		SA	A	0	SB
35	Spectrogram 1	1	555.701672976	555.701672976	7957.219	7957.219	7875.000	7875.000	-83.08	0.0000	0.000	7875.000	555.7013	FI				
36	Spectrogram 1	1	555.997828073	555.997828073	14374.332	14374.332	14437.500	14437.500	-89.47	0.0000	0.000	14437.500	555.9973	FF				
37	Spectrogram 1	1	714.422796721	714.838913376	9112.299	22074.866	11812.500	13125.000	-83.16	0.4161	12962.567	11812.500	714.6587		SA	A	0	SB
38	Spectrogram 1	1	714.445289513	714.445289513	10010.695	10010.695	9937.500	9937.500	-91.33	0.0000	0.000	9937.500	714.4453	FI				
39	Spectrogram 1	1	714.831415779	714.831415779	21561.497	21561.497	21562.500	21562.500	-84.49	0.0000	0.000	21562.500	714.8320	FF				
40	Spectrogram 1	1	715.356247596	715.727378667	10652.406	22716.578	11812.500	15562.500	-82.78	0.3711	12064.172	11812.500	715.5840		SA	A	0	SB
41	Spectrogram 1	1	715.382489187	715.382489187	11165.775	11165.775	11250.000	11250.000	-84.81	0.0000	0.000	11250.000	715.3813	FI				
42	Spectrogram 1	1	715.708634673	715.708634673	22074.866	22074.866	22125.000	22125.000	-83.63	0.0000	0.000	22125.000	715.7093	FF				
43	Spectrogram 1	1	771.150577439	771.397998152	8213.904	16042.781	12187.500	11437.500	-81.78	0.2474	7828.877	12187.500	771.2880		SA	A	0	SB
44	Spectrogram 1	1	771.173070231	771.173070231	8598.930	8598.930	8625.000	8625.000	-82.63	0.0000	0.000	8625.000	771.1733	FI				
45	Spectrogram 1	1	771.390500555	771.390500555	15529.412	15529.412	15562.500	15562.500	-74.14	0.0000	0.000	15562.500	771.3893	FF				
46	Spectrogram 1	1	773.549808602	773.857210095	8342.246	17839.572	12187.500	12187.500	-79.56	0.3074	9497.326	12187.500	773.6453		SA	A	0	SB
47	Spectrogram 1	1	773.579798992	773.579798992	8727.273	8727.273	8812.500	8812.500	-62.61	0.0000	0.000	8812.500	773.5787	FI				
48	Spectrogram 1	1	773.838466102	773.838466102	17069.519	17069.519	17062.500	17062.500	-75.99	0.0000	0.000	17062.500	773.8373	FF				
49	Spectrogram 1	1	902.752821819	903.105208896	6673.797	21048.128	19500.000	18000.000	-79.30	0.3524	14374.331	19500.000	902.9813		SA	A	0	SB
50	Spectrogram 1	1	902.786561007	902.786561007	7187.166	7187.166	7125.000	7125.000	-86.14	0.0000	0.000	7125.000	902.7867	FI				
51	Spectrogram 1	1	903.097711299	903.097711299	20791.444	20791.444	20812.500	20812.500	-90.36	0.0000	0.000	20812.500	903.0987	FF				
52	Spectrogram 1	1	923.922970074	924.177888385	9368.984	20791.444	10875.000	12375.000	-82.28	0.2549	11422.460	10875.000	924.0080		SA	A	0	SB
53	Spectrogram 1	1	923.945462866	923.945462866	9497.326	9497.326	9562.500	9562.500	-81.95	0.0000	0.000	9562.500	923.9467	FI				
54	Spectrogram 1	1	924.166641989	924.166641989	20021.390	20021.390	20062.500	20062.500	-86.20	0.0000	0.000	20062.500	924.1653	FF				
55	Spectrogram 1	1	924.616497832	924.946392117	8983.957	22716.578	11062.500	11625.000	-82.39	0.3299	13732.621	11062.500	924.7280		SA	A	0	SB
56	Spectrogram 1	1	924.638990624	924.638990624	9368.984	9368.984	9375.000	9375.000	-72.92	0.0000	0.000	9375.000	924.6400	FI				
57	Spectrogram 1	1	924.927648123	924.927648123	22203.209	22203.209	22125.000	22125.000	-85.95	0.0000	0.000	22125.000	924.9280	FF				
58	Spectrogram 1	1	928.870815733	929.140729239	9754.011	22588.235	11437.500	13125.000	-81.80	0.2699	12834.224	11437.500	928.9253		SA	A	0	SB
59	Spectrogram 1	1	928.893308526	928.893308526	10139.037	10139.037	10125.000	10125.000	-75.73	0.0000	0.000	10125.000	928.8933	FI				
60	Spectrogram 1	1	929.125734045	929.125734045	21818.182	21818.182	21750.000	21750.000	-77.14	0.0000	0.000	21750.000	929.1253	FF				
61	Spectrogram 1	1	929.549348297	929.830508199	9754.011	21946.524	11625.000	12375.000	-82.68	0.2812	12192.513	11625.000	929.6347		SA	A	0	SB
62	Spectrogram 1	1	929.575589888	929.575589888	10010.695	10010.695	9937.500	9937.500	-79.71	0.0000	0.000	9937.500	929.5760	FI				
63	Spectrogram 1	1	929.808015407	929.808015407	21048.128	21048.128	21000.000	21000.000	-78.87	0.0000	0.000	21000.000	929.8080	FF				
64	Spectrogram 1	1	966.357002936	966.641911637	9112.299	16684.492	15375.000	14625.000	-80.32	0.2849	7572.193	15375.000	966.5173		SA	A	0	SB
