Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	661.863148431	662.193042717	9112.299	23486.631	10500.000	12187.500	-80.36	0.3299	14374.332	10500.000	661.9253		SA	A	0	SB
2	Spectrogram 1	1	661.900636418	661.900636418	9754.011	9754.011	9750.000	9750.000	-79.58	0.0000	0.000	9750.000	661.9013	FI				
3	Spectrogram 1	1	662.185545119	662.185545119	22588.235	22588.235	22500.000	22500.000	-90.46	0.0000	0.000	22500.000	662.1867	FF				
4	Spectrogram 1	1	677.633075900	678.000458172	8983.957	22203.209	12937.500	12937.500	-80.70	0.3674	13219.252	12937.500	677.8507		SA	A	0	SB
5	Spectrogram 1	1	677.640573498	677.640573498	9368.984	9368.984	9375.000	9375.000	-74.75	0.0000	0.000	9375.000	677.6400	FI				
6	Spectrogram 1	1	677.981714179	677.981714179	20919.786	20919.786	21000.000	21000.000	-82.16	0.0000	0.000	21000.000	677.9813	FF				
7	Spectrogram 1	1	698.139714138	698.409627644	9497.326	23871.658	13687.500	13875.000	-78.86	0.2699	14374.332	13687.500	698.1840		SA	A	0	SB
8	Spectrogram 1	1	698.169704528	698.169704528	10524.064	10524.064	10500.000	10500.000	-83.70	0.0000	0.000	10500.000	698.1707	FI				
9	Spectrogram 1	1	698.405878845	698.405878845	23229.947	23229.947	23250.000	23250.000	-93.56	0.0000	0.000	23250.000	698.4053	FF				
10	Spectrogram 1	1	692.120559123	692.536675778	17326.203	29903.743	22312.500	22125.000	-81.81	0.4161	12577.540	22312.500	692.3040		SA	A	0	SB
11	Spectrogram 1	1	692.143051916	692.143051916	18866.310	18866.310	18937.500	18937.500	-83.44	0.0000	0.000	18937.500	692.1440	FI				
12	Spectrogram 1	1	692.521680584	692.521680584	28491.979	28491.979	28500.000	28500.000	-91.30	0.0000	0.000	28500.000	692.5227	FF				
13	Spectrogram 1	1	691.910626397	692.090568734	4363.636	18737.968	5437.500	7125.000	-77.12	0.1799	14374.332	5437.500	691.9573		SA	A	0	SB
14	Spectrogram 1	1	691.929370390	691.929370390	4491.979	4491.979	4500.000	4500.000	-71.74	0.0000	0.000	4500.000	691.9307	FI				
15	Spectrogram 1	1	692.075573539	692.075573539	17967.914	17967.914	18000.000	18000.000	-74.34	0.0000	0.000	18000.000	692.0747	FF				
16	Spectrogram 1	1	703.934356574	704.245506865	15144.385	29390.374	21000.000	22125.000	-83.12	0.3112	14245.989	21000.000	703.9947		SA	A	0	SB
17	Spectrogram 1	1	703.956849366	703.956849366	17069.519	17069.519	17062.500	17062.500	-74.84	0.0000	0.000	17062.500	703.9573	FI				
18	Spectrogram 1	1	704.215516476	704.215516476	28235.294	28235.294	28312.500	28312.500	-70.44	0.0000	0.000	28312.500	704.2160	FF				
19	Spectrogram 1	1	795.972822548	796.156513684	5775.401	18224.599	9375.000	10125.000	-76.56	0.1837	12449.198	9375.000	796.0347		SA	A	0	SB
20	Spectrogram 1	1	795.999064139	795.999064139	6417.112	6417.112	6375.000	6375.000	-63.36	0.0000	0.000	6375.000	796.0000	FI				
