Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	0.275683302	0.646795439	6288.770	17582.888	11062.500	11250.000	-77.94	0.3711	11294.118	11062.500	0.5547		SA	A	0	SB
2	Spectrogram 1	1	0.318096117	0.318096117	6545.455	6545.455	6562.500	6562.500	-72.37	0.0000	0.000	6562.500	0.3173	FI				
3	Spectrogram 1	1	0.636192235	0.636192235	16171.123	16171.123	16125.000	16125.000	-78.38	0.0000	0.000	16125.000	0.6373	FF				
4	Spectrogram 1	1	1.314797285	1.707115830	8855.615	13475.936	11812.500	11437.500	-76.92	0.3923	4620.321	11812.500	1.5787		SA	A	0	SB
5	Spectrogram 1	1	1.357210101	1.357210101	9368.984	9368.984	9375.000	9375.000	-75.94	0.0000	0.000	9375.000	1.3573	FI				
6	Spectrogram 1	1	1.685909422	1.685909422	13090.909	13090.909	13125.000	13125.000	-83.61	0.0000	0.000	13125.000	1.6853	FF				
7	Spectrogram 1	1	2.656102580	3.053722726	14374.332	19251.337	16312.500	16687.500	-63.97	0.3976	4877.005	16312.500	2.8053		SA	A	0	SB
8	Spectrogram 1	1	2.693213793	2.693213793	14631.016	14631.016	14625.000	14625.000	-74.38	0.0000	0.000	14625.000	2.6933	FI				
9	Spectrogram 1	1	3.043119522	3.043119522	18609.626	18609.626	18562.500	18562.500	-79.22	0.0000	0.000	18562.500	3.0427	FF				
10	Spectrogram 1	1	7.858868711	8.293600072	8342.246	20791.444	17437.500	15750.000	-73.59	0.4347	12449.198	17437.500	8.1733		SA	A	0	SB
11	Spectrogram 1	1	7.906583129	7.906583129	8727.273	8727.273	8812.500	8812.500	-75.51	0.0000	0.000	8812.500	7.9067	FI				
12	Spectrogram 1	1	8.288298470	8.288298470	19764.706	19764.706	19687.500	19687.500	-88.84	0.0000	0.000	19687.500	8.2880	FF				
13	Spectrogram 1	1	8.749537840	9.152459588	8342.246	20021.390	17812.500	15375.000	-73.49	0.4029	11679.144	17812.500	9.0880		SA	A	0	SB
14	Spectrogram 1	1	8.802553859	8.802553859	8983.957	8983.957	9000.000	9000.000	-67.26	0.0000	0.000	9000.000	8.8027	FI				
15	Spectrogram 1	1	9.141856384	9.141856384	19122.995	19122.995	19125.000	19125.000	-76.78	0.0000	0.000	19125.000	9.1413	FF				
16	Spectrogram 1	1	10.202176775	10.520272893	9754.011	22074.866	12375.000	13687.500	-78.91	0.3181	12320.855	12375.000	10.5120		NA	A	0	SB
17	Spectrogram 1	1	10.228684785	10.228684785	10524.064	10524.064	10500.000	10500.000	-69.79	0.0000	0.000	10500.000	10.2293	FI				
18	Spectrogram 1	1	10.504368087	10.504368087	21433.155	21433.155	21375.000	21375.000	-82.41	0.0000	0.000	21375.000	10.5040	FF				
19	Spectrogram 1	1	21.119623855	21.453624779	8855.615	21433.155	12000.000	14437.500	-79.21	0.3340	12577.540	12000.000	21.2373		SA	A	0	SB
20	Spectrogram 1	1	21.130227059	21.130227059	9497.326	9497.326	9562.500	9562.500	-72.79	0.0000	0.000	9562.500	21.1307	FI				
21	Spectrogram 1	1	21.432418371	21.432418371	20919.786	20919.786	21000.000	21000.000	-71.80	0.0000	0.000	21000.000	21.4320	FF				
22	Spectrogram 1	1	24.046108135	24.480839495	4877.005	22844.920	15750.000	15375.000	-71.52	0.4347	17967.915	15750.000	24.2267		SA	A	0	SB
23	Spectrogram 1	1	24.088520950	24.088520950	5518.717	5518.717	5437.500	5437.500	-65.87	0.0000	0.000	5437.500	24.0880	FI				
24	Spectrogram 1	1	24.470236291	24.470236291	22203.209	22203.209	22125.000	22125.000	-75.91	0.0000	0.000	22125.000	24.4693	FF				
25	Spectrogram 1	1	40.073852157	40.524488323	8470.588	25411.765	12000.000	14625.000	-79.20	0.4506	16941.177	12000.000	40.1493		SA	A	0	SB
26	Spectrogram 1	1	40.095058565	40.095058565	8855.615	8855.615	8812.500	8812.500	-70.10	0.0000	0.000	8812.500	40.0960	FI				
27	Spectrogram 1	1	40.513885119	40.513885119	24256.684	24256.684	24187.500	24187.500	-88.75	0.0000	0.000	24187.500	40.5147	FF				
28	Spectrogram 1	1	95.481085290	96.096071116	8727.273	20021.390	15562.500	15375.000	-76.83	0.6150	11294.117	15562.500	95.6533		SA	A	0	SB
29	Spectrogram 1	1	95.528799707	95.528799707	9112.299	9112.299	9187.500	9187.500	-81.03	0.0000	0.000	9187.500	95.5280	FI				
30	Spectrogram 1	1	96.064261505	96.064261505	18994.652	18994.652	18937.500	18937.500	-85.14	0.0000	0.000	18937.500	96.0640	FF				
31	Spectrogram 1	1	96.530802477	96.954930633	8983.957	20406.417	15375.000	15187.500	-78.91	0.4241	11422.460	15375.000	96.7787		SA	A	0	SB
32	Spectrogram 1	1	96.567913690	96.567913690	9112.299	9112.299	9187.500	9187.500	-75.09	0.0000	0.000	9187.500	96.5680	FI				
33	Spectrogram 1	1	96.933724225	96.933724225	20021.390	20021.390	20062.500	20062.500	-81.99	0.0000	0.000	20062.500	96.9333	FF				
34	Spectrogram 1	1	97.596424470	97.903917383	4491.979	7572.193	5625.000	5625.000	-72.88	0.3075	3080.214	5625.000	97.7093		SA	A	0	SB
35	Spectrogram 1	1	97.628234081	97.628234081	5005.348	5005.348	5062.500	5062.500	-66.21	0.0000	0.000	5062.500	97.6293	FI				
36	Spectrogram 1	1	97.882710975	97.882710975	7058.824	7058.824	7125.000	7125.000	-72.25	0.0000	0.000	7125.000	97.8827	FF				
37	Spectrogram 1	1	100.562073833	101.055122814	6160.428	20791.444	9187.500	11437.500	-76.01	0.4930	14631.016	9187.500	100.6720		SA	A	0	SB
38	Spectrogram 1	1	100.593883444	100.593883444	6673.797	6673.797	6750.000	6750.000	-73.10	0.0000	0.000	6750.000	100.5947	FI				
39	Spectrogram 1	1	101.033916407	101.033916407	20021.390	20021.390	20062.500	20062.500	-73.64	0.0000	0.000	20062.500	101.0347	FF				
40	Spectrogram 1	1	107.532609839	107.877213966	4620.321	6930.481	5062.500	5437.500	-71.64	0.3446	2310.160	5062.500	107.6240		SA	A	0	SB
41	Spectrogram 1	1	107.569721053	107.569721053	4877.005	4877.005	4875.000	4875.000	-71.06	0.0000	0.000	4875.000	107.5707	FI				
42	Spectrogram 1	1	107.850705957	107.850705957	6545.455	6545.455	6562.500	6562.500	-73.82	0.0000	0.000	6562.500	107.8507	FF				
43	Spectrogram 1	1	112.612653855	112.973162788	5647.059	9240.642	7312.500	7125.000	-68.93	0.3605	3593.583	7312.500	112.8107		SA	A	0	SB
44	Spectrogram 1	1	112.639161865	112.639161865	6160.428	6160.428	6187.500	6187.500	-60.82	0.0000	0.000	6187.500	112.6400	FI				
45	Spectrogram 1	1	112.957257982	112.957257982	8598.930	8598.930	8625.000	8625.000	-68.03	0.0000	0.000	8625.000	112.9573	FF				
46	Spectrogram 1	1	113.232941284	113.598751819	5390.374	17454.545	15562.500	13312.500	-73.67	0.3658	12064.171	15562.500	113.4773		SA	A	0	SB
47	Spectrogram 1	1	113.264750896	113.264750896	6160.428	6160.428	6187.500	6187.500	-72.58	0.0000	0.000	6187.500	113.2640	FI				
48	Spectrogram 1	1	113.577545411	113.577545411	16812.834	16812.834	16875.000	16875.000	-75.76	0.0000	0.000	16875.000	113.5787	FF				
49	Spectrogram 1	1	115.956729309	116.380857466	6802.139	18609.626	9562.500	11812.500	-73.47	0.4241	11807.487	9562.500	116.1467		SA	A	0	SB
50	Spectrogram 1	1	115.983237319	115.983237319	7187.166	7187.166	7125.000	7125.000	-63.30	0.0000	0.000	7125.000	115.9840	FI				
51	Spectrogram 1	1	116.364952660	116.364952660	18096.257	18096.257	18187.500	18187.500	-78.97	0.0000	0.000	18187.500	116.3653	FF				
52	Spectrogram 1	1	120.407749619	120.747052144	9368.984	19764.706	9375.000	12750.000	-72.97	0.3393	10395.722	9375.000	120.4347		SA	A	0	SB
53	Spectrogram 1	1	120.439559230	120.439559230	10010.695	10010.695	9937.500	9937.500	-64.31	0.0000	0.000	9937.500	120.4400	FI				
54	Spectrogram 1	1	120.741750542	120.741750542	18866.310	18866.310	18937.500	18937.500	-69.11	0.0000	0.000	18937.500	120.7413	FF				
55	Spectrogram 1	1	121.955817390	122.353437536	9112.299	20406.417	14437.500	14625.000	-75.07	0.3976	11294.118	14437.500	122.1947		SA	A	0	SB
56	Spectrogram 1	1	121.987627001	121.987627001	10010.695	10010.695	9937.500	9937.500	-71.94	0.0000	0.000	9937.500	121.9867	FI				
57	Spectrogram 1	1	122.348135934	122.348135934	18994.652	18994.652	18937.500	18937.500	-77.36	0.0000	0.000	18937.500	122.3493	FF				
58	Spectrogram 1	1	132.755842572	133.058033884	8983.957	19893.048	14437.500	14625.000	-74.10	0.3022	10909.091	14437.500	132.9173		SA	A	0	SB
59	Spectrogram 1	1	132.777048980	132.777048980	9754.011	9754.011	9750.000	9750.000	-65.73	0.0000	0.000	9750.000	132.7760	FI				
60	Spectrogram 1	1	133.047430680	133.047430680	19251.337	19251.337	19312.500	19312.500	-58.50	0.0000	0.000	19312.500	133.0480	FF				
