Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	1.722632229	2.046029949	13989.305	19508.021	16312.500	16312.500	-80.48	0.3234	5518.716	16312.500	1.8720		SA	A	0	SB
2	Spectrogram 1	1	1.733235433	1.733235433	14502.674	14502.674	14437.500	14437.500	-69.44	0.0000	0.000	14437.500	1.7333	FI				
3	Spectrogram 1	1	2.027474342	2.027474342	18481.283	18481.283	18562.500	18562.500	-84.07	0.0000	0.000	18562.500	2.0267	FF				
4	Spectrogram 1	1	2.398586479	2.573539343	12962.567	17967.914	14812.500	14812.500	-78.21	0.1750	5005.347	14812.500	2.5013		SA	A	0	SB
5	Spectrogram 1	1	2.411840484	2.411840484	13347.594	13347.594	13312.500	13312.500	-76.02	0.0000	0.000	13312.500	2.4107	FI				
6	Spectrogram 1	1	2.560285338	2.560285338	17069.519	17069.519	17062.500	17062.500	-91.75	0.0000	0.000	17062.500	2.5600	FF				
7	Spectrogram 1	1	56.116986025	56.411224934	12962.567	19508.021	15375.000	15375.000	-77.64	0.2942	6545.454	15375.000	56.2453		SA	A	0	SB
8	Spectrogram 1	1	56.135541632	56.135541632	13860.963	13860.963	13875.000	13875.000	-67.62	0.0000	0.000	13875.000	56.1360	FI				
9	Spectrogram 1	1	56.392669327	56.392669327	18609.626	18609.626	18562.500	18562.500	-76.22	0.0000	0.000	18562.500	56.3920	FF				
10	Spectrogram 1	1	68.780440093	69.074679001	6673.797	16042.781	10125.000	10312.500	-76.36	0.2942	9368.984	10125.000	68.9227		SA	A	0	SB
11	Spectrogram 1	1	68.809598903	68.809598903	7187.166	7187.166	7125.000	7125.000	-73.71	0.0000	0.000	7125.000	68.8107	FI				
12	Spectrogram 1	1	69.061424996	69.061424996	15144.385	15144.385	15187.500	15187.500	-71.17	0.0000	0.000	15187.500	69.0613	FF				
13	Spectrogram 1	1	86.080818544	86.409517865	9368.984	20406.417	15937.500	15750.000	-72.77	0.3287	11037.433	15937.500	86.2720		SA	A	0	SB
14	Spectrogram 1	1	86.096723349	86.096723349	10524.064	10524.064	10500.000	10500.000	-64.75	0.0000	0.000	10500.000	86.0960	FI				
15	Spectrogram 1	1	86.390962258	86.390962258	19508.021	19508.021	19500.000	19500.000	-90.62	0.0000	0.000	19500.000	86.3920	FF				
16	Spectrogram 1	1	92.696699426	93.120827582	8983.957	28877.005	9937.500	13875.000	-78.85	0.4241	19893.048	9937.500	92.9680		SA	A	0	SB
17	Spectrogram 1	1	92.712604232	92.712604232	9882.353	9882.353	9937.500	9937.500	-71.47	0.0000	0.000	9937.500	92.7120	FI				
18	Spectrogram 1	1	93.096970373	93.096970373	28491.979	28491.979	28500.000	28500.000	-90.76	0.0000	0.000	28500.000	93.0960	FF				
19	Spectrogram 1	1	96.871781729	97.152766633	9625.668	17839.572	9937.500	10687.500	-75.76	0.2810	8213.904	9937.500	96.9680		SA	A	0	SB
20	Spectrogram 1	1	96.890337336	96.890337336	9754.011	9754.011	9750.000	9750.000	-63.66	0.0000	0.000	9750.000	96.8907	FI				
21	Spectrogram 1	1	97.139512628	97.139512628	16427.807	16427.807	16500.000	16500.000	-67.05	0.0000	0.000	16500.000	97.1387	FF				
22	Spectrogram 1	1	104.069404343	104.318579634	7828.877	16171.123	9562.500	9937.500	-70.04	0.2492	8342.246	9562.500	104.1760		SA	A	0	SB
23	Spectrogram 1	1	104.082658347	104.082658347	8085.561	8085.561	8062.500	8062.500	-63.69	0.0000	0.000	8062.500	104.0827	FI				
24	Spectrogram 1	1	104.292071625	104.292071625	15401.070	15401.070	15375.000	15375.000	-61.67	0.0000	0.000	15375.000	104.2933	FF				
25	Spectrogram 1	1	105.882985789	106.240843921	12192.513	19379.679	15000.000	15375.000	-73.20	0.3579	7187.166	15000.000	105.9973		SA	A	0	SB
26	Spectrogram 1	1	105.898890595	105.898890595	12449.198	12449.198	12375.000	12375.000	-73.06	0.0000	0.000	12375.000	105.8987	FI				
27	Spectrogram 1	1	106.235542319	106.235542319	18481.283	18481.283	18562.500	18562.500	-76.52	0.0000	0.000	18562.500	106.2347	FF				
28	Spectrogram 1	1	127.609040999	127.920191290	7058.824	17197.861	14437.500	11062.500	-73.55	0.3112	10139.037	14437.500	127.7573		SA	A	0	SB
