Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	1386.570388680	1386.853270675	11037.433	22588.235	11250.000	14062.500	-78.67	0.2829	11550.802	11250.000	1386.5920		SA	A	0	SB
2	Spectrogram 1	1	1386.600767782	1386.600767782	11935.829	11935.829	12000.000	12000.000	-78.39	0.0000	0.000	12000.000	1386.6000	FI				
3	Spectrogram 1	1	1386.818133462	1386.818133462	22074.866	22074.866	22125.000	22125.000	-91.42	0.0000	0.000	22125.000	1386.8187	FF				
4	Spectrogram 1	1	1405.866132297	1406.173625210	11037.433	20919.786	15750.000	13687.500	-77.41	0.3075	9882.353	15750.000	1405.9627		SA	A	0	SB
5	Spectrogram 1	1	1405.908545112	1405.908545112	11550.802	11550.802	11625.000	11625.000	-87.97	0.0000	0.000	11625.000	1405.9093	FI				
6	Spectrogram 1	1	1406.157720404	1406.157720404	20685.083	20685.083	20625.000	20625.000	-89.02	0.0000	0.000	20625.000	1406.1573	FF				
7	Spectrogram 1	1	1412.854135326	1413.219945861	10652.406	21561.497	13125.000	13312.500	-78.77	0.3658	10909.091	13125.000	1413.0213		SA	A	0	SB
8	Spectrogram 1	1	1412.891246540	1412.891246540	10780.749	10780.749	10687.500	10687.500	-77.89	0.0000	0.000	10687.500	1412.8907	FI				
9	Spectrogram 1	1	1413.188136249	1413.188136249	20791.444	20791.444	20812.500	20812.500	-85.53	0.0000	0.000	20812.500	1413.1893	FF				
10	Spectrogram 1	1	1428.802507661	1429.120603778	10267.380	21176.471	14250.000	13500.000	-77.18	0.3181	10909.091	14250.000	1428.9547		SA	A	0	SB
11	Spectrogram 1	1	1428.839618874	1428.839618874	10652.406	10652.406	10687.500	10687.500	-68.26	0.0000	0.000	10687.500	1428.8400	FI				
12	Spectrogram 1	1	1429.094095768	1429.094095768	20663.102	20663.102	20625.000	20625.000	-87.15	0.0000	0.000	20625.000	1429.0933	FF				
13	Spectrogram 1	1	1429.067587758	1429.375080672	14502.674	21946.524	15562.500	17062.500	-79.59	0.3075	7443.850	15562.500	1429.1307		NA	A	0	SB
14	Spectrogram 1	1	1429.104698972	1429.104698972	14887.701	14887.701	14812.500	14812.500	-70.65	0.0000	0.000	14812.500	1429.1040	FI				
15	Spectrogram 1	1	1429.348572662	1429.348572662	21689.840	21689.840	21750.000	21750.000	-69.06	0.0000	0.000	21750.000	1429.3493	FF				
16	Spectrogram 1	1	1430.186225771	1430.530829898	11165.775	22844.920	11625.000	14437.500	-78.58	0.3446	11679.145	11625.000	1430.2400		SA	A	0	SB
17	Spectrogram 1	1	1430.228638586	1430.228638586	11550.802	11550.802	11625.000	11625.000	-75.11	0.0000	0.000	11625.000	1430.2293	FI				
18	Spectrogram 1	1	1430.514925092	1430.514925092	22331.551	22331.551	22312.500	22312.500	-75.93	0.0000	0.000	22312.500	1430.5147	FF				
19	Spectrogram 1	1	1473.199208217	1473.416573897	10652.406	19508.021	14625.000	13312.500	-76.86	0.2174	8855.615	14625.000	1473.3200		SA	A	0	SB
20	Spectrogram 1	1	1473.236319431	1473.236319431	10524.064	10524.064	10500.000	10500.000	-78.74	0.0000	0.000	10500.000	1473.2373	FI				
21	Spectrogram 1	1	1473.390065887	1473.390065887	18866.310	18866.310	18937.500	18937.500	-79.64	0.0000	0.000	18937.500	1473.3893	FF				
22	Spectrogram 1	1	1507.730214771	1508.085422102	10524.064	22588.235	14062.500	14062.500	-77.63	0.3552	12064.171	14062.500	1507.8640		SA	A	0	SB
23	Spectrogram 1	1	1507.756722781	1507.756722781	10652.406	10652.406	10687.500	10687.500	-73.19	0.0000	0.000	10687.500	1507.7573	FI				
24	Spectrogram 1	1	1508.053612490	1508.053612490	22074.866	22074.866	22125.000	22125.000	-96.04	0.0000	0.000	22125.000	1508.0533	FF				
25	Spectrogram 1	1	1509.013202444	1509.257076134	10267.380	20534.759	14812.500	14250.000	-76.92	0.2439	10267.379	14812.500	1509.1360		SA	A	0	SB
26	Spectrogram 1	1	1509.050313658	1509.050313658	10524.064	10524.064	10500.000	10500.000	-74.53	0.0000	0.000	10500.000	1509.0507	FI				
27	Spectrogram 1	1	1509.241171328	1509.241171328	20021.390	20021.390	20062.500	20062.500	-76.27	0.0000	0.000	20062.500	1509.2400	FF				
28	Spectrogram 1	1	1510.084458409	1510.328332099	10524.064	20791.444	14625.000	14250.000	-77.61	0.2439	10267.380	14625.000	1510.2053		SA	A	0	SB
29	Spectrogram 1	1	1510.105664817	1510.105664817	10780.749	10780.749	10687.500	10687.500	-66.97	0.0000	0.000	10687.500	1510.1067	FI				
30	Spectrogram 1	1	1510.307125691	1510.307125691	20149.733	20149.733	20062.500	20062.500	-78.80	0.0000	0.000	20062.500	1510.3067	FF				
31	Spectrogram 1	1	1519.916780582	1520.155352670	10267.380	21176.471	14812.500	13687.500	-76.58	0.2386	10909.091	14812.500	1520.0453		SA	A	0	SB
32	Spectrogram 1	1	1519.943288592	1519.943288592	10909.091	10909.091	10875.000	10875.000	-66.38	0.0000	0.000	10875.000	1519.9440	FI				
33	Spectrogram 1	1	1520.139447864	1520.139447864	20406.417	20406.417	20437.500	20437.500	-82.08	0.0000	0.000	20437.500	1520.1387	FF				
34	Spectrogram 1	1	1591.072417097	1591.523053263	9368.984	22459.893	13312.500	13500.000	-77.30	0.4506	13090.909	13312.500	1591.2053		SA	A	0	SB
35	Spectrogram 1	1	1591.104226708	1591.104226708	10010.695	10010.695	9937.500	9937.500	-89.22	0.0000	0.000	9937.500	1591.1040	FI				
36	Spectrogram 1	1	1591.480640447	1591.480640447	21818.182	21818.182	21750.000	21750.000	-81.70	0.0000	0.000	21750.000	1591.4800	FF				
37	Spectrogram 1	1	1618.781332499	1619.104730218	10139.037	29903.743	10312.500	13312.500	-81.57	0.3234	19764.706	10312.500	1618.9467		SA	A	0	SB
38	Spectrogram 1	1	1618.802538907	1618.802538907	12064.171	12064.171	12000.000	12000.000	-73.50	0.0000	0.000	12000.000	1618.8027	FI				
39	Spectrogram 1	1	1619.072920606	1619.072920606	28877.005	28877.005	28875.000	28875.000	-94.76	0.0000	0.000	28875.000	1619.0720	FF				
40	Spectrogram 1	1	1660.210698177	1660.603016722	8855.615	20149.733	12187.500	12187.500	-75.90	0.3923	11294.118	12187.500	1660.4133		SA	A	0	SB
41	Spectrogram 1	1	1660.237206187	1660.237206187	9240.642	9240.642	9187.500	9187.500	-80.90	0.0000	0.000	9187.500	1660.2373	FI				
42	Spectrogram 1	1	1660.587111916	1660.587111916	18352.941	18352.941	18375.000	18375.000	-76.49	0.0000	0.000	18375.000	1660.5867	FF				
43	Spectrogram 1	1	1663.827033322	1664.229955070	8470.588	17069.519	9750.000	11437.500	-76.34	0.4029	8598.931	9750.000	1663.9067		SA	A	0	SB
44	Spectrogram 1	1	1663.864144535	1663.864144535	8727.273	8727.273	8812.500	8812.500	-72.45	0.0000	0.000	8812.500	1663.8640	FI				
45	Spectrogram 1	1	1664.203447061	1664.203447061	16299.465	16299.465	16312.500	16312.500	-85.01	0.0000	0.000	16312.500	1664.2027	FF				
46	Spectrogram 1	1	1682.588516281	1683.002041234	13475.936	17454.545	14062.500	14812.500	-75.47	0.4135	3978.609	14062.500	1682.6427		SA	A	0	SB
47	Spectrogram 1	1	1682.615024291	1682.615024291	13989.305	13989.305	14062.500	14062.500	-65.74	0.0000	0.000	14062.500	1682.6160	FI				
