Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	47.198100349	47.430265764	10800.000	18300.000	13687.500	13687.500	-76.88	0.2322	7500.000	13687.500	47.3253		SA	A	0	SB
2	Spectrogram 1	1	47.221001875	47.221001875	11525.462	11525.462	11437.500	11437.500	-72.45	0.0000	0.000	11437.500	47.2213	FI				
3	Spectrogram 1	1	47.415939408	47.415939408	17424.321	17424.321	17437.500	17437.500	-66.89	0.0000	0.000	17437.500	47.4160	FF				
4	Spectrogram 1	1	48.244423919	48.461854243	10617.946	18241.086	14437.500	13687.500	-77.40	0.2174	7623.140	14437.500	48.4160		SA	A	0	SB
5	Spectrogram 1	1	48.259419114	48.259419114	11525.462	11525.462	11437.500	11437.500	-70.44	0.0000	0.000	11437.500	48.2587	FI				
6	Spectrogram 1	1	48.454356646	48.454356646	17333.569	17333.569	17250.000	17250.000	-77.41	0.0000	0.000	17250.000	48.4533	FF				
7	Spectrogram 1	1	53.898798624	54.123726545	11706.966	15881.543	12937.500	13312.500	-74.85	0.2249	4174.577	12937.500	53.9547		SA	A	0	SB
8	Spectrogram 1	1	53.917542617	53.917542617	12523.731	12523.731	12562.500	12562.500	-76.27	0.0000	0.000	12562.500	53.9173	FI				
9	Spectrogram 1	1	54.108731351	54.108731351	15427.784	15427.784	15375.000	15375.000	-73.67	0.0000	0.000	15375.000	54.1093	FF				
10	Spectrogram 1	1	90.162451206	90.398625524	11979.221	17152.066	13875.000	13875.000	-78.38	0.2362	5172.845	13875.000	90.3013		SA	A	0	SB
11	Spectrogram 1	1	90.196190394	90.196190394	12342.227	12342.227	12375.000	12375.000	-78.47	0.0000	0.000	12375.000	90.1973	FI				
12	Spectrogram 1	1	90.383630329	90.383630329	16153.798	16153.798	16125.000	16125.000	-83.31	0.0000	0.000	16125.000	90.3840	FF				
13	Spectrogram 1	1	163.763579526	164.003502642	10708.697	16516.804	13875.000	13687.500	-79.93	0.2399	5808.107	13875.000	163.9467		SA	A	0	SB
14	Spectrogram 1	1	163.789821117	163.789821117	11343.959	11343.959	11437.500	11437.500	-82.52	0.0000	0.000	11437.500	163.7893	FI				
15	Spectrogram 1	1	163.984758649	163.984758649	16063.046	16063.046	16125.000	16125.000	-77.11	0.0000	0.000	16125.000	163.9840	FF				
16	Spectrogram 1	1	165.979070269	166.147766211	11616.214	15972.294	14250.000	13875.000	-79.74	0.1687	4356.080	14250.000	166.1067		SA	A	0	SB
17	Spectrogram 1	1	165.982819068	165.982819068	12069.972	12069.972	12000.000	12000.000	-77.55	0.0000	0.000	12000.000	165.9840	FI				
18	Spectrogram 1	1	166.140268613	166.140268613	15700.039	15700.039	15750.000	15750.000	-79.42	0.0000	0.000	15750.000	166.1413	FF				
19	Spectrogram 1	1	186.564435370	186.763121700	11343.959	19420.858	13312.500	13875.000	-85.25	0.1987	8076.899	13312.500	186.6667		SA	A	0	SB
20	Spectrogram 1	1	186.590676960	186.590676960	11797.717	11797.717	11812.500	11812.500	-86.88	0.0000	0.000	11812.500	186.5920	FI				
21	Spectrogram 1	1	186.755624103	186.755624103	18785.596	18785.596	18750.000	18750.000	-92.78	0.0000	0.000	18750.000	186.7547	FF				
22	Spectrogram 1	1	194.047658773	194.276335494	11525.462	16789.059	13125.000	13875.000	-82.97	0.2287	5263.597	13125.000	194.1120		SA	A	0	SB
23	Spectrogram 1	1	194.066402767	194.066402767	12251.476	12251.476	12187.500	12187.500	-95.76	0.0000	0.000	12187.500	194.0667	FI				
24	Spectrogram 1	1	194.257591500	194.257591500	16153.798	16153.798	16125.000	16125.000	-81.32	0.0000	0.000	16125.000	194.2587	FF				
25	Spectrogram 1	1	199.303742032	199.543665148	11162.456	16516.804	14437.500	13500.000	-79.67	0.2399	5354.348	14437.500	199.5013		SA	A	0	SB
26	Spectrogram 1	1	199.329983623	199.329983623	11797.717	11797.717	11812.500	11812.500	-74.65	0.0000	0.000	11812.500	199.3307	FI				
27	Spectrogram 1	1	199.524921155	199.524921155	16244.549	16244.549	16312.500	16312.500	-72.20	0.0000	0.000	16312.500	199.5253	FF				
28	Spectrogram 1	1	225.219333652	225.410522385	11616.214	17333.569	13875.000	13687.500	-83.41	0.1912	5717.355	13875.000	225.3627		SA	A	0	SB
29	Spectrogram 1	1	225.234328847	225.234328847	12069.972	12069.972	12000.000	12000.000	-79.35	0.0000	0.000	12000.000	225.2347	FI				
30	Spectrogram 1	1	225.399275989	225.399275989	16698.308	16698.308	16687.500	16687.500	-80.58	0.0000	0.000	16687.500	225.4000	FF				
31	Spectrogram 1	1	226.066562157	226.212765306	10436.442	15700.039	14062.500	12937.500	-82.76	0.1462	5263.597	14062.500	226.1947		SA	A	0	SB
32	Spectrogram 1	1	226.081557351	226.081557351	11071.704	11071.704	11062.500	11062.500	-80.69	0.0000	0.000	11062.500	226.0827	FI				
33	Spectrogram 1	1	226.197770111	226.197770111	14974.026	14974.026	15000.000	15000.000	-93.84	0.0000	0.000	15000.000	226.1973	FF				
34	Spectrogram 1	1	247.342900807	247.537838340	11888.469	18059.583	13875.000	14062.500	-79.49	0.1949	6171.114	13875.000	247.4427		SA	A	0	SB
35	Spectrogram 1	1	247.361644801	247.361644801	12251.476	12251.476	12187.500	12187.500	-77.38	0.0000	0.000	12187.500	247.3627	FI				
36	Spectrogram 1	1	247.534089541	247.534089541	17424.321	17424.321	17437.500	17437.500	-88.85	0.0000	0.000	17437.500	247.5333	FF				
37	Spectrogram 1	1	250.285221286	250.517646805	11162.456	18513.341	12562.500	13687.500	-86.41	0.2324	7350.885	12562.500	250.3387		SA	A	0	SB
38	Spectrogram 1	1	250.311462877	250.311462877	11706.966	11706.966	11625.000	11625.000	-87.92	0.0000	0.000	11625.000	250.3120	FI				
39	Spectrogram 1	1	250.498902811	250.498902811	17968.831	17968.831	18000.000	18000.000	-82.19	0.0000	0.000	18000.000	250.4987	FF				
40	Spectrogram 1	1	248.085556359	248.224261911	10527.194	15427.784	11250.000	13125.000	-82.19	0.1387	4900.590	11250.000	248.1013		SA	A	0	SB
41	Spectrogram 1	1	248.096802756	248.096802756	11162.456	11162.456	11250.000	11250.000	-79.28	0.0000	0.000	11250.000	248.0960	FI				
