Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	68.540770188	68.890011931	14903.790	20711.370	16218.750	16406.250	-81.33	0.3492	5807.580	16218.750	68.6827		SA	A	0	SB
2	Spectrogram 1	1	68.542534035	68.542534035	15393.586	15393.586	15375.000	15375.000	-83.79	0.0000	0.000	15375.000	68.5440	FI				
3	Spectrogram 1	1	68.884720390	68.884720390	20431.487	20431.487	20437.500	20437.500	-81.68	0.0000	0.000	20437.500	68.8853	FF				
4	Spectrogram 1	1	160.122791843	160.574336724	10145.773	24139.942	13593.750	14625.000	-83.97	0.4515	13994.169	13593.750	160.2560		SA	A	0	SB
5	Spectrogram 1	1	160.129847232	160.129847232	10775.510	10775.510	10781.250	10781.250	-81.99	0.0000	0.000	10781.250	160.1280	FI				
6	Spectrogram 1	1	160.560225947	160.560225947	23580.175	23580.175	23625.000	23625.000	-86.70	0.0000	0.000	23625.000	160.5600	FF				
7	Spectrogram 1	1	171.018367245	171.254722768	7906.706	17842.566	13875.000	12937.500	-82.15	0.2364	9935.860	13875.000	171.1680		SA	A	0	SB
8	Spectrogram 1	1	171.027186481	171.027186481	8326.531	8326.531	8343.750	8343.750	-78.87	0.0000	0.000	8343.750	171.0293	FI				
9	Spectrogram 1	1	171.251195074	171.251195074	17002.915	17002.915	16968.750	16968.750	-100.79	0.0000	0.000	16968.750	171.2533	FF				
10	Spectrogram 1	1	173.324793847	173.571732454	7696.793	16303.207	13500.000	13031.250	-85.94	0.2469	8606.414	13500.000	173.5040		SA	A	0	SB
11	Spectrogram 1	1	173.331849236	173.331849236	8396.501	8396.501	8437.500	8437.500	-81.61	0.0000	0.000	8437.500	173.3333	FI				
12	Spectrogram 1	1	173.559385524	173.559385524	15743.440	15743.440	15750.000	15750.000	-97.97	0.0000	0.000	15750.000	173.5573	FF				
13	Spectrogram 1	1	181.527267804	181.756567938	7556.851	15253.644	8062.500	10687.500	-83.28	0.2293	7696.793	8062.500	181.6213		NA	A	0	SB
14	Spectrogram 1	1	181.529031651	181.529031651	8046.647	8046.647	8062.500	8062.500	-75.02	0.0000	0.000	8062.500	181.5307	FI				
15	Spectrogram 1	1	181.753040244	181.753040244	14973.761	14973.761	15000.000	15000.000	-84.02	0.0000	0.000	15000.000	181.7547	FF				
16	Spectrogram 1	1	186.203056369	186.487035767	5387.755	17982.507	5437.500	11625.000	-81.52	0.2840	12594.752	5437.500	186.2933		NA	A	0	SB
17	Spectrogram 1	1	186.215403300	186.215403300	5947.522	5947.522	5906.250	5906.250	-77.14	0.0000	0.000	5906.250	186.2133	FI				
18	Spectrogram 1	1	186.479980378	186.479980378	17562.682	17562.682	17531.250	17531.250	-102.85	0.0000	0.000	17531.250	186.4800	FF				
19	Spectrogram 1	1	204.189250019	204.480284805	7696.793	17912.536	10968.750	12281.250	-84.02	0.2910	10215.743	10968.750	204.2933		SA	A	0	SB
20	Spectrogram 1	1	204.196305408	204.196305408	8256.560	8256.560	8250.000	8250.000	-85.65	0.0000	0.000	8250.000	204.1973	FI				
21	Spectrogram 1	1	204.464410181	204.464410181	17422.741	17422.741	17437.500	17437.500	-78.28	0.0000	0.000	17437.500	204.4640	FF				
22	Spectrogram 1	1	210.447388491	210.646703224	9096.210	18402.332	10406.250	13125.000	-82.98	0.1993	9306.122	10406.250	210.5173		NA	A	0	SB
23	Spectrogram 1	1	210.456207727	210.456207727	9306.122	9306.122	9281.250	9281.250	-81.92	0.0000	0.000	9281.250	210.4587	FI				
24	Spectrogram 1	1	210.636120141	210.636120141	17772.595	17772.595	17812.500	17812.500	-81.43	0.0000	0.000	17812.500	210.6347	FF				
