Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	13.410365971	13.841906966	9725.948	19032.070	15562.500	15468.750	-78.13	0.4315	9306.122	15562.500	13.6267		SA	A	0	SB
2	Spectrogram 1	1	13.435310537	13.435310537	10145.773	10145.773	10125.000	10125.000	-65.86	0.0000	0.000	10125.000	13.4347	FI				
3	Spectrogram 1	1	13.839412509	13.839412509	18122.449	18122.449	18093.750	18093.750	-83.82	0.0000	0.000	18093.750	13.8400	FF				
4	Spectrogram 1	1	15.014301576	15.358536590	9725.948	17492.711	14343.750	15093.750	-74.15	0.3442	7766.764	14343.750	15.2053		NA	A	0	SB
5	Spectrogram 1	1	15.031762772	15.031762772	9935.860	9935.860	9937.500	9937.500	-63.99	0.0000	0.000	9937.500	15.0293	FI				
6	Spectrogram 1	1	15.356042133	15.356042133	16862.974	16862.974	16875.000	16875.000	-65.66	0.0000	0.000	16875.000	15.3547	FF				
7	Spectrogram 1	1	488.178659540	488.660089667	9306.122	18962.099	16875.000	15750.000	-82.11	0.4814	9655.977	16875.000	488.6453		SA	A	0	SB
8	Spectrogram 1	1	488.196120736	488.196120736	9586.006	9586.006	9562.500	9562.500	-95.14	0.0000	0.000	9562.500	488.1973	FI				
9	Spectrogram 1	1	488.660089667	488.660089667	18402.332	18402.332	18375.000	18375.000	-81.97	0.0000	0.000	18375.000	488.6613	FF				
10	Spectrogram 1	1	493.355953352	493.694612012	9795.918	18752.187	16875.000	16031.250	-80.27	0.3387	8956.268	16875.000	493.6640		SA	A	0	SB
11	Spectrogram 1	1	493.380647212	493.380647212	10425.656	10425.656	10406.250	10406.250	-84.60	0.0000	0.000	10406.250	493.3813	FI				
12	Spectrogram 1	1	493.691084318	493.691084318	17772.595	17772.595	17812.500	17812.500	-82.12	0.0000	0.000	17812.500	493.6907	FF				
13	Spectrogram 1	1	494.537730969	494.890500407	9446.064	20781.341	16500.000	16312.500	-79.41	0.3528	11335.277	16500.000	494.8267		SA	A	0	SB
14	Spectrogram 1	1	494.562424830	494.562424830	9865.889	9865.889	9843.750	9843.750	-72.79	0.0000	0.000	9843.750	494.5600	FI				
15	Spectrogram 1	1	494.886972713	494.886972713	20221.574	20221.574	20250.000	20250.000	-90.74	0.0000	0.000	20250.000	494.8853	FF				
16	Spectrogram 1	1	494.260236656	494.591999386	9655.977	17562.682	14437.500	14062.500	-79.51	0.3318	7906.706	14437.500	494.3360		NA	A	0	SB
17	Spectrogram 1	1	494.280192309	494.280192309	10285.714	10285.714	10312.500	10312.500	-81.62	0.0000	0.000	10312.500	494.2827	FI				
18	Spectrogram 1	1	494.579527103	494.579527103	17072.886	17072.886	17062.500	17062.500	-70.90	0.0000	0.000	17062.500	494.5813	FF				
19	Spectrogram 1	1	495.460070289	495.841722152	9306.122	19311.953	16500.000	15937.500	-80.18	0.3817	10005.831	16500.000	495.7387		SA	A	0	SB
20	Spectrogram 1	1	495.480025942	495.480025942	9516.035	9516.035	9562.500	9562.500	-70.27	0.0000	0.000	9562.500	495.4827	FI				
21	Spectrogram 1	1	495.829249869	495.829249869	18612.245	18612.245	18656.250	18656.250	-71.12	0.0000	0.000	18656.250	495.8293	FF				
22	Spectrogram 1	1	553.549550117	554.103319486	2798.834	24839.650	7968.750	9562.500	-79.28	0.5538	22040.816	7968.750	553.7440		SA	A	0	SB
23	Spectrogram 1	1	553.564516857	553.564516857	3008.746	3008.746	3000.000	3000.000	-86.58	0.0000	0.000	3000.000	553.5627	FI				
24	Spectrogram 1	1	554.098330573	554.098330573	24349.854	24349.854	24375.000	24375.000	-74.62	0.0000	0.000	24375.000	554.0960	FF				
25	Spectrogram 1	1	555.901855179	556.228628996	10075.802	19871.720	14437.500	14812.500	-81.95	0.3268	9795.918	14437.500	556.0000		SA	A	0	SB
26	Spectrogram 1	1	555.916821919	555.916821919	10705.539	10705.539	10687.500	10687.500	-75.21	0.0000	0.000	10687.500	555.9147	FI				
27	Spectrogram 1	1	556.216156713	556.216156713	19102.041	19102.041	19125.000	19125.000	-75.06	0.0000	0.000	19125.000	556.2187	FF				
28	Spectrogram 1	1	554.462553710	554.896589162	10775.510	18192.420	13687.500	14437.500	-77.86	0.4340	7416.910	13687.500	554.5867		SA	A	0	SB
29	Spectrogram 1	1	554.477520450	554.477520450	10985.423	10985.423	10968.750	10968.750	-70.89	0.0000	0.000	10968.750	554.4800	FI				
30	Spectrogram 1	1	554.876633509	554.876633509	17912.536	17912.536	17906.250	17906.250	-73.54	0.0000	0.000	17906.250	554.8747	FF				
31	Spectrogram 1	1	556.887184888	557.416009691	3218.659	25049.563	3843.750	9843.750	-77.75	0.5288	21830.904	3843.750	557.1893		NA	A	0	SB
32	Spectrogram 1	1	556.897162715	556.897162715	3638.484	3638.484	3656.250	3656.250	-89.05	0.0000	0.000	3656.250	556.8960	FI				
33	Spectrogram 1	1	557.411020778	557.411020778	24769.679	24769.679	24750.000	24750.000	-90.27	0.0000	0.000	24750.000	557.4133	FF				
34	Spectrogram 1	1	557.343670449	557.695388832	10915.452	18962.099	18375.000	16312.500	-78.74	0.3517	8046.647	18375.000	557.5947		SA	A	0	SB
35	Spectrogram 1	1	557.358637189	557.358637189	11265.306	11265.306	11250.000	11250.000	-78.80	0.0000	0.000	11250.000	557.3600	FI				
36	Spectrogram 1	1	557.687905463	557.687905463	18892.128	18892.128	18937.500	18937.500	-74.95	0.0000	0.000	18937.500	557.6853	FF				
37	Spectrogram 1	1	557.969779060	558.323991900	9516.035	17142.857	15375.000	13968.750	-79.93	0.3542	7626.822	15375.000	558.1493		SA	A	0	SB
38	Spectrogram 1	1	557.992229170	557.992229170	9865.889	9865.889	9843.750	9843.750	-71.92	0.0000	0.000	9843.750	557.9947	FI				
39	Spectrogram 1	1	558.311519617	558.311519617	16932.945	16932.945	16968.750	16968.750	-83.86	0.0000	0.000	16968.750	558.3093	FF				
40	Spectrogram 1	1	558.433747991	558.695665936	9446.064	17632.653	14062.500	12843.750	-82.83	0.2619	8186.589	14062.500	558.6293		SA	A	0	SB
41	Spectrogram 1	1	558.448714731	558.448714731	9655.977	9655.977	9656.250	9656.250	-81.13	0.0000	0.000	9656.250	558.4480	FI				
42	Spectrogram 1	1	558.685688110	558.685688110	17212.828	17212.828	17250.000	17250.000	-70.88	0.0000	0.000	17250.000	558.6880	FF				
43	Spectrogram 1	1	559.147189523	559.449018774	9516.035	19241.983	16031.250	16031.250	-78.62	0.3018	9725.948	16031.250	559.2747		SA	A	0	SB
44	Spectrogram 1	1	559.162156263	559.162156263	10285.714	10285.714	10312.500	10312.500	-86.29	0.0000	0.000	10312.500	559.1627	FI				
45	Spectrogram 1	1	559.434052034	559.434052034	19102.041	19102.041	19125.000	19125.000	-78.93	0.0000	0.000	19125.000	559.4347	FF				
46	Spectrogram 1	1	560.860907128	561.279975840	10355.685	18892.128	18187.500	15843.750	-79.70	0.4191	8536.443	18187.500	561.1200		SA	A	0	SB
47	Spectrogram 1	1	560.870884954	560.870884954	10705.539	10705.539	10687.500	10687.500	-77.49	0.0000	0.000	10687.500	560.8693	FI				
48	Spectrogram 1	1	561.267503557	561.267503557	18612.245	18612.245	18656.250	18656.250	-70.84	0.0000	0.000	18656.250	561.2693	FF				
49	Spectrogram 1	1	566.105569016	566.472254139	9935.860	19381.924	16687.500	16687.500	-81.09	0.3667	9446.064	16687.500	566.2667		SA	A	0	SB
50	Spectrogram 1	1	566.118041300	566.118041300	10635.569	10635.569	10593.750	10593.750	-79.73	0.0000	0.000	10593.750	566.1173	FI				
51	Spectrogram 1	1	566.464770770	566.464770770	18682.216	18682.216	18656.250	18656.250	-80.98	0.0000	0.000	18656.250	566.4640	FF				
52	Spectrogram 1	1	582.535525672	583.001989059	3498.542	23720.117	9375.000	9281.250	-79.14	0.4665	20221.574	9375.000	582.7787		SA	A	0	SB
53	Spectrogram 1	1	582.550492411	582.550492411	3778.426	3778.426	3750.000	3750.000	-86.34	0.0000	0.000	3750.000	582.5493	FI				
54	Spectrogram 1	1	582.992011233	582.992011233	22880.466	22880.466	22875.000	22875.000	-97.89	0.0000	0.000	22875.000	582.9920	FF				
55	Spectrogram 1	1	673.788033464	674.279441418	3659.824	27659.824	9843.750	10125.000	-78.27	0.4914	24000.000	9843.750	673.9840		SA	A	0	SB
56	Spectrogram 1	1	673.798011290	673.798011290	4152.493	4152.493	4125.000	4125.000	-90.47	0.0000	0.000	4125.000	673.7973	FI				
57	Spectrogram 1	1	674.264474678	674.264474678	25689.150	25689.150	25687.500	25687.500	-82.27	0.0000	0.000	25687.500	674.2667	FF				
58	Spectrogram 1	1	674.923011225	675.479275051	3237.537	28785.924	8250.000	9562.500	-78.07	0.5563	25548.387	8250.000	675.1147		SA	A	0	SB
59	Spectrogram 1	1	674.940472422	674.940472422	3659.824	3659.824	3656.250	3656.250	-73.81	0.0000	0.000	3656.250	674.9387	FI				
60	Spectrogram 1	1	675.466802768	675.466802768	27659.824	27659.824	27656.250	27656.250	-70.88	0.0000	0.000	27656.250	675.4667	FF				
61	Spectrogram 1	1	675.870904740	676.324895845	10557.185	18369.501	15937.500	15000.000	-78.93	0.4540	7812.317	15937.500	676.0747		SA	A	0	SB
62	Spectrogram 1	1	675.890860393	675.890860393	10838.710	10838.710	10875.000	10875.000	-72.77	0.0000	0.000	10875.000	675.8933	FI				
63	Spectrogram 1	1	676.307434649	676.307434649	18158.358	18158.358	18187.500	18187.500	-78.19	0.0000	0.000	18187.500	676.3093	FF				
64	Spectrogram 1	1	677.060802691	677.464904663	3941.349	25126.100	10312.500	9562.500	-78.17	0.4041	21184.751	10312.500	677.2800		SA	A	0	
65	Spectrogram 1	1	677.075769430	677.075769430	4293.255	4293.255	4312.500	4312.500	-71.89	0.0000	0.000	4312.500	677.0773	FI				
66	Spectrogram 1	1	677.449937923	677.449937923	24774.194	24774.194	24750.000	24750.000	-74.60	0.0000	0.000	24750.000	677.4507	FF				
67	Spectrogram 1	1	691.845645002	692.444314590	3708.455	27148.688	8625.000	10406.250	-76.97	0.5987	23440.233	8625.000	692.0640		SA	A	0	SB
68	Spectrogram 1	1	691.868095112	691.868095112	3918.367	3918.367	3937.500	3937.500	-77.82	0.0000	0.000	3937.500	691.8667	FI				
69	Spectrogram 1	1	692.426853394	692.426853394	25749.271	25749.271	25781.250	25781.250	-80.21	0.0000	0.000	25781.250	692.4267	FF				
70	Spectrogram 1	1	693.519454410	693.856206054	3918.367	19591.837	7781.250	7781.250	-76.09	0.3368	15673.469	7781.250	693.6800		SA	A	0	SB
71	Spectrogram 1	1	693.534421150	693.534421150	4338.192	4338.192	4312.500	4312.500	-80.61	0.0000	0.000	4312.500	693.5360	FI				
72	Spectrogram 1	1	693.848722684	693.848722684	19172.012	19172.012	19218.750	19218.750	-78.43	0.0000	0.000	19218.750	693.8507	FF				
73	Spectrogram 1	1	697.801257419	698.277698633	7766.764	17212.828	11343.750	12281.250	-70.93	0.4764	9446.064	11343.750	698.0640		SA	A	0	SB
74	Spectrogram 1	1	697.816224159	697.816224159	9865.889	9865.889	9843.750	9843.750	-71.65	0.0000	0.000	9843.750	697.8187	FI				
75	Spectrogram 1	1	698.255248523	698.255248523	16583.090	16583.090	16593.750	16593.750	-67.39	0.0000	0.000	16593.750	698.2560	FF				
76	Spectrogram 1	1	699.709536077	700.136088159	10985.423	19451.895	18468.750	16500.000	-81.68	0.4266	8466.472	18468.750	700.0800		SA	A	0	SB
77	Spectrogram 1	1	699.719513903	699.719513903	11265.306	11265.306	11250.000	11250.000	-96.35	0.0000	0.000	11250.000	699.7173	FI				
78	Spectrogram 1	1	700.128604789	700.128604789	18892.128	18892.128	18937.500	18937.500	-70.55	0.0000	0.000	18937.500	700.1280	FF				
79	Spectrogram 1	1	701.791183095	702.157868218	9446.064	20081.633	16781.250	16500.000	-77.29	0.3667	10635.569	16781.250	701.9627		SA	A	0	SB
80	Spectrogram 1	1	701.806149835	701.806149835	9795.918	9795.918	9750.000	9750.000	-90.23	0.0000	0.000	9750.000	701.8080	FI				
81	Spectrogram 1	1	702.147890391	702.147890391	19591.837	19591.837	19593.750	19593.750	-71.35	0.0000	0.000	19593.750	702.1493	FF				
82	Spectrogram 1	1	1128.385848555	1128.897212162	7486.880	16023.324	12000.000	11906.250	-70.76	0.5114	8536.443	12000.000	1128.7413		SA	A	0	SB
83	Spectrogram 1	1	1128.398320838	1128.398320838	9166.181	9166.181	9187.500	9187.500	-83.95	0.0000	0.000	9187.500	1128.4000	FI				
84	Spectrogram 1	1	1128.894717705	1128.894717705	15533.528	15533.528	15562.500	15562.500	-66.34	0.0000	0.000	15562.500	1128.8960	FF				
85	Spectrogram 1	1	1126.260571516	1126.669662402	11125.364	20711.370	12468.750	15375.000	-79.17	0.4091	9586.006	12468.750	1126.4640		NA	A	0	SB
86	Spectrogram 1	1	1126.275538256	1126.275538256	11755.102	11755.102	11718.750	11718.750	-87.34	0.0000	0.000	11718.750	1126.2773	FI				
87	Spectrogram 1	1	1126.659684575	1126.659684575	20361.516	20361.516	20343.750	20343.750	-82.53	0.0000	0.000	20343.750	1126.6613	FF				
88	Spectrogram 1	1	1336.425696616	1336.804854022	7696.793	15533.528	12281.250	12000.000	-78.70	0.3792	7836.735	12281.250	1336.7307		SA	A	0	SB
89	Spectrogram 1	1	1336.445652269	1336.445652269	8256.560	8256.560	8250.000	8250.000	-83.26	0.0000	0.000	8250.000	1336.4480	FI				
90	Spectrogram 1	1	1336.794876195	1336.794876195	14973.761	14973.761	15000.000	15000.000	-73.22	0.0000	0.000	15000.000	1336.7947	FF				
91	Spectrogram 1	1	1480.230868548	1480.639959434	5387.755	27848.397	14718.750	14625.000	-74.82	0.4091	22460.641	14718.750	1480.4960		SA	A	0	SB
92	Spectrogram 1	1	1480.245835288	1480.245835288	6087.464	6087.464	6093.750	6093.750	-90.24	0.0000	0.000	6093.750	1480.2453	FI				
93	Spectrogram 1	1	1480.620003781	1480.620003781	26798.834	26798.834	26812.500	26812.500	-84.92	0.0000	0.000	26812.500	1480.6187	FF				
94	Spectrogram 1	1	1515.804822173	1516.298724583	7486.880	17282.799	12656.250	12375.000	-83.54	0.4939	9795.918	12656.250	1516.2187		SA	A	0	SB
95	Spectrogram 1	1	1515.819788912	1515.819788912	8116.618	8116.618	8156.250	8156.250	-91.58	0.0000	0.000	8156.250	1515.8187	FI				
96	Spectrogram 1	1	1516.291241213	1516.291241213	16653.061	16653.061	16687.500	16687.500	-81.07	0.0000	0.000	16687.500	1516.2933	FF				
97	Spectrogram 1	1	1737.040257531	1737.419414937	7626.822	18472.303	7781.250	10687.500	-79.96	0.3792	10845.481	7781.250	1737.2320		NA	A	0	SB
98	Spectrogram 1	1	1737.050235358	1737.050235358	8256.560	8256.560	8250.000	8250.000	-76.67	0.0000	0.000	8250.000	1737.0507	FI				
99	Spectrogram 1	1	1737.414426024	1737.414426024	18262.391	18262.391	18281.250	18281.250	-85.33	0.0000	0.000	18281.250	1737.4133	FF				
