Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	4.116470201	4.368700349	9415.385	16153.846	12375.000	13406.250	-79.61	0.2522	6738.461	12375.000	4.1973		SA	A	0	SB
2	Spectrogram 1	1	4.123525589	4.123525589	9876.923	9876.923	9843.750	9843.750	-71.68	0.0000	0.000	9843.750	4.1227	FI				
3	Spectrogram 1	1	4.361644960	4.361644960	15507.692	15507.692	15468.750	15468.750	-73.33	0.0000	0.000	15468.750	4.3627	FF				
4	Spectrogram 1	1	6.377438851	6.703750581	10615.385	19661.538	15281.250	14718.750	-82.58	0.3263	9046.153	15281.250	6.6987		SA	A	0	SB
5	Spectrogram 1	1	6.386258087	6.386258087	11076.923	11076.923	11062.500	11062.500	-84.29	0.0000	0.000	11062.500	6.3840	FI				
6	Spectrogram 1	1	6.691403650	6.691403650	19384.615	19384.615	19406.250	19406.250	-82.86	0.0000	0.000	19406.250	6.6933	FF				
7	Spectrogram 1	1	13.010768302	13.333552337	8093.653	21409.018	20062.500	18281.250	-78.70	0.3228	13315.365	20062.500	13.2320		SA	AC	1	SB
8	Spectrogram 1	1	13.021351385	13.021351385	8676.923	8676.923	8718.750	8718.750	-83.94	0.0000	0.000	8718.750	13.0240	FI				
9	Spectrogram 1	1	13.324733101	13.324733101	20953.846	20953.846	21000.000	21000.000	-75.38	0.0000	0.000	21000.000	13.3227	FF				
10	Spectrogram 1	1	23.237391931	23.588397522	9323.077	17446.154	15281.250	15281.250	-79.22	0.3510	8123.077	15281.250	23.3333		SA	AC	1	SB
11	Spectrogram 1	1	23.249738862	23.249738862	9876.923	9876.923	9843.750	9843.750	-85.09	0.0000	0.000	9843.750	23.2480	FI				
12	Spectrogram 1	1	23.577814439	23.577814439	16800.000	16800.000	16781.250	16781.250	-66.22	0.0000	0.000	16781.250	23.5787	FF				
13	Spectrogram 1	1	26.146732176	26.338991520	7846.154	14215.385	10031.250	10593.750	-81.03	0.1923	6369.231	10031.250	26.3200		NA	A	0	SB
14	Spectrogram 1	1	26.155551412	26.155551412	8492.308	8492.308	8531.250	8531.250	-82.25	0.0000	0.000	8531.250	26.1547	FI				
15	Spectrogram 1	1	26.337227673	26.337227673	13938.462	13938.462	13968.750	13968.750	-76.89	0.0000	0.000	13968.750	26.3360	FF				
16	Spectrogram 1	1	26.266673785	26.591221668	6184.615	19292.308	15468.750	13781.250	-81.02	0.3245	13107.693	15468.750	26.4320		SA	A	0	SB
17	Spectrogram 1	1	26.275493021	26.275493021	6923.077	6923.077	6937.500	6937.500	-84.40	0.0000	0.000	6937.500	26.2773	FI				
18	Spectrogram 1	1	26.577110890	26.577110890	18738.462	18738.462	18750.000	18750.000	-78.38	0.0000	0.000	18750.000	26.5760	FF				
19	Spectrogram 1	1	26.800392742	27.093191376	5630.769	18369.231	15187.500	14343.750	-81.32	0.2928	12738.462	15187.500	27.0027		SA	A	0	SB
20	Spectrogram 1	1	26.812739672	26.812739672	6092.308	6092.308	6093.750	6093.750	-83.05	0.0000	0.000	6093.750	26.8107	FI				
21	Spectrogram 1	1	27.087899834	27.087899834	18092.308	18092.308	18093.750	18093.750	-72.93	0.0000	0.000	18093.750	27.0880	FF				
22	Spectrogram 1	1	29.405444181	29.715881286	8030.769	20492.308	16875.000	16968.750	-77.34	0.3104	12461.539	16875.000	29.6640		NA	AC	1	SB
23	Spectrogram 1	1	29.414263417	29.414263417	8676.923	8676.923	8718.750	8718.750	-70.75	0.0000	0.000	8718.750	29.4133	FI				
24	Spectrogram 1	1	29.705298203	29.705298203	18923.077	18923.077	18937.500	18937.500	-74.30	0.0000	0.000	18937.500	29.7067	FF				
25	Spectrogram 1	1	29.594175830	29.797018257	12092.308	22061.538	16875.000	17437.500	-75.61	0.2028	9969.230	16875.000	29.6640		SA	A	0	SB
26	Spectrogram 1	1	29.606522760	29.606522760	12830.769	12830.769	12843.750	12843.750	-66.25	0.0000	0.000	12843.750	29.6053	FI				
27	Spectrogram 1	1	29.791726715	29.791726715	21507.692	21507.692	21468.750	21468.750	-84.10	0.0000	0.000	21468.750	29.7920	FF				
28	Spectrogram 1	1	31.009619931	31.397666313	8123.077	20769.231	17437.500	17343.750	-76.00	0.3880	12646.154	17437.500	31.2053		SA	A	0	SB
29	Spectrogram 1	1	31.018439167	31.018439167	8769.231	8769.231	8812.500	8812.500	-73.38	0.0000	0.000	8812.500	31.0187	FI				
30	Spectrogram 1	1	31.385319383	31.385319383	20215.385	20215.385	20250.000	20250.000	-72.79	0.0000	0.000	20250.000	31.3867	FF				
