Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	24.556787572	24.832470873	11469.027	17840.708	15000.000	15000.000	-86.65	0.2757	6371.681	15000.000	24.6800		SA	A	0	SB
2	Spectrogram 1	1	24.546184368	24.546184368	12460.177	12460.177	12375.000	12375.000	-87.66	0.0000	0.000	12375.000	24.5467	FI				
3	Spectrogram 1	1	24.821867670	24.821867670	17274.336	17274.336	17250.000	17250.000	-99.63	0.0000	0.000	17250.000	24.8213	FF				
4	Spectrogram 1	1	74.773115311	75.075306623	12035.398	18831.858	13125.000	15000.000	-83.58	0.3022	6796.460	13125.000	74.8507		SA	A	0	SB
5	Spectrogram 1	1	74.794321719	74.794321719	13168.142	13168.142	13125.000	13125.000	-88.39	0.0000	0.000	13125.000	74.7947	FI				
6	Spectrogram 1	1	75.043497011	75.043497011	18123.894	18123.894	18187.500	18187.500	-93.58	0.0000	0.000	18187.500	75.0427	FF				
7	Spectrogram 1	1	158.413194508	158.609353780	13168.142	18407.080	15375.000	15187.500	-84.21	0.1962	5238.938	15375.000	158.5573		SA	A	0	SB
8	Spectrogram 1	1	158.423797712	158.423797712	14442.478	14442.478	14437.500	14437.500	-72.99	0.0000	0.000	14437.500	158.4240	FI				
9	Spectrogram 1	1	158.609353780	158.609353780	17132.743	17132.743	17062.500	17062.500	-87.43	0.0000	0.000	17062.500	158.6107	FF				
10	Spectrogram 1	1	164.847765262	165.061446788	9911.504	16000.000	9937.500	14437.500	-82.90	0.2137	6088.496	9937.500	164.9307		SA	A	0	SB
11	Spectrogram 1	1	164.855262860	164.855262860	11752.212	11752.212	11812.500	11812.500	-82.07	0.0000	0.000	11812.500	164.8560	FI				
12	Spectrogram 1	1	165.053949190	165.053949190	15716.814	15716.814	15750.000	15750.000	-80.30	0.0000	0.000	15750.000	165.0533	FF				
13	Spectrogram 1	1	179.743469163	179.964648286	9486.726	20530.973	15375.000	15187.500	-84.95	0.2212	11044.247	15375.000	179.9147		SA	A	0	SB
14	Spectrogram 1	1	179.739720365	179.739720365	11469.027	11469.027	11437.500	11437.500	-88.35	0.0000	0.000	11437.500	179.7387	FI				
15	Spectrogram 1	1	179.957150689	179.957150689	19256.637	19256.637	19312.500	19312.500	-88.46	0.0000	0.000	19312.500	179.9573	FF				
16	Spectrogram 1	1	201.285137787	201.611283273	8070.796	21522.124	9937.500	11625.000	-81.07	0.3261	13451.328	9937.500	201.5120		NA	A	0	SB
17	Spectrogram 1	1	201.303881780	201.303881780	9061.947	9061.947	9000.000	9000.000	-87.35	0.0000	0.000	9000.000	201.3040	FI				
18	Spectrogram 1	1	201.596288078	201.596288078	21097.345	21097.345	21187.500	21187.500	-88.20	0.0000	0.000	21187.500	201.5973	FF				
19	Spectrogram 1	1	340.912470853	341.249862735	5805.310	14442.478	6000.000	7500.000	-79.12	0.3374	8637.168	6000.000	341.0587		SA	A	0	SB
20	Spectrogram 1	1	340.934963645	340.934963645	7221.239	7221.239	7312.500	7312.500	-75.48	0.0000	0.000	7312.500	340.9360	FI				
21	Spectrogram 1	1	341.242365138	341.242365138	13168.142	13168.142	13125.000	13125.000	-80.08	0.0000	0.000	13125.000	341.2427	FF				
22	Spectrogram 1	1	355.807336763	356.080999068	8495.575	22230.088	15750.000	15375.000	-79.10	0.2737	13734.513	15750.000	355.9787		SA	A	0	SB
23	Spectrogram 1	1	355.814834361	355.814834361	9628.319	9628.319	9562.500	9562.500	-68.56	0.0000	0.000	9562.500	355.8160	FI				
24	Spectrogram 1	1	356.073501471	356.073501471	21238.938	21238.938	21187.500	21187.500	-86.71	0.0000	0.000	21187.500	356.0747	FF				
25	Spectrogram 1	1	355.267509752	355.533674459	14442.478	20247.788	15375.000	15562.500	-77.64	0.2662	5805.310	15375.000	355.3493		SA	A	0	SB
26	Spectrogram 1	1	355.271258550	355.271258550	15292.035	15292.035	15375.000	15375.000	-68.21	0.0000	0.000	15375.000	355.2720	FI				
27	Spectrogram 1	1	355.526176861	355.526176861	19256.637	19256.637	19312.500	19312.500	-83.84	0.0000	0.000	19312.500	355.5253	FF				
28	Spectrogram 1	1	359.059930368	359.363583062	10477.876	19115.044	15750.000	15562.500	-79.53	0.3037	8637.168	15750.000	359.2533		SA	A	0	SB
29	Spectrogram 1	1	359.078674362	359.078674362	12176.991	12176.991	12187.500	12187.500	-83.33	0.0000	0.000	12187.500	359.0800	FI				
30	Spectrogram 1	1	359.352336666	359.352336666	17982.301	17982.301	18000.000	18000.000	-78.67	0.0000	0.000	18000.000	359.3520	FF				
31	Spectrogram 1	1	360.759767328	361.048424827	8637.168	20955.752	16312.500	15375.000	-83.12	0.2887	12318.584	16312.500	360.9893		SA	A	0	SB
32	Spectrogram 1	1	360.778511321	360.778511321	10336.283	10336.283	10312.500	10312.500	-74.40	0.0000	0.000	10312.500	360.7787	FI				
33	Spectrogram 1	1	361.029680833	361.029680833	19964.602	19964.602	19875.000	19875.000	-85.14	0.0000	0.000	19875.000	361.0293	FF				
34	Spectrogram 1	1	387.157680662	387.457584557	11469.027	19539.823	15375.000	15375.000	-80.83	0.2999	8070.796	15375.000	387.2720		SA	A	0	SB
35	Spectrogram 1	1	387.176424655	387.176424655	13026.549	13026.549	12937.500	12937.500	-77.92	0.0000	0.000	12937.500	387.1760	FI				
36	Spectrogram 1	1	387.446338161	387.446338161	18123.894	18123.894	18187.500	18187.500	-74.46	0.0000	0.000	18187.500	387.4453	FF				
37	Spectrogram 1	1	387.738744459	388.012406764	8778.761	22796.460	14625.000	14812.500	-79.59	0.2737	14017.699	14625.000	387.8267		SA	A	0	SB
38	Spectrogram 1	1	387.757488453	387.757488453	10053.097	10053.097	10125.000	10125.000	-75.16	0.0000	0.000	10125.000	387.7573	FI				
39	Spectrogram 1	1	388.004909166	388.004909166	21946.903	21946.903	21937.500	21937.500	-83.82	0.0000	0.000	21937.500	388.0053	FF				
40	Spectrogram 1	1	388.463054911	388.822939586	8637.168	21805.310	16500.000	14625.000	-81.04	0.3599	13168.142	16500.000	388.7813		SA	A	0	SB
41	Spectrogram 1	1	388.474301307	388.474301307	10194.690	10194.690	10125.000	10125.000	-69.59	0.0000	0.000	10125.000	388.4747	FI				
42	Spectrogram 1	1	388.811693190	388.811693190	20530.973	20530.973	20437.500	20437.500	-84.48	0.0000	0.000	20437.500	388.8107	FF				
43	Spectrogram 1	1	440.420899520	440.713305818	12176.991	20106.195	15375.000	15187.500	-90.67	0.2924	7929.204	15375.000	440.5360		SA	A	0	SB
44	Spectrogram 1	1	440.450889909	440.450889909	13168.142	13168.142	13125.000	13125.000	-91.80	0.0000	0.000	13125.000	440.4507	FI				
45	Spectrogram 1	1	440.690813026	440.690813026	18973.451	18973.451	18937.500	18937.500	-90.22	0.0000	0.000	18937.500	440.6907	FF				
46	Spectrogram 1	1	478.285638754	478.727997000	6782.609	24000.000	13125.000	10875.000	-81.46	0.4424	17217.391	13125.000	478.5707		SA	A	0	SB
47	Spectrogram 1	1	478.311880345	478.311880345	7565.217	7565.217	7500.000	7500.000	-80.36	0.0000	0.000	7500.000	478.3120	FI				
48	Spectrogram 1	1	478.705504207	478.705504207	22826.087	22826.087	22875.000	22875.000	-85.36	0.0000	0.000	22875.000	478.7067	FF				
49	Spectrogram 1	1	546.917216162	547.258356843	13826.087	20347.826	15750.000	16312.500	-89.16	0.3411	6521.739	15750.000	546.9867		SA	A	0	SB
50	Spectrogram 1	1	546.932211356	546.932211356	13956.522	13956.522	13875.000	13875.000	-96.96	0.0000	0.000	13875.000	546.9333	FI				
51	Spectrogram 1	1	547.235864051	547.235864051	19695.652	19695.652	19687.500	19687.500	-92.48	0.0000	0.000	19687.500	547.2347	FF				
52	Spectrogram 1	1	547.891903822	548.176812523	14869.565	19826.087	16125.000	16500.000	-89.83	0.2849	4956.522	16125.000	547.9627		SA	A	0	SB
53	Spectrogram 1	1	547.910647815	547.910647815	15391.304	15391.304	15375.000	15375.000	-99.71	0.0000	0.000	15375.000	547.9093	FI				
54	Spectrogram 1	1	548.161817328	548.161817328	19434.783	19434.783	19500.000	19500.000	-106.23	0.0000	0.000	19500.000	548.1627	FF				
55	Spectrogram 1	1	630.627766610	630.968907292	6521.739	16565.217	6750.000	9562.500	-80.17	0.3411	10043.478	6750.000	630.8400		NA	A	0	SB
56	Spectrogram 1	1	630.654008201	630.654008201	7695.652	7695.652	7687.500	7687.500	-74.65	0.0000	0.000	7687.500	630.6533	FI				
57	Spectrogram 1	1	630.965158493	630.965158493	15652.174	15652.174	15562.500	15562.500	-80.01	0.0000	0.000	15562.500	630.9653	FF				
58	Spectrogram 1	1	659.531354170	659.902466306	7957.219	19122.995	11812.500	11437.500	-88.03	0.3711	11165.776	11812.500	659.7733		SA	A	0	SB
59	Spectrogram 1	1	659.549909776	659.549909776	8598.930	8598.930	8625.000	8625.000	-87.81	0.0000	0.000	8625.000	659.5493	FI				
60	Spectrogram 1	1	659.894513904	659.894513904	18096.257	18096.257	18187.500	18187.500	-88.11	0.0000	0.000	18187.500	659.8933	FF				
61	Spectrogram 1	1	703.556472830	703.850711738	7700.535	13860.963	7875.000	9000.000	-82.02	0.2942	6160.428	7875.000	703.8427		NA	A	0	SB
62	Spectrogram 1	1	703.585631640	703.585631640	7828.877	7828.877	7875.000	7875.000	-89.03	0.0000	0.000	7875.000	703.5867	FI				
63	Spectrogram 1	1	703.840108534	703.840108534	12834.225	12834.225	12750.000	12750.000	-87.49	0.0000	0.000	12750.000	703.8400	FF				
64	Spectrogram 1	1	1011.324775257	1011.738300209	8085.561	20919.786	13125.000	12187.500	-88.14	0.4135	12834.225	13125.000	1011.4720		SA	A	0	SB
65	Spectrogram 1	1	1011.348632466	1011.348632466	8598.930	8598.930	8625.000	8625.000	-86.20	0.0000	0.000	8625.000	1011.3493	FI				
