Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	pf_check	modulacao	PI	sobreposicao
1	Spectrogram 1	1	11.007.294.037	11.161.040.493	10652.4	16171.1	15.562.500	13.031.250	-79.34	0.1537	5.518.717	15.562.500	111.469		SA	A	0	SB
2	Spectrogram 1	1	11.031.151.246	11.031.151.246	10780.7	10780.7	10.781.250	10.781.250	-84.32	0.0000	0.000	10.781.250	110.317	FI				
3	Spectrogram 1	1	11.153.088.091	11.153.088.091	15657.8	15657.8	15.656.250	15.656.250	-61.18	0.0000	0.000	15.656.250	111.533	FF				
4	Spectrogram 1	1	29.841.478.440	30.125.114.145	10139.0	18224.6	13.406.250	12.937.500	-80.99	0.2836	8.085.561	13.406.250	299.122		SA	A	0	SB
5	Spectrogram 1	1	29.849.430.843	29.849.430.843	10652.4	10652.4	10.687.500	10.687.500	-78.99	0.0000	0.000	10.687.500	298.483	FI				
6	Spectrogram 1	1	30.111.860.140	30.111.860.140	17967.9	17967.9	18.000.000	18.000.000	-74.84	0.0000	0.000	18.000.000	301.105	FF				
7	Spectrogram 1	1	30.596.146.738	30.810.861.617	12962.6	18994.7	16.781.250	15.656.250	-83.67	0.2147	6.032.086	16.781.250	307.277		SA	A	0	SB
8	Spectrogram 1	1	30.614.702.345	30.614.702.345	13604.3	13604.3	13.593.750	13.593.750	-80.82	0.0000	0.000	13.593.750	306.158	FI				
9	Spectrogram 1	1	30.792.306.011	30.792.306.011	18481.3	18481.3	18.468.750	18.468.750	-81.71	0.0000	0.000	18.468.750	307.917	FF				
10	Spectrogram 1	1	48.522.536.901	48.763.759.790	13219.3	20278.1	15.187.500	15.000.000	-81.51	0.2412	7.058.824	15.187.500	486.041		SA	A	0	SB
11	Spectrogram 1	1	48.533.140.105	48.533.140.105	13732.6	13732.6	13.687.500	13.687.500	-75.39	0.0000	0.000	13.687.500	485.337	FI				
12	Spectrogram 1	1	48.753.156.586	48.753.156.586	19764.7	19764.7	19.781.250	19.781.250	-78.20	0.0000	0.000	19.781.250	487.544	FF				
13	Spectrogram 1	1	49.740.708.071	49.973.978.557	11807.5	20149.7	13.781.250	14.343.750	-79.81	0.2333	8.342.246	13.781.250	497.873		SA	A	0	SB
14	Spectrogram 1	1	49.756.612.877	49.756.612.877	12192.5	12192.5	12.187.500	12.187.500	-74.97	0.0000	0.000	12.187.500	497.553	FI				
15	Spectrogram 1	1	49.966.026.154	49.966.026.154	19764.7	19764.7	19.781.250	19.781.250	-71.34	0.0000	0.000	19.781.250	499.664	FF				
16	Spectrogram 1	1	50.484.165.006	50.685.625.881	9754.0	18609.6	16.593.750	13.968.750	-79.65	0.2015	8.855.615	16.593.750	506.379		SA	A	0	SB
17	Spectrogram 1	1	50.497.419.011	50.497.419.011	10524.1	10524.1	10.500.000	10.500.000	-82.46	0.0000	0.000	10.500.000	504.972	FI				
18	Spectrogram 1	1	50.685.625.881	50.685.625.881	17967.9	17967.9	18.000.000	18.000.000	-75.99	0.0000	0.000	18.000.000	506.859	FF				
19	Spectrogram 1	1	51.132.285.845	51.270.127.496	13989.3	20278.1	16.593.750	16.406.250	-80.09	0.1378	6.288.770	16.593.750	511.912		SA	A	0	SB
20	Spectrogram 1	1	51.145.539.850	51.145.539.850	14374.3	14374.3	14.343.750	14.343.750	-81.64	0.0000	0.000	14.343.750	511.464	FI				
21	Spectrogram 1	1	51.262.175.093	51.262.175.093	19636.4	19636.4	19.593.750	19.593.750	-87.48	0.0000	0.000	19.593.750	512.615	FF				
22	Spectrogram 1	1	57.389.596.802	57.657.327.701	11679.1	20534.8	17.812.500	15.375.000	-80.49	0.2677	8.855.615	17.812.500	575.838		SA	A	0	SB
23	Spectrogram 1	1	57.408.152.409	57.408.152.409	11935.8	11935.8	11.906.250	11.906.250	-86.18	0.0000	0.000	11.906.250	574.079	FI				
24	Spectrogram 1	1	57.646.724.497	57.646.724.497	20149.7	20149.7	20.156.250	20.156.250	-81.12	0.0000	0.000	20.156.250	576.478	FF				
25	Spectrogram 1	1	58.306.773.940	58.510.885.616	11935.8	18609.6	14.718.750	14.812.500	-81.05	0.2041	6.673.797	14.718.750	583.545		SA	A	0	SB
26	Spectrogram 1	1	58.314.726.343	58.314.726.343	12320.9	12320.9	12.281.250	12.281.250	-80.72	0.0000	0.000	12.281.250	583.161	FI				
27	Spectrogram 1	1	58.494.980.810	58.494.980.810	18224.6	18224.6	18.187.500	18.187.500	-84.95	0.0000	0.000	18.187.500	584.952	FF				
28	Spectrogram 1	1	60.011.268.902	60.227.210.995	12577.5	18994.7	16.406.250	15.937.500	-79.19	0.2159	6.417.112	16.406.250	600.974		SA	A	0	SB
29	Spectrogram 1	1	60.016.570.504	60.016.570.504	13090.9	13090.9	13.125.000	13.125.000	-81.20	0.0000	0.000	13.125.000	600.174	FI				
30	Spectrogram 1	1	60.218.031.379	60.218.031.379	18609.6	18609.6	18.656.250	18.656.250	-95.54	0.0000	0.000	18.656.250	602.189	FF				
31	Spectrogram 1	1	76.712.762.706	76.948.683.993	17839.6	30802.1	22.687.500	22.031.250	-87.23	0.2359	12.962.567	22.687.500	768.001		SA	A	0	SB
32	Spectrogram 1	1	76.723.365.910	76.723.365.910	18096.3	18096.3	18.093.750	18.093.750	-87.34	0.0000	0.000	18.093.750	767.233	FI				
33	Spectrogram 1	1	76.943.382.391	76.943.382.391	29903.7	29903.7	29.906.250	29.906.250	-86.71	0.0000	0.000	29.906.250	769.440	FF				
34	Spectrogram 1	1	77.648.495.451	77.781.035.500	19764.7	29005.3	22.218.750	22.781.250	-86.47	0.1325	9.240.642	22.218.750	776.827		SA	A	0	SB
35	Spectrogram 1	1	77.661.749.456	77.661.749.456	20278.1	20278.1	20.250.000	20.250.000	-83.31	0.0000	0.000	20.250.000	776.603	FI				
36	Spectrogram 1	1	77.775.733.898	77.775.733.898	28492.0	28492.0	28.500.000	28.500.000	-89.39	0.0000	0.000	28.500.000	777.755	FF				
37	Spectrogram 1	1	104.714.972.567	105.160.307.132	8727.3	17582.9	14.531.250	13.218.750	-78.18	0.4453	8.855.615	14.531.250	1.048.746		SA	A	0	SB
38	Spectrogram 1	1	104.721.369.870	104.721.369.870	9625.7	9625.7	9.656.250	9.656.250	-81.70	0.0000	0.000	9.656.250	1.047.211	FI				
39	Spectrogram 1	1	105.141.235.324	105.141.235.324	17197.9	17197.9	17.156.250	17.156.250	-78.43	0.0000	0.000	17.156.250	1.051.400	FF				
40	Spectrogram 1	1	116.275.089.781	116.552.500.885	9112.3	18609.6	15.656.250	14.062.500	-76.35	0.2774	9.497.326	15.656.250	1.164.223		SA	A	0	SB
41	Spectrogram 1	1	116.290.084.976	116.290.084.976	9625.7	9625.7	9.656.250	9.656.250	-71.08	0.0000	0.000	9.656.250	1.162.912	FI				
42	Spectrogram 1	1	116.541.254.489	116.541.254.489	18224.6	18224.6	18.187.500	18.187.500	-72.37	0.0000	0.000	18.187.500	1.165.406	FF				
43	Spectrogram 1	1	204.668.537.711	204.893.465.632	12449.2	29005.3	25.593.750	17.156.250	-85.27	0.2249	16.556.150	25.593.750	2.048.575		SA	A	0	SB
44	Spectrogram 1	1	204.694.779.301	204.694.779.301	12962.6	12962.6	12.937.500	12.937.500	-97.14	0.0000	0.000	12.937.500	2.046.944	FI				
45	Spectrogram 1	1	204.885.968.035	204.885.968.035	28492.0	28492.0	28.500.000	28.500.000	-82.12	0.0000	0.000	28.500.000	2.048.863	FF				
46	Spectrogram 1	1	205.631.978.975	205.860.655.695	7187.2	27336.9	8.906.250	11.062.500	-80.87	0.2287	20.149.733	8.906.250	2.058.520		NA	A	0	SB
47	Spectrogram 1	1	205.643.225.371	205.643.225.371	8085.6	8085.6	8.062.500	8.062.500	-83.20	0.0000	0.000	8.062.500	2.056.442	FI				
48	Spectrogram 1	1	205.849.409.299	205.849.409.299	26823.5	26823.5	26.812.500	26.812.500	-78.58	0.0000	0.000	26.812.500	2.058.488	FF				
49	Spectrogram 1	1	294.279.907.284	294.628.545.563	16299.5	37090.9	26.531.250	25.875.000	-81.82	0.3486	20.791.444	26.531.250	2.944.663		SA	A	0	SB
50	Spectrogram 1	1	294.298.651.278	294.298.651.278	16941.2	16941.2	16.968.750	16.968.750	-80.52	0.0000	0.000	16.968.750	2.943.000	FI				
51	Spectrogram 1	1	294.617.299.167	294.617.299.167	35550.8	35550.8	35.531.250	35.531.250	-95.52	0.0000	0.000	35.531.250	2.946.166	FF				
52	Spectrogram 1	1	295.175.870.172	295.457.030.074	16042.8	38631.0	26.812.500	23.812.500	-86.27	0.2812	22.588.235	26.812.500	2.953.105		SA	A	0	SB
53	Spectrogram 1	1	295.183.367.770	295.183.367.770	17454.5	17454.5	17.437.500	17.437.500	-77.53	0.0000	0.000	17.437.500	2.951.826	FI				
54	Spectrogram 1	1	295.449.532.477	295.449.532.477	37347.6	37347.6	37.312.500	37.312.500	-112.32	0.0000	0.000	37.312.500	2.954.481	FF				
