Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	163.924481510	164.279688841	7062.670	17525.886	8906.250	10593.750	-77.17	0.3552	10463.215	8906.250	164.0640		SA	A	0	SB
2	Spectrogram 1	1	163.940386316	163.940386316	7716.621	7716.621	7687.500	7687.500	-72.37	0.0000	0.000	7687.500	163.9413	FI				
3	Spectrogram 1	1	164.263784035	164.263784035	17395.095	17395.095	17437.500	17437.500	-80.15	0.0000	0.000	17437.500	164.2613	FF				
4	Spectrogram 1	1	879.624150470	880.074786636	6016.349	17787.466	8718.750	9750.000	-77.65	0.4506	11771.117	8718.750	879.8347		SA	A	0	SB
5	Spectrogram 1	1	879.645356878	879.645356878	6539.510	6539.510	6562.500	6562.500	-80.06	0.0000	0.000	6562.500	879.6480	FI				
6	Spectrogram 1	1	880.064183432	880.064183432	17264.305	17264.305	17250.000	17250.000	-73.69	0.0000	0.000	17250.000	880.0640	FF				
7	Spectrogram 1	1	881.304758290	881.765997660	6408.719	18179.837	11343.750	10125.000	-77.61	0.4612	11771.117	11343.750	881.6480		SA	A	0	SB
8	Spectrogram 1	1	881.331266300	881.331266300	6931.880	6931.880	6937.500	6937.500	-74.05	0.0000	0.000	6937.500	881.3333	FI				
9	Spectrogram 1	1	881.760696058	881.760696058	17787.466	17787.466	17812.500	17812.500	-71.06	0.0000	0.000	17812.500	881.7600	FF				
10	Spectrogram 1	1	882.618471153	882.904757659	10724.796	20664.850	16218.750	15562.500	-77.52	0.2863	9940.054	16218.750	882.7787		SA	A	0	SB
11	Spectrogram 1	1	882.639677561	882.639677561	11771.117	11771.117	11812.500	11812.500	-73.03	0.0000	0.000	11812.500	882.6400	FI				
