Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	549.770396181	550.047280865	9376.093	14483.965	11718.750	11250.000	-77.05	0.2769	5107.872	11718.750	549.9520		SA	A	0	SB
2	Spectrogram 1	1	549.787857377	549.787857377	9516.035	9516.035	9562.500	9562.500	-81.03	0.0000	0.000	9562.500	549.7867	FI				
3	Spectrogram 1	1	550.037303039	550.037303039	14204.082	14204.082	14250.000	14250.000	-78.21	0.0000	0.000	14250.000	550.0373	FF				
4	Spectrogram 1	1	557.952324427	558.251659221	9586.006	14204.082	11062.500	11062.500	-77.23	0.2993	4618.076	11062.500	558.1120		SA	A	0	SB
5	Spectrogram 1	1	557.967291167	557.967291167	9795.918	9795.918	9750.000	9750.000	-77.82	0.0000	0.000	9750.000	557.9680	FI				
6	Spectrogram 1	1	558.241681395	558.241681395	14064.140	14064.140	14062.500	14062.500	-70.29	0.0000	0.000	14062.500	558.2400	FF				
7	Spectrogram 1	1	579.678090207	579.999875111	11314.788	17147.877	13593.750	13687.500	-79.61	0.3218	5833.089	13593.750	579.7973		SA	A	0	SB
8	Spectrogram 1	1	579.693056947	579.693056947	11595.900	11595.900	11625.000	11625.000	-74.90	0.0000	0.000	11625.000	579.6907	FI				
9	Spectrogram 1	1	579.987402827	579.987402827	16937.042	16937.042	16968.750	16968.750	-74.20	0.0000	0.000	16968.750	579.9893	FF				
10	Spectrogram 1	1	657.054982191	657.374272639	8222.548	13985.359	10781.250	10500.000	-78.31	0.3193	5762.811	10781.250	657.2160		SA	A	0	SB
11	Spectrogram 1	1	657.064960018	657.064960018	8433.382	8433.382	8437.500	8437.500	-72.63	0.0000	0.000	8437.500	657.0667	FI				
12	Spectrogram 1	1	657.369283725	657.369283725	13704.246	13704.246	13687.500	13687.500	-89.05	0.0000	0.000	13687.500	657.3707	FF				
13	Spectrogram 1	1	665.430234799	665.712108397	12017.570	18975.110	13312.500	14625.000	-82.18	0.2819	6957.540	13312.500	665.4880		SA	A	0	SB
14	Spectrogram 1	1	665.447695995	665.447695995	12368.960	12368.960	12375.000	12375.000	-69.41	0.0000	0.000	12375.000	665.4453	FI				
15	Spectrogram 1	1	665.707119483	665.707119483	18553.441	18553.441	18562.500	18562.500	-85.70	0.0000	0.000	18562.500	665.7067	F				
16	Spectrogram 1	1	690.852848158	691.157171866	8466.472	13784.257	12093.750	10781.250	-77.65	0.3043	5317.784	12093.750	691.0933		SA	A	0	SB
17	Spectrogram 1	1	690.865320441	690.865320441	8886.297	8886.297	8906.250	8906.250	-73.39	0.0000	0.000	8906.250	690.8640	FI				
18	Spectrogram 1	1	691.152182952	691.152182952	13644.315	13644.315	13687.500	13687.500	-82.33	0.0000	0.000	13687.500	691.1520	FF				
19	Spectrogram 1	1	693.859951364	694.134341592	8816.327	13364.431	11531.250	10968.750	-78.02	0.2744	4548.105	11531.250	694.0480		SA	A	0	SB
20	Spectrogram 1	1	693.867434734	693.867434734	9236.152	9236.152	9281.250	9281.250	-75.65	0.0000	0.000	9281.250	693.8667	FI				
21	Spectrogram 1	1	694.124363765	694.124363765	13294.461	13294.461	13312.500	13312.500	-78.17	0.0000	0.000	13312.500	694.1227	FF				
22	Spectrogram 1	1	699.069692578	699.341588349	8956.268	13784.257	11906.250	10875.000	-78.73	0.2719	4827.988	11906.250	699.2853		SA	A	0	SB
23	Spectrogram 1	1	699.084659318	699.084659318	9096.210	9096.210	9093.750	9093.750	-82.06	0.0000	0.000	9093.750	699.0827	FI				
