Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF- Check	modulacao	PI	sobreposicao
1	Spectrogram 1	1	13.100509440	13.585041671	8356.275	34235.300	14906.250	15000.000	-80.11	0.4845	25879.025	14906.250	13.3653		SA	M	2	SB
2	Spectrogram 1	1	13.114567435	13.114567435	9411.800	9411.800	9375.000	9375.000	-78.58	0.0000	0.000	9375.000	13.1147	FI				
3	Spectrogram 1	1	13.581292872	13.581292872	33647.100	33647.100	33656.250	33656.250	-94.05	0.0000	0.000	33656.250	13.5787	FF				
4	Spectrogram 1	1	19.941201952	20.404178591	8352.900	33411.800	14812.500	15093.750	-84.75	0.4630	25058.900	14812.500	20.0373		SA	M	2	SB
5	Spectrogram 1	1	19.948699550	19.948699550	9764.700	9764.700	9750.000	9750.000	-77.16	0.0000	0.000	9750.000	19.9467	FI				
6	Spectrogram 1	1	20.396680994	20.396680994	31882.400	31882.400	31875.000	31875.000	-102.01	0.0000	0.000	31875.000	20.3947	FF				
7	Spectrogram 1	1	96.587984319	96.871018621	5882.400	17647.100	9093.750	10406.250	-82.80	0.2830	11764.700	9093.750	96.6453		SA	A	0	SS
8	Spectrogram 1	1	96.604853913	96.604853913	6352.900	6352.900	6375.000	6375.000	-80.65	0.0000	0.000	6375.000	96.6027	FI				
9	Spectrogram 1	1	96.863521023	96.863521023	16941.200	16941.200	16968.750	16968.750	-83.86	0.0000	0.000	16968.750	96.8640	FF				
10	Spectrogram 1	1	97.287731212	97.533277526	8705.900	26352.900	10781.250	11625.000	-88.39	0.2455	17647.000	10781.250	97.3067		SA	A	0	SS
11	Spectrogram 1	1	97.293354410	97.293354410	9647.100	9647.100	9656.250	9656.250	-78.68	0.0000	0.000	9656.250	97.2960	FI				
12	Spectrogram 1	1	97.531403127	97.531403127	25176.500	25176.500	25218.750	25218.750	-90.23	0.0000	0.000	25218.750	97.5307	FF				
13	Spectrogram 1	1	95.925868974	96.098313714	7294.100	15764.700	11625.000	10781.250	-84.64	0.1724	8470.600	11625.000	95.9893		SA	A	0	SS
14	Spectrogram 1	1	95.929617772	95.929617772	8000.000	8000.000	7968.750	7968.750	-82.90	0.0000	0.000	7968.750	95.9307	FI				
15	Spectrogram 1	1	96.087067318	96.087067318	14705.900	14705.900	14718.750	14718.750	-80.92	0.0000	0.000	14718.750	96.0853	FF				
16	Spectrogram 1	1	179.378219157	179.769968621	8823.500	34705.900	28218.750	24656.250	-86.35	0.3917	25882.400	28218.750	179.6480		SA	A	0	SB
17	Spectrogram 1	1	179.387591154	179.387591154	9647.100	9647.100	9656.250	9656.250	-66.77	0.0000	0.000	9656.250	179.3867	FI				
18	Spectrogram 1	1	179.768094221	179.768094221	34000.000	34000.000	34031.250	34031.250	-92.64	0.0000	0.000	34031.250	179.7707	FF				
19	Spectrogram 1	1	216.934573479	217.309453348	8352.900	36705.900	26343.750	19031.250	-87.55	0.3749	28353.000	26343.750	217.1627		SA	A	0	SB
20	Spectrogram 1	1	216.942071076	216.942071076	9411.800	9411.800	9375.000	9375.000	-76.25	0.0000	0.000	9375.000	216.9440	FI				
21	Spectrogram 1	1	217.309453348	217.309453348	35411.800	35411.800	35437.500	35437.500	-105.93	0.0000	0.000	35437.500	217.3120	FF				
22	Spectrogram 1	1	217.768681188	218.160430652	8470.600	32705.900	26718.750	26156.250	-85.77	0.3917	24235.300	26718.750	218.0267		SA	A	0	SB
23	Spectrogram 1	1	217.774304386	217.774304386	9529.400	9529.400	9562.500	9562.500	-85.26	0.0000	0.000	9562.500	217.7760	FI				
24	Spectrogram 1	1	218.156681853	218.156681853	30823.500	30823.500	30843.750	30843.750	-87.40	0.0000	0.000	30843.750	218.1547	FF				
25	Spectrogram 1	1	253.517433195	254.044139411	6941.200	28470.600	25968.750	14625.000	-89.18	0.5267	21529.400	25968.750	253.9733		SA	A	0	SB
26	Spectrogram 1	1	253.524930792	253.524930792	7647.100	7647.100	7687.500	7687.500	-86.44	0.0000	0.000	7687.500	253.5253	FI				
27	Spectrogram 1	1	254.034767415	254.034767415	27882.400	27882.400	27843.750	27843.750	-89.87	0.0000	0.000	27843.750	254.0373	FF				
