Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF- Check	modulacao	PI	sobreposicao
1	Spectrogram 1	1	306.868227375	307.467308396	5294.100	21176.500	10593.750	10593.750	-75.68	0.5991	15882.400	10593.750	307.1840		SA	A	0	SB
2	Spectrogram 1	1	847.399424509	847.653901403	13764.700	16117.600	15468.750	15468.750	-73.74	0.2545	2352.900	15468.750	847.4720		SA	C	0	SS
3	Spectrogram 1	1	1281.695846523	1281.968879023	14000.000	16117.600	15281.250	15281.250	-78.17	0.2730	2117.600	15281.250	1281.8400		SA	C	0	SS
4	Spectrogram 1	1	1281.714402130	1281.714402130	15411.800	15411.800	15375.000	15375.000	-69.60	0.0000	0.000	15375.000	1281.7120	FI				
5	Spectrogram 1	1	306.878830579	306.878830579	6000.000	6000.000	6000.000	6000.000	-77.49	0.0000	0.000	6000.000	306.8800	FI				
6	Spectrogram 1	1	847.637996597	847.637996597	15411.800	15411.800	15375.000	15375.000	-64.12	0.0000	0.000	15375.000	847.6373	FF				
7	Spectrogram 1	1	1281.955625019	1281.955625019	15411.800	15411.800	15375.000	15375.000	-76.48	0.0000	0.000	15375.000	1281.9573	FF				
8	Spectrogram 1	1	847.412678514	847.412678514	14705.900	14705.900	14718.750	14718.750	-91.20	0.0000	0.000	14718.750	847.4133	FI				
9	Spectrogram 1	1	307.451403590	307.451403590	20705.900	20705.900	20718.750	20718.750	-96.21	0.0000	0.000	20718.750	307.4507	FF				
