Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	88.385160050	88.621334368	13989.305	15657.754	15000.000	14812.500	-61.92	0.2362	1668.449	15000.000	88.4827		SA	C	0	SB
2	Spectrogram 1	1	88.403371013	88.403371013	14328.358	14328.358	14250.000	14250.000	-51.78	0.0000	0.000	14250.000	88.4027	FI				
3	Spectrogram 1	1	88.610133489	88.610133489	14758.209	14758.209	14812.500	14812.500	-71.82	0.0000	0.000	14812.500	88.6107	FF				
4	Spectrogram 1	1	141.704761035	142.009603148	8597.015	13182.090	10125.000	10312.500	-84.90	0.3048	4585.075	10125.000	141.7920		SA	A	0	SB
5	Spectrogram 1	1	141.723316642	141.723316642	9743.284	9743.284	9750.000	9750.000	-76.48	0.0000	0.000	9750.000	141.7227	FI				
6	Spectrogram 1	1	141.985745939	141.985745939	12322.388	12322.388	12375.000	12375.000	-86.02	0.0000	0.000	12375.000	141.9867	FF				
7	Spectrogram 1	1	144.343987836	144.545448711	10029.851	18053.731	17250.000	14437.500	-85.79	0.2015	8023.880	17250.000	144.5333		SA	A	0	SB
8	Spectrogram 1	1	144.354591040	144.354591040	10746.269	10746.269	10687.500	10687.500	-92.47	0.0000	0.000	10687.500	144.3547	FI				
9	Spectrogram 1	1	144.534845507	144.534845507	17194.030	17194.030	17250.000	17250.000	-74.05	0.0000	0.000	17250.000	144.5360	FF				
10	Spectrogram 1	1	187.955147966	188.411085734	10459.701	35247.761	15000.000	15000.000	-70.75	0.4559	24788.060	15000.000	188.1093		SA	M	2	SB
11	Spectrogram 1	1	187.963100369	187.963100369	12179.104	12179.104	12187.500	12187.500	-68.22	0.0000	0.000	12187.500	187.9627	FI				
12	Spectrogram 1	1	188.403133331	188.403133331	33814.925	33814.925	33750.000	33750.000	-84.72	0.0000	0.000	33750.000	188.4027	FF				
13	Spectrogram 1	1	198.167192078	198.416367370	10746.269	19200.000	15375.000	15375.000	-65.32	0.2492	8453.731	15375.000	198.2267		SA	M	2	SB
14	Spectrogram 1	1	198.172493680	198.172493680	13182.090	13182.090	13125.000	13125.000	-64.85	0.0000	0.000	13125.000	198.1733	FI				
15	Spectrogram 1	1	198.405764166	198.405764166	17910.448	17910.448	18000.000	18000.000	-78.43	0.0000	0.000	18000.000	198.4053	FF				
16	Spectrogram 1	1	210.999133664	211.227102549	11319.403	22065.672	15562.500	15562.500	-74.85	0.2280	10746.269	15562.500	211.0800		SA	M	2	SB
17	Spectrogram 1	1	211.004435266	211.004435266	12608.955	12608.955	12562.500	12562.500	-77.65	0.0000	0.000	12562.500	211.0053	FI				
18	Spectrogram 1	1	211.227102549	211.227102549	20776.119	20776.119	20812.500	20812.500	-101.84	0.0000	0.000	20812.500	211.2267	FF				
19	Spectrogram 1	1	349.822783252	350.299927428	12179.104	36394.030	15562.500	15562.500	-71.95	0.4771	24214.926	15562.500	350.0000		SA	M	2	SB
