Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	0.421477355	0.728970269	10758.621	18068.966	12187.500	12750.000	-82.17	0.3075	7310.345	12187.500	0.5173		SA	A	0	0
2	Spectrogram 1	1	0.432080559	0.432080559	11448.276	11448.276	11437.500	11437.500	-80.13	0.0000	0.000	11437.500	0.4320	FI				
3	Spectrogram 1	1	0.718367065	0.718367065	17517.241	17517.241	17437.500	17437.500	-87.04	0.0000	0.000	17437.500	0.7173	FF				
4	Spectrogram 1	1	3.291518002	3.453216862	11172.414	20137.931	11437.500	14625.000	-84.88	0.1617	8965.517	11437.500	3.3573		SA	A	0	SB
5	Spectrogram 1	1	3.304772007	3.304772007	11724.138	11724.138	11812.500	11812.500	-83.43	0.0000	0.000	11812.500	3.3040	FI				
6	Spectrogram 1	1	3.447915260	3.447915260	19034.483	19034.483	19125.000	19125.000	-80.34	0.0000	0.000	19125.000	3.4480	FF				
7	Spectrogram 1	1	35.317708552	35.601344256	9793.103	19172.414	11437.500	12187.500	-79.30	0.2836	9379.311	11437.500	35.3547		SA	A	0	SB
8	Spectrogram 1	1	35.336264159	35.336264159	10482.759	10482.759	10500.000	10500.000	-97.91	0.0000	0.000	10500.000	35.3360	FI				
9	Spectrogram 1	1	35.596042654	35.596042654	17793.103	17793.103	17812.500	17812.500	-93.33	0.0000	0.000	17812.500	35.5973	FF				
10	Spectrogram 1	1	48.057424965	48.277441446	9103.448	18758.621	12562.500	12562.500	-84.13	0.2200	9655.173	12562.500	48.0853		SA	A	0	SB
11	Spectrogram 1	1	48.075980572	48.075980572	10068.966	10068.966	10125.000	10125.000	-77.67	0.0000	0.000	10125.000	48.0747	FI				
12	Spectrogram 1	1	48.269489043	48.269489043	18482.759	18482.759	18562.500	18562.500	-95.92	0.0000	0.000	18562.500	48.2693	FF				
13	Spectrogram 1	1	54.138034975	54.368654660	10068.966	18068.966	11437.500	12750.000	-80.89	0.2306	8000.000	11437.500	54.1813		SA	A	0	SB
14	Spectrogram 1	1	54.145987378	54.145987378	10344.828	10344.828	10312.500	10312.500	-79.18	0.0000	0.000	10312.500	54.1467	FI				
15	Spectrogram 1	1	54.368654660	54.368654660	16965.517	16965.517	16875.000	16875.000	-88.05	0.0000	0.000	16875.000	54.3680	FF				
16	Spectrogram 1	1	69.278594303	69.543674400	8551.724	17379.310	12750.000	12000.000	-80.18	0.2651	8827.586	12750.000	69.4187		SA	A	0	SB
17	Spectrogram 1	1	69.286546705	69.286546705	9655.172	9655.172	9562.500	9562.500	-77.86	0.0000	0.000	9562.500	69.2853	FI				
18	Spectrogram 1	1	69.533071196	69.533071196	16000.000	16000.000	15937.500	15937.500	-73.77	0.0000	0.000	15937.500	69.5333	FF				
19	Spectrogram 1	1	119.804975751	119.987881018	10482.759	16000.000	12000.000	12750.000	-79.28	0.1829	5517.241	12000.000	119.8880		SA	A	0	SB
20	Spectrogram 1	1	119.810277353	119.810277353	11034.483	11034.483	11062.500	11062.500	-85.90	0.0000	0.000	11062.500	119.8107	FI				
21	Spectrogram 1	1	119.974627013	119.974627013	15724.138	15724.138	15750.000	15750.000	-83.53	0.0000	0.000	15750.000	119.9733	FF				
22	Spectrogram 1	1	136.027490007	136.284617701	10206.897	17655.172	10687.500	12937.500	-78.90	0.2571	7448.275	10687.500	136.1227		SA	A	0	SB
23	Spectrogram 1	1	136.043394812	136.043394812	10758.621	10758.621	10687.500	10687.500	-73.81	0.0000	0.000	10687.500	136.0427	FI				
24	Spectrogram 1	1	136.274014497	136.274014497	17103.448	17103.448	17062.500	17062.500	-73.82	0.0000	0.000	17062.500	136.2747	FF				
25	Spectrogram 1	1	186.171741219	186.426218113	9241.379	16827.586	9750.000	12375.000	-77.71	0.2545	7586.207	9750.000	186.1733		NA	A	0	SB
26	Spectrogram 1	1	186.187646025	186.187646025	10206.897	10206.897	10125.000	10125.000	-76.20	0.0000	0.000	10125.000	186.1867	FI				
27	Spectrogram 1	1	186.415614909	186.415614909	16275.862	16275.862	16312.500	16312.500	-75.26	0.0000	0.000	16312.500	186.4160	FF				
28	Spectrogram 1	1	193.941559079	194.227845585	9793.103	20275.862	12750.000	13125.000	-79.70	0.2863	10482.759	12750.000	194.0613		NA	A	0	SB
29	Spectrogram 1	1	193.962765487	193.962765487	10206.897	10206.897	10125.000	10125.000	-79.63	0.0000	0.000	10125.000	193.9627	FI				
30	Spectrogram 1	1	194.219893182	194.219893182	19310.345	19310.345	19312.500	19312.500	-78.99	0.0000	0.000	19312.500	194.2187	FF				
31	Spectrogram 1	1	208.341514094	208.566832177	9379.310	16137.931	9750.000	12000.000	-78.60	0.2253	6758.621	9750.000	208.3893		SA	A	0	SB
32	Spectrogram 1	1	208.354768099	208.354768099	9793.103	9793.103	9750.000	9750.000	-85.06	0.0000	0.000	9750.000	208.3547	FI				
33	Spectrogram 1	1	208.550927371	208.550927371	15724.138	15724.138	15750.000	15750.000	-75.50	0.0000	0.000	15750.000	208.5520	FF				
34	Spectrogram 1	1	259.632354339	259.767545189	11034.483	19448.276	12937.500	13875.000	-84.21	0.1352	8413.793	12937.500	259.6560		SA	A	0	SB
35	Spectrogram 1	1	259.635005140	259.635005140	11862.069	11862.069	11812.500	11812.500	-83.13	0.0000	0.000	11812.500	259.6347	FI				
36	Spectrogram 1	1	259.759592786	259.759592786	18482.759	18482.759	18562.500	18562.500	-77.52	0.0000	0.000	18562.500	259.7600	FF				
37	Spectrogram 1	1	257.024751673	257.181148930	9379.310	16827.586	12187.500	12750.000	-81.33	0.1564	7448.276	12187.500	257.1120		SA	A	0	SB
38	Spectrogram 1	1	257.043307280	257.043307280	10620.690	10620.690	10687.500	10687.500	-75.40	0.0000	0.000	10687.500	257.0427	FI				
39	Spectrogram 1	1	257.173196527	257.173196527	16413.793	16413.793	16500.000	16500.000	-76.04	0.0000	0.000	16500.000	257.1733	FF				
40	Spectrogram 1	1	258.801200112	259.029168997	9931.034	19724.138	11437.500	12375.000	-80.08	0.2280	9793.104	11437.500	258.8933		SA	A	0	SB
41	Spectrogram 1	1	258.814454117	258.814454117	10206.897	10206.897	10125.000	10125.000	-73.22	0.0000	0.000	10125.000	258.8133	FI				
42	Spectrogram 1	1	259.023867395	259.023867395	19034.483	19034.483	19125.000	19125.000	-85.13	0.0000	0.000	19125.000	259.0240	FF				
43	Spectrogram 1	1	268.468605535	268.731034831	9931.034	16551.724	16125.000	12562.500	-81.16	0.2624	6620.690	16125.000	268.7253		SA	A	0	SB
44	Spectrogram 1	1	268.489811942	268.489811942	10344.828	10344.828	10312.500	10312.500	-76.28	0.0000	0.000	10312.500	268.4907	FI				
45	Spectrogram 1	1	268.717780827	268.717780827	15586.207	15586.207	15562.500	15562.500	-79.21	0.0000	0.000	15562.500	268.7173	FF				
46	Spectrogram 1	1	273.000122383	273.294361291	8965.517	19034.483	12000.000	12000.000	-78.77	0.2942	10068.966	12000.000	273.1147		SA	A	0	SB
