Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	93.799316093	94.093555002	10345.691	18422.590	12375.000	13031.250	-80.35	0.2942	8076.899	12375.000	94.0693		NA	A	0	SS
2	Spectrogram 1	1	93.815220899	93.815220899	10527.194	10527.194	10500.000	10500.000	-78.74	0.0000	0.000	10500.000	93.8133	FI				
3	Spectrogram 1	1	94.088253400	94.088253400	17878.079	17878.079	17906.250	17906.250	-96.43	0.0000	0.000	17906.250	94.0907	FF				
4	Spectrogram 1	1	16.173565814	16.473106325	17787.328	21961.905	20062.500	19781.250	-88.95	0.2995	4174.577	20062.500	16.3680		SA	A	0	SB
5	Spectrogram 1	1	16.192121421	16.192121421	18150.334	18150.334	18187.500	18187.500	-79.97	0.0000	0.000	18187.500	16.1920	FI				
6	Spectrogram 1	1	16.467804723	16.467804723	21417.395	21417.395	21375.000	21375.000	-102.41	0.0000	0.000	21375.000	16.4693	FF				
7	Spectrogram 1	1	98.824606621	99.142702738	9982.684	18785.596	12000.000	12750.000	-78.29	0.3181	8802.912	12000.000	99.0613		NA	A	0	SB
8	Spectrogram 1	1	98.840511427	98.840511427	10436.442	10436.442	10406.250	10406.250	-80.74	0.0000	0.000	10406.250	98.8427	FI				
9	Spectrogram 1	1	99.134750335	99.134750335	18150.334	18150.334	18187.500	18187.500	-79.44	0.0000	0.000	18187.500	99.1360	FF				
10	Spectrogram 1	1	101.068245021	101.415499949	9347.422	18876.348	11062.500	12656.250	-78.21	0.3473	9528.926	11062.500	101.2427		NA	A	0	SB
11	Spectrogram 1	1	101.084149827	101.084149827	10073.436	10073.436	10031.250	10031.250	-74.70	0.0000	0.000	10031.250	101.0827	FI				
12	Spectrogram 1	1	101.399595143	101.399595143	18150.334	18150.334	18187.500	18187.500	-79.00	0.0000	0.000	18187.500	101.3973	FF				
13	Spectrogram 1	1	105.471904367	105.702524052	9528.926	16244.549	11156.250	11812.500	-76.43	0.2306	6715.623	11156.250	105.4987		SA	A	0	SB
14	Spectrogram 1	1	105.477205969	105.477205969	10073.436	10073.436	10031.250	10031.250	-77.89	0.0000	0.000	10031.250	105.4773	FI				
15	Spectrogram 1	1	105.694571649	105.694571649	15700.039	15700.039	15656.250	15656.250	-79.65	0.0000	0.000	15656.250	105.6960	FF				
16	Spectrogram 1	1	111.970119167	112.267008876	6715.624	16789.059	11437.500	12000.000	-80.14	0.2969	10073.435	11437.500	112.0480		SA	A	0	SB
