Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	91.816216268	92.187328405	13219.251	17197.861	15187.500	15187.500	-76.63	0.3711	3978.610	15187.500	92.0933		SA	A	0	SB
2	Spectrogram 1	1	91.834771875	91.834771875	14117.647	14117.647	14062.500	14062.500	-74.78	0.0000	0.000	14062.500	91.8347	FI				
3	Spectrogram 1	1	92.176725201	92.176725201	16299.465	16299.465	16312.500	16312.500	-67.15	0.0000	0.000	16312.500	92.1760	F				
4	Spectrogram 1	1	272.966466502	273.419753469	12962.567	16684.492	14250.000	14250.000	-79.41	0.4533	3721.925	14250.000	273.1440		SA	A	0	SB
5	Spectrogram 1	1	272.982371308	272.982371308	13475.936	13475.936	13500.000	13500.000	-83.51	0.0000	0.000	13500.000	272.9813	FI				
6	Spectrogram 1	1	273.403848663	273.403848663	16042.781	16042.781	16125.000	16125.000	-74.95	0.0000	0.000	16125.000	273.4027	FF				
7	Spectrogram 1	1	811.046814006	811.354306920	9112.299	13604.278	11812.500	11812.500	-70.82	0.3075	4491.979	11812.500	811.3120		SA	A	0	SB
8	Spectrogram 1	1	811.068020414	811.068020414	10010.695	10010.695	9937.500	9937.500	-85.61	0.0000	0.000	9937.500	811.0693	FI				
9	Spectrogram 1	1	811.343703716	811.343703716	12705.882	12705.882	12750.000	12750.000	-65.79	0.0000	0.000	12750.000	811.3440	FF				
10	Spectrogram 1	1	875.640604596	875.900383092	7957.219	16171.123	15375.000	13875.000	-74.81	0.2598	8213.904	15375.000	875.8640		SA	A	0	SB
11	Spectrogram 1	1	875.661811004	875.661811004	9112.299	9112.299	9187.500	9187.500	-68.17	0.0000	0.000	9187.500	875.6613	FI				
12	Spectrogram 1	1	875.884478286	875.884478286	15786.096	15786.096	15750.000	15750.000	-63.35	0.0000	0.000	15750.000	875.8853	FF				
