Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	4.847507317	5.372339134	6545.455	19379.679	10875.000	9937.500	-81.72	0.5248	12834.224	10875.000	5.1627		SA	A	0	SB
2	Spectrogram 1	1	4.877497706	4.877497706	7058.824	7058.824	7125.000	7125.000	-86.46	0.0000	0.000	7125.000	4.8773	FI				
3	Spectrogram 1	1	5.361092738	5.361092738	17454.545	17454.545	17437.500	17437.500	-85.65	0.0000	0.000	17437.500	5.3600	FF				
4	Spectrogram 1	1	5.424822315	5.844687769	10395.722	29775.401	16312.500	16500.000	-86.33	0.4199	19379.679	16312.500	5.5520		SA	A	0	SB
5	Spectrogram 1	1	5.443566309	5.443566309	11550.802	11550.802	11625.000	11625.000	-75.06	0.0000	0.000	11625.000	5.4427	FI				
6	Spectrogram 1	1	5.833441373	5.833441373	29005.348	29005.348	29062.500	29062.500	-86.18	0.0000	0.000	29062.500	5.8347	FF				
7	Spectrogram 1	1	6.259526309	6.518193419	12064.171	30417.112	16312.500	16125.000	-88.82	0.2587	18352.941	16312.500	6.3413		SA	A	0	SB
8	Spectrogram 1	1	6.274521504	6.274521504	13219.251	13219.251	13312.500	13312.500	-77.64	0.0000	0.000	13312.500	6.2747	FI				
9	Spectrogram 1	1	6.503198224	6.503198224	30032.086	30032.086	30000.000	30000.000	-96.96	0.0000	0.000	30000.000	6.5040	FF				
10	Spectrogram 1	1	13.305815218	13.688192685	8855.615	22588.235	11062.500	12000.000	-79.85	0.3824	13732.620	11062.500	13.4480		NA	A	0	SB
11	Spectrogram 1	1	13.335805608	13.335805608	10010.695	10010.695	9937.500	9937.500	-91.87	0.0000	0.000	9937.500	13.3360	FI				
12	Spectrogram 1	1	13.676946289	13.676946289	22203.209	22203.209	22125.000	22125.000	-103.20	0.0000	0.000	22125.000	13.6773	FF				
13	Spectrogram 1	1	14.078067749	14.580406774	6032.086	18609.626	11062.500	11062.500	-80.60	0.5023	12577.540	11062.500	14.3280		SA	A	0	SB
14	Spectrogram 1	1	14.108058139	14.108058139	6545.455	6545.455	6562.500	6562.500	-80.48	0.0000	0.000	6562.500	14.1093	FI				
15	Spectrogram 1	1	14.569160378	14.569160378	17326.203	17326.203	17250.000	17250.000	-84.75	0.0000	0.000	17250.000	14.5680	FF				
16	Spectrogram 1	1	23.784685241	24.208299494	10267.380	33240.642	17062.500	16500.000	-88.94	0.4236	22973.262	17062.500	24.0107		SA	A	0	SB
17	Spectrogram 1	1	23.799680436	23.799680436	11550.802	11550.802	11625.000	11625.000	-81.81	0.0000	0.000	11625.000	23.8000	FI				
18	Spectrogram 1	1	24.185806702	24.185806702	31572.193	31572.193	31500.000	31500.000	-93.81	0.0000	0.000	31500.000	24.1867	FF				
