Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	354.483061718	354.843570651	6545.455	18352.941	12000.000	9937.500	-77.63	0.3605	11807.486	12000.000	354.6267		SA	A	0	SB
2	Spectrogram 1	1	354.509569727	354.509569727	7058.824	7058.824	7125.000	7125.000	-71.33	0.0000	0.000	7125.000	354.5093	FI				
3	Spectrogram 1	1	354.827665845	354.827665845	17454.545	17454.545	17437.500	17437.500	-74.30	0.0000	0.000	17437.500	354.8267	FF				
4	Spectrogram 1	1	592.576454561	592.820328251	11165.775	22588.235	13687.500	14250.000	-82.54	0.2439	11422.460	13687.500	592.6267		SA	A	0	SB
5	Spectrogram 1	1	592.592359367	592.592359367	11935.829	11935.829	12000.000	12000.000	-78.23	0.0000	0.000	12000.000	592.5920	FI				
6	Spectrogram 1	1	598.493061732	598.493061732	13219.251	13219.251	13312.500	13312.500	-78.69	0.0000	0.000	13312.500	598.4933	FF				
7	Spectrogram 1	1	598.286299256	598.599093771	11294.118	22588.235	12937.500	16125.000	-81.27	0.3128	11294.117	12937.500	598.3413		SA	A	0	SB
8	Spectrogram 1	1	598.323410470	598.323410470	12064.171	12064.171	12000.000	12000.000	-82.27	0.0000	0.000	12000.000	598.3227	FI				
9	Spectrogram 1	1	598.588490567	598.588490567	21304.813	21304.813	21375.000	21375.000	-70.51	0.0000	0.000	21375.000	598.5893	FF				
10	Spectrogram 1	1	596.536770611	596.764739495	11935.829	24385.027	13500.000	14812.500	-82.24	0.2280	12449.198	13500.000	596.5733		SA	A	0	SB
11	Spectrogram 1	1	596.557977019	596.557977019	12834.225	12834.225	12750.000	12750.000	-65.02	0.0000	0.000	12750.000	596.5573	FI				
12	Spectrogram 1	1	596.759437893	596.759437893	23743.316	23743.316	23812.500	23812.500	-97.93	0.0000	0.000	23812.500	596.7600	FF				
13	Spectrogram 1	1	602.635790027	602.826647697	11935.829	22459.893	13687.500	15562.500	-81.09	0.1909	10524.064	13687.500	602.6587		SA	A	0	SB
14	Spectrogram 1	1	602.641091629	602.641091629	13347.594	13347.594	13312.500	13312.500	-83.96	0.0000	0.000	13312.500	602.6400	FI				
15	Spectrogram 1	1	602.816044493	602.816044493	21818.182	21818.182	21750.000	21750.000	-97.55	0.0000	0.000	21750.000	602.8160	FF				
16	Spectrogram 1	1	759.219878162	759.527371075	9497.326	17582.888	10687.500	11437.500	-68.59	0.3075	8085.562	10687.500	759.2720		SA	A	0	SB
17	Spectrogram 1	1	759.246386171	759.246386171	10010.695	10010.695	9937.500	9937.500	-76.31	0.0000	0.000	9937.500	759.2453	FI				
18	Spectrogram 1	1	759.516767871	759.516767871	17326.203	17326.203	17250.000	17250.000	-93.45	0.0000	0.000	17250.000	759.5173	FF				
19	Spectrogram 1	1	1084.844990878	1085.274420636	6545.455	21048.128	12187.500	10125.000	-80.40	0.4294	14502.673	12187.500	1085.0480		SA	A	0	SB
20	Spectrogram 1	1	1084.876800490	1084.876800490	7443.850	7443.850	7500.000	7500.000	-82.83	0.0000	0.000	7500.000	1084.8773	FI				
21	Spectrogram 1	1	1085.237309423	1085.237309423	20278.075	20278.075	20250.000	20250.000	-93.62	0.0000	0.000	20250.000	1085.2373	FF				
22	Spectrogram 1	1	1160.833368575	1161.215083915	7443.850	19764.706	14250.000	10312.500	-79.83	0.3817	12320.856	14250.000	1161.1680		SA	A	0	SB
23	Spectrogram 1	1	1160.854574982	1160.854574982	8342.246	8342.246	8250.000	8250.000	-62.57	0.0000	0.000	8250.000	1160.8533	FI				
24	Spectrogram 1	1	1161.204480711	1161.204480711	19122.995	19122.995	19125.000	19125.000	-99.80	0.0000	0.000	19125.000	1161.2053	FF				
25	Spectrogram 1	1	1359.541391936	1359.854186451	14631.016	24128.342	19312.500	19312.500	-83.17	0.3128	9497.326	19312.500	1359.7067		SA	A	0	SB
26	Spectrogram 1	1	1359.557296742	1359.557296742	15914.439	15914.439	15937.500	15937.500	-83.87	0.0000	0.000	15937.500	1359.5573	FI				
27	Spectrogram 1	1	1359.832980044	1359.832980044	23358.289	23358.289	23437.500	23437.500	-105.72	0.0000	0.000	23437.500	1359.8320	FF				
