Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF- Check	modulacao	PI	sobreposicao
1	Spectrogram 1	1	343.781142229	343.982603103	13861.000	15786.100	14718.750	14812.500	-91.39	0.2015	1925.100	14718.750	343.8453		SA	A	0	SB
2	Spectrogram 1	1	343.791745433	343.791745433	13989.300	13989.300	13968.750	13968.750	-100.09	0.0000	0.000	13968.750	343.7920	FI				
3	Spectrogram 1	1	343.971999899	343.971999899	14631.000	14631.000	14625.000	14625.000	-91.81	0.0000	0.000	14625.000	343.9733	FF				
4	Spectrogram 1	1	344.207921186	344.353715240	7443.900	17197.900	12750.000	12000.000	-92.84	0.1458	9754.000	12750.000	344.2773		SA	A	0	SB
5	Spectrogram 1	1	344.215873589	344.215873589	8213.900	8213.900	8250.000	8250.000	-86.48	0.0000	0.000	8250.000	344.2133	FI				
6	Spectrogram 1	1	344.345762837	344.345762837	16812.800	16812.800	16781.250	16781.250	-88.28	0.0000	0.000	16781.250	344.3467	FF				
7	Spectrogram 1	1	349.677623844	349.881735519	7957.200	17839.600	8156.250	11062.500	-87.11	0.2041	9882.400	8156.250	349.8240		NA	A	0	SB
8	Spectrogram 1	1	349.688227048	349.688227048	8342.200	8342.200	8343.750	8343.750	-85.77	0.0000	0.000	8343.750	349.6907	FI				
9	Spectrogram 1	1	349.876433917	349.876433917	17454.500	17454.500	17437.500	17437.500	-92.50	0.0000	0.000	17437.500	349.8773	FF				
10	Spectrogram 1	1	353.598218357	353.750843961	7619.048	18096.300	10781.250	10687.500	-91.99	0.1526	10477.252	10781.250	353.6587		SA	A	0	SB
11	Spectrogram 1	1	353.614123163	353.614123163	8470.600	8470.600	8437.500	8437.500	-86.85	0.0000	0.000	8437.500	353.6160	FI				
12	Spectrogram 1	1	353.741361610	353.741361610	17839.600	17839.600	17812.500	17812.500	-86.46	0.0000	0.000	17812.500	353.7440	FF				
13	Spectrogram 1	1	411.057963198	411.288582883	17582.900	20149.700	18750.000	18843.750	-91.11	0.2306	2566.800	18750.000	411.1093		SA	A	0	SB
14	Spectrogram 1	1	411.071217203	411.071217203	18224.600	18224.600	18187.500	18187.500	-95.85	0.0000	0.000	18187.500	411.0720	FI				
15	Spectrogram 1	1	411.283281281	411.283281281	19636.400	19636.400	19593.750	19593.750	-92.67	0.0000	0.000	19593.750	411.2853	FF				
16	Spectrogram 1	1	437.918684192	438.167859484	22844.900	29262.000	23062.500	25968.750	-96.89	0.2492	6417.100	23062.500	438.0747		NA	A	0	SB
17	Spectrogram 1	1	437.929287396	437.929287396	23615.000	23615.000	23625.000	23625.000	-93.64	0.0000	0.000	23625.000	437.9307	FI				
18	Spectrogram 1	1	438.154605479	438.154605479	28748.700	28748.700	28781.250	28781.250	-101.15	0.0000	0.000	28781.250	438.1547	FF				
19	Spectrogram 1	1	451.865965847	452.088633129	26823.500	29262.000	28500.000	28500.000	-98.61	0.2227	2438.500	28500.000	452.0533		SA	A	0	SB
20	Spectrogram 1	1	451.873918250	451.873918250	27080.200	27080.200	27093.750	27093.750	-98.30	0.0000	0.000	27093.750	451.8720	FI				
21	Spectrogram 1	1	452.070077522	452.070077522	28492.000	28492.000	28500.000	28500.000	-83.91	0.0000	0.000	28500.000	452.0693	FF				
22	Spectrogram 1	1	479.105966792	479.492983735	10524.100	22331.600	11531.250	14156.250	-92.49	0.3870	11807.500	11531.250	479.3227		NA	A	0	SB
23	Spectrogram 1	1	479.119220797	479.119220797	11422.500	11422.500	11437.500	11437.500	-86.67	0.0000	0.000	11437.500	479.1200	FI				
24	Spectrogram 1	1	479.482380531	479.482380531	21689.800	21689.800	21656.250	21656.250	-99.91	0.0000	0.000	21656.250	479.4827	FF				
25	Spectrogram 1	1	481.830411972	482.108746075	11935.800	22588.200	15000.000	15281.250	-91.23	0.2783	10652.400	15000.000	481.8987		SA	A	0	SB
26	Spectrogram 1	1	481.838364375	481.838364375	12834.200	12834.200	12843.750	12843.750	-89.08	0.0000	0.000	12843.750	481.8400	FI				
27	Spectrogram 1	1	482.082238065	482.082238065	21946.500	21946.500	21937.500	21937.500	-100.64	0.0000	0.000	21937.500	482.0800	FF				
28	Spectrogram 1	1	482.344667362	482.514318624	11679.100	17582.900	14156.250	14531.250	-90.77	0.1697	5903.800	14156.250	482.3893		SA	A	0	SB
29	Spectrogram 1	1	482.355270566	482.355270566	12449.200	12449.200	12468.750	12468.750	-89.50	0.0000	0.000	12468.750	482.3573	FI				
