Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF- Check	modulacao	PI	sobreposicao
30	Spectrogram 1	1	482.509017022	482.509017022	16812.800	16812.800	16781.250	16781.250	-96.10	0.0000	0.000	16781.250	482.5067	FF				
31	Spectrogram 1	1	494.607855930	495.000174474	8984.000	19893.000	9750.000	12843.750	-93.29	0.3923	10909.000	9750.000	494.9493		NA	A	0	SB
32	Spectrogram 1	1	494.629062337	494.629062337	9625.700	9625.700	9656.250	9656.250	-92.83	0.0000	0.000	9656.250	494.6293	FI				
33	Spectrogram 1	1	494.989571270	494.989571270	19508.000	19508.000	19500.000	19500.000	-96.87	0.0000	0.000	19500.000	494.9920	FF				
34	Spectrogram 1	1	517.933258413	518.346526414	9670.330	15786.100	10593.750	12093.750	-84.81	0.4133	6115.770	10593.750	518.2187		NA	A	0	SB
35	Spectrogram 1	1	517.943861617	517.943861617	9625.700	9625.700	9656.250	9656.250	-86.35	0.0000	0.000	9656.250	517.9413	FI				
36	Spectrogram 1	1	518.322926157	518.322926157	15272.700	15272.700	15281.250	15281.250	-83.23	0.0000	0.000	15281.250	518.3253	FF				
37	Spectrogram 1	1	518.932568621	519.335490370	9497.300	18994.700	11343.750	12562.500	-92.32	0.4029	9497.400	11343.750	518.9920		NA	A	0	SB
38	Spectrogram 1	1	518.943171825	518.943171825	10010.700	10010.700	10031.250	10031.250	-89.63	0.0000	0.000	10031.250	518.9440	FI				
39	Spectrogram 1	1	519.324887166	519.324887166	18481.300	18481.300	18468.750	18468.750	-111.55	0.0000	0.000	18468.750	519.3227	FF				
40	Spectrogram 1	1	519.764920128	520.059159037	11550.800	21818.200	11718.750	14250.000	-91.47	0.2942	10267.400	11718.750	519.9253		NA	A	0	SB
41	Spectrogram 1	1	519.778174133	519.778174133	11935.800	11935.800	11906.250	11906.250	-84.44	0.0000	0.000	11906.250	519.7760	FI				
42	Spectrogram 1	1	520.056508236	520.056508236	21304.800	21304.800	21281.250	21281.250	-96.37	0.0000	0.000	21281.250	520.0587	FF				
43	Spectrogram 1	1	520.642335252	520.968383772	10267.400	22844.900	14718.750	14156.250	-93.19	0.3260	12577.500	14718.750	520.7413		SA	A	0	SB
44	Spectrogram 1	1	520.660890859	520.660890859	10780.700	10780.700	10781.250	10781.250	-91.30	0.0000	0.000	10781.250	520.6613	FI				
45	Spectrogram 1	1	520.952478966	520.952478966	22331.600	22331.600	22312.500	22312.500	-95.72	0.0000	0.000	22312.500	520.9547	FF				
46	Spectrogram 1	1	527.739044675	528.009426374	8470.600	15144.400	11062.500	11812.500	-91.20	0.2704	6673.800	11062.500	527.9093		NA	A	0	SB
47	Spectrogram 1	1	527.749647879	527.749647879	9240.600	9240.600	9281.250	9281.250	-92.43	0.0000	0.000	9281.250	527.7493	FI				
48	Spectrogram 1	1	528.001473971	528.001473971	14374.300	14374.300	14343.750	14343.750	-100.08	0.0000	0.000	14343.750	528.0000	F				
49	Spectrogram 1	1	542.436112982	542.682637473	11550.800	21433.200	17250.000	16218.750	-92.81	0.2465	9882.400	17250.000	542.5653		SA	A	0	SB
50	Spectrogram 1	1	542.444065385	542.444065385	12577.500	12577.500	12562.500	12562.500	-87.93	0.0000	0.000	12562.500	542.4427	FI				
51	Spectrogram 1	1	542.677335871	542.677335871	20919.800	20919.800	20906.250	20906.250	-98.64	0.0000	0.000	20906.250	542.6773	FF				
52	Spectrogram 1	1	543.257861285	543.459322160	11294.100	20663.100	13218.750	14437.500	-92.10	0.2015	9369.000	13218.750	543.3867		NA	A	0	SB
53	Spectrogram 1	1	543.273766091	543.273766091	11935.800	11935.800	11906.250	11906.250	-84.32	0.0000	0.000	11906.250	543.2747	FI				
54	Spectrogram 1	1	543.448718956	543.448718956	19893.000	19893.000	19875.000	19875.000	-91.77	0.0000	0.000	19875.000	543.4507	FF				
55	Spectrogram 1	1	550.587224864	550.955686200	12449.200	23615.000	13218.750	15750.000	-94.75	0.3685	11165.800	13218.750	550.7893		NA	A	0	SB
56	Spectrogram 1	1	550.600478869	550.600478869	13219.300	13219.300	13218.750	13218.750	-81.97	0.0000	0.000	13218.750	550.6027	FI				
57	Spectrogram 1	1	550.939781394	550.939781394	22844.900	22844.900	22875.000	22875.000	-101.40	0.0000	0.000	22875.000	550.9387	FF				
58	Spectrogram 1	1	551.422227172	551.729720085	10780.700	23486.600	11250.000	14062.500	-91.97	0.3075	12705.900	11250.000	551.6533		NA	A	0	SB
59	Spectrogram 1	1	551.430179575	551.430179575	11422.500	11422.500	11437.500	11437.500	-97.61	0.0000	0.000	11437.500	551.4293	FI				
60	Spectrogram 1	1	551.719116881	551.719116881	22973.300	22973.300	22968.750	22968.750	-99.39	0.0000	0.000	22968.750	551.7173	FF				
61	Spectrogram 1	1	553.490500923	553.819200244	11550.800	18096.300	11718.750	13593.750	-89.67	0.3287	6545.500	11718.750	553.7813		NA	A	0	SB
62	Spectrogram 1	1	553.517008932	553.517008932	11679.100	11679.100	11718.750	11718.750	-89.51	0.0000	0.000	11718.750	553.5147	FI				
63	Spectrogram 1	1	553.813898642	553.813898642	17582.900	17582.900	17625.000	17625.000	-83.03	0.0000	0.000	17625.000	553.8133	FF				
64	Spectrogram 1	1	572.337946238	572.767375997	9369.000	23743.300	14625.000	13312.500	-91.81	0.4294	14374.300	14625.000	572.4427		SA	A	0	SB
65	Spectrogram 1	1	572.356501845	572.356501845	10395.700	10395.700	10406.250	10406.250	-75.34	0.0000	0.000	10406.250	572.3573	FI				
66	Spectrogram 1	1	572.743518788	572.743518788	23229.900	23229.900	23250.000	23250.000	-89.60	0.0000	0.000	23250.000	572.7413	FF				
67	Spectrogram 1	1	573.186202551	573.557314688	8984.000	24256.700	12562.500	13500.000	-91.82	0.3711	15272.700	12562.500	573.2587		SA	A	0	SB
68	Spectrogram 1	1	573.210059760	573.210059760	9497.300	9497.300	9468.750	9468.750	-94.00	0.0000	0.000	9468.750	573.2107	FI				
69	Spectrogram 1	1	573.549362285	573.549362285	23358.300	23358.300	23343.750	23343.750	-100.35	0.0000	0.000	23343.750	573.5520	FF				
70	Spectrogram 1	1	575.831963616	576.089091311	11037.400	21946.500	17437.500	15375.000	-89.19	0.2571	10909.100	17437.500	575.9520		SA	A	0	SB
71	Spectrogram 1	1	575.842566820	575.842566820	11807.500	11807.500	11812.500	11812.500	-91.18	0.0000	0.000	11812.500	575.8400	FI				
72	Spectrogram 1	1	576.057281699	576.057281699	21561.500	21561.500	21562.500	21562.500	-89.51	0.0000	0.000	21562.500	576.0587	FF				
73	Spectrogram 1	1	583.214343214	583.596058555	12449.200	24513.400	15750.000	15843.750	-95.13	0.3817	12064.200	15750.000	583.2800		SA	A	0	SB
74	Spectrogram 1	1	583.232898821	583.232898821	13090.900	13090.900	13125.000	13125.000	-98.12	0.0000	0.000	13125.000	583.2320	FI				
75	Spectrogram 1	1	583.585455351	583.585455351	23615.000	23615.000	23625.000	23625.000	-99.80	0.0000	0.000	23625.000	583.5840	FF				
76	Spectrogram 1	1	630.015473992	630.322966906	11037.400	23486.600	15375.000	15656.250	-90.97	0.3075	12449.200	15375.000	630.1973		NA	A	0	SB
77	Spectrogram 1	1	630.023426395	630.023426395	12064.200	12064.200	12093.750	12093.750	-81.49	0.0000	0.000	12093.750	630.0213	FI				
78	Spectrogram 1	1	630.315014503	630.315014503	22716.600	22716.600	22687.500	22687.500	-107.81	0.0000	0.000	22687.500	630.3147	FF				
79	Spectrogram 1	1	650.757663782	651.179141138	10909.100	23486.600	14156.250	14531.250	-92.56	0.4215	12577.500	14156.250	651.1307		NA	A	0	SB
80	Spectrogram 1	1	650.770917787	650.770917787	11679.100	11679.100	11718.750	11718.750	-80.50	0.0000	0.000	11718.750	650.7733	FI				
81	Spectrogram 1	1	651.165887133	651.165887133	22844.900	22844.900	22875.000	22875.000	-101.58	0.0000	0.000	22875.000	651.1680	FF				
82	Spectrogram 1	1	651.621824901	651.934619416	11550.800	23486.600	13406.250	15468.750	-94.72	0.3128	11935.800	13406.250	651.6533		SA	A	0	SB
83	Spectrogram 1	1	651.632428105	651.632428105	12192.500	12192.500	12187.500	12187.500	-85.05	0.0000	0.000	12187.500	651.6320	FI				
84	Spectrogram 1	1	651.902809805	651.902809805	22459.900	22459.900	22500.000	22500.000	-98.10	0.0000	0.000	22500.000	651.9040	FF				
85	Spectrogram 1	1	656.226748747	656.558098870	13989.300	23743.300	16218.750	17718.750	-92.68	0.3314	9754.000	16218.750	656.2720		SA	A	0	SB
86	Spectrogram 1	1	656.240002752	656.240002752	14374.300	14374.300	14343.750	14343.750	-103.45	0.0000	0.000	14343.750	656.2400	FI				
87	Spectrogram 1	1	656.550146467	656.550146467	23229.900	23229.900	23250.000	23250.000	-88.08	0.0000	0.000	23250.000	656.5493	FF				
88	Spectrogram 1	1	657.027290643	657.337434357	10010.700	23615.000	15937.500	14250.000	-92.69	0.3101	13604.300	15937.500	657.1200		SA	A	0	SB
89	Spectrogram 1	1	657.040544647	657.040544647	11165.800	11165.800	11156.250	11156.250	-90.54	0.0000	0.000	11156.250	657.0400	FI				
90	Spectrogram 1	1	657.324180352	657.324180352	22844.900	22844.900	22875.000	22875.000	-102.71	0.0000	0.000	22875.000	657.3227	FF				
91	Spectrogram 1	1	661.952961407	662.337327549	11422.500	23615.000	12468.750	15187.500	-94.51	0.3844	12192.500	12468.750	662.1760		NA	A	0	SB
92	Spectrogram 1	1	661.976818616	661.976818616	12192.500	12192.500	12187.500	12187.500	-90.25	0.0000	0.000	12187.500	661.9787	FI				
93	Spectrogram 1	1	662.324073544	662.324073544	23101.600	23101.600	23062.500	23062.500	-101.51	0.0000	0.000	23062.500	662.3253	FF				
94	Spectrogram 1	1	662.791656252	663.083244360	10909.100	23358.300	12000.000	14625.000	-94.64	0.2916	12449.200	12000.000	662.9173		NA	A	0	SB
95	Spectrogram 1	1	662.804910257	662.804910257	11550.800	11550.800	11531.250	11531.250	-85.71	0.0000	0.000	11531.250	662.8053	FI				
96	Spectrogram 1	1	663.077942758	663.077942758	22844.900	22844.900	22875.000	22875.000	-99.86	0.0000	0.000	22875.000	663.0773	FF				
97	Spectrogram 1	1	700.211480889	700.513672201	11935.800	21946.500	12468.750	14625.000	-89.60	0.3022	10010.700	12468.750	700.5120		NA	A	0	SB
98	Spectrogram 1	1	700.222084093	700.222084093	12449.200	12449.200	12468.750	12468.750	-94.58	0.0000	0.000	12468.750	700.2240	FI				
99	Spectrogram 1	1	700.495116594	700.495116594	21176.500	21176.500	21187.500	21187.500	-93.21	0.0000	0.000	21187.500	700.4960	FF				
100	Spectrogram 1	1	708.245152995	708.571201515	14374.300	23743.300	14437.500	16968.750	-94.41	0.3260	9369.000	14437.500	708.4853		NA	A	0	SB
101	Spectrogram 1	1	708.258407000	708.258407000	14887.700	14887.700	14906.250	14906.250	-84.20	0.0000	0.000	14906.250	708.2560	FI				
102	Spectrogram 1	1	708.560598312	708.560598312	23229.900	23229.900	23250.000	23250.000	-92.89	0.0000	0.000	23250.000	708.5600	FF				
103	Spectrogram 1	1	782.740005264	783.076656988	10139.000	21818.200	14156.250	13968.750	-93.32	0.3367	11679.200	14156.250	782.8213		SA	A	0	SB
104	Spectrogram 1	1	782.754063801	782.754063801	11165.800	11165.800	11156.250	11156.250	-85.25	0.0000	0.000	11156.250	782.7520	FI				
105	Spectrogram 1	1	783.056255113	783.056255113	21689.800	21689.800	21656.250	21656.250	-95.07	0.0000	0.000	21656.250	783.0560	FF				
106	Spectrogram 1	1	784.477929799	784.809279921	9369.000	21304.800	9937.500	12937.500	-90.34	0.3314	11935.800	9937.500	784.7787		NA	A	0	SB
107	Spectrogram 1	1	784.501787008	784.501787008	10139.000	10139.000	10125.000	10125.000	-84.03	0.0000	0.000	10125.000	784.5013	FI				
108	Spectrogram 1	1	784.798676717	784.798676717	20791.400	20791.400	20812.500	20812.500	-100.87	0.0000	0.000	20812.500	784.8000	FF				
109	Spectrogram 1	1	787.293110371	787.653619304	10652.400	22331.600	12187.500	12656.250	-89.28	0.3605	11679.200	12187.500	787.6267		NA	A	0	SB
110	Spectrogram 1	1	787.303713575	787.303713575	11037.400	11037.400	11062.500	11062.500	-83.91	0.0000	0.000	11062.500	787.3013	FI				
111	Spectrogram 1	1	787.640365299	787.640365299	21818.200	21818.200	21843.750	21843.750	-93.62	0.0000	0.000	21843.750	787.6427	FF				
112	Spectrogram 1	1	835.010426530	835.413348279	13604.300	23358.300	20062.500	17531.250	-94.44	0.4029	9754.000	20062.500	835.2053		SA	A	0	SB
113	Spectrogram 1	1	835.031632938	835.031632938	13861.000	13861.000	13875.000	13875.000	-83.50	0.0000	0.000	13875.000	835.0293	FI				
114	Spectrogram 1	1	835.397443473	835.397443473	22973.300	22973.300	22968.750	22968.750	-93.68	0.0000	0.000	22968.750	835.3973	FF				
115	Spectrogram 1	1	841.367145247	841.717050977	12064.200	23229.900	12093.750	15937.500	-93.42	0.3499	11165.700	12093.750	841.3760		NA	A	0	SB
116	Spectrogram 1	1	841.385700854	841.385700854	12705.900	12705.900	12750.000	12750.000	-85.18	0.0000	0.000	12750.000	841.3867	FI				
117	Spectrogram 1	1	841.703796972	841.703796972	22203.200	22203.200	22218.750	22218.750	-94.89	0.0000	0.000	22218.750	841.7013	FF				
118	Spectrogram 1	1	870.225792856	870.557142978	11294.100	22331.600	11437.500	14625.000	-92.65	0.3314	11037.500	11437.500	870.5013		NA	A	0	SB
119	Spectrogram 1	1	870.241697662	870.241697662	12192.500	12192.500	12187.500	12187.500	-90.49	0.0000	0.000	12187.500	870.2400	FI				
120	Spectrogram 1	1	870.538587371	870.538587371	21433.200	21433.200	21468.750	21468.750	-84.54	0.0000	0.000	21468.750	870.5387	FF				
121	Spectrogram 1	1	879.632991653	880.014706994	7443.900	24641.700	7593.750	11906.250	-92.12	0.3817	17197.800	7593.750	879.8720		NA	A	0	SB
122	Spectrogram 1	1	879.651547260	879.651547260	7828.900	7828.900	7875.000	7875.000	-93.47	0.0000	0.000	7875.000	879.6533	FI				
123	Spectrogram 1	1	880.009405392	880.009405392	23743.300	23743.300	23718.750	23718.750	-96.19	0.0000	0.000	23718.750	880.0107	FF				
124	Spectrogram 1	1	899.473491877	899.727968771	12320.900	20534.800	13687.500	14625.000	-93.96	0.2545	8213.900	13687.500	899.5147		SA	A	0	SB
125	Spectrogram 1	1	899.497349086	899.497349086	13219.300	13219.300	13218.750	13218.750	-86.46	0.0000	0.000	13218.750	899.4987	FI				
126	Spectrogram 1	1	899.717365567	899.717365567	20278.100	20278.100	20250.000	20250.000	-97.76	0.0000	0.000	20250.000	899.7173	FF				
127	Spectrogram 1	1	903.090853343	903.414251062	10652.400	22203.200	12375.000	12750.000	-89.52	0.3234	11550.800	12375.000	903.3493		NA	A	0	SB
128	Spectrogram 1	1	903.104107347	903.104107347	11165.800	11165.800	11156.250	11156.250	-87.78	0.0000	0.000	11156.250	903.1040	FI				
129	Spectrogram 1	1	903.398346256	903.398346256	21689.800	21689.800	21656.250	21656.250	-109.70	0.0000	0.000	21656.250	903.3973	FF				
130	Spectrogram 1	1	903.973570068	904.336729802	9625.700	22716.600	15000.000	13875.000	-92.68	0.3632	13090.900	15000.000	903.9840		NA	A	0	SB
131	Spectrogram 1	1	903.994776476	903.994776476	10524.100	10524.100	10500.000	10500.000	-89.33	0.0000	0.000	10500.000	903.9947	FI				
132	Spectrogram 1	1	904.312872593	904.312872593	21946.500	21946.500	21937.500	21937.500	-91.93	0.0000	0.000	21937.500	904.3147	FF				
133	Spectrogram 1	1	913.643440814	914.011902150	10524.100	19379.700	17437.500	14343.750	-90.33	0.3685	8855.600	17437.500	913.9680		SA	A	0	SB
134	Spectrogram 1	1	913.656694819	913.656694819	11165.800	11165.800	11156.250	11156.250	-98.32	0.0000	0.000	11156.250	913.6587	FI				
135	Spectrogram 1	1	913.995997344	913.995997344	18866.300	18866.300	18843.750	18843.750	-88.63	0.0000	0.000	18843.750	913.9947	FF				
136	Spectrogram 1	1	918.021396683	918.466731247	8598.900	18866.300	15562.500	14156.250	-87.42	0.4453	10267.400	15562.500	918.3040		SA	A	0	SB
137	Spectrogram 1	1	918.031999886	918.031999886	9369.000	9369.000	9375.000	9375.000	-99.81	0.0000	0.000	9375.000	918.0320	FI				
138	Spectrogram 1	1	918.456128043	918.456128043	18738.000	18738.000	18750.000	18750.000	-87.73	0.0000	0.000	18750.000	918.4587	FF				
139	Spectrogram 1	1	855.385382198	855.883732781	9625.700	22716.600	15093.750	13312.500	-92.51	0.4984	13090.900	15093.750	855.5360			A	0	SB
140	Spectrogram 1	1	855.409239406	855.409239406	10010.700	10010.700	10031.250	10031.250	-84.02	0.0000	0.000	10031.250	855.4080	FI				
141	Spectrogram 1	1	855.865177174	855.865177174	22331.600	22331.600	22312.500	22312.500	-96.61	0.0000	0.000	22312.500	855.8667	FF				
