Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF- Check	modulacao	PI	sobreposicao
1	Spectrogram 1	1	329.581841513	329.771373783	9750.000	13176.500	11812.500	11531.250	-86.32	0.1895	3426.500	11812.500	329.6693		SA	A	0	SB
2	Spectrogram 1	1	329.597746318	329.597746318	10117.600	10117.600	10125.000	10125.000	-84.19	0.0000	0.000	10125.000	329.6000	FI				
3	Spectrogram 1	1	329.770048382	329.770048382	13058.800	13058.800	13031.250	13031.250	-81.39	0.0000	0.000	13031.250	329.7707	FF				
4	Spectrogram 1	1	331.275509007	331.553843109	10000.000	16823.500	13218.750	13312.500	-86.76	0.2783	6823.500	13218.750	331.3867		SA	A	0	SB
5	Spectrogram 1	1	331.291413812	331.291413812	10117.600	10117.600	10125.000	10125.000	-105.13	0.0000	0.000	10125.000	331.2907	FI				
6	Spectrogram 1	1	331.551192308	331.551192308	16000.000	16000.000	16031.250	16031.250	-92.21	0.0000	0.000	16031.250	331.5520	FF				
7	Spectrogram 1	1	340.432535692	340.872568654	10588.200	20470.600	11718.750	11812.500	-88.21	0.4400	9882.400	11718.750	340.7253		SA	A	0	SB
8	Spectrogram 1	1	340.453742099	340.453742099	10941.200	10941.200	10968.750	10968.750	-88.86	0.0000	0.000	10968.750	340.4533	FI				
9	Spectrogram 1	1	340.872568654	340.872568654	20117.600	20117.600	20156.250	20156.250	-90.30	0.0000	0.000	20156.250	340.8747	FF				
10	Spectrogram 1	1	348.343848271	348.632785578	9882.400	16470.600	10687.500	11718.750	-86.36	0.2889	6588.200	10687.500	348.3893		SA	A	0	SB
11	Spectrogram 1	1	348.357102276	348.357102276	10117.600	10117.600	10125.000	10125.000	-81.08	0.0000	0.000	10125.000	348.3573	FI				
12	Spectrogram 1	1	348.624833175	348.624833175	15294.100	15294.100	15281.250	15281.250	-94.49	0.0000	0.000	15281.250	348.6240	FF				
13	Spectrogram 1	1	358.362580286	358.558739558	9529.400	15882.400	10500.000	11437.500	-86.68	0.1962	6353.000	10500.000	358.3947		SA	A	0	SB
14	Spectrogram 1	1	358.375834291	358.375834291	10000.000	10000.000	10031.250	10031.250	-96.57	0.0000	0.000	10031.250	358.3733	FI				
15	Spectrogram 1	1	358.553437956	358.553437956	15058.800	15058.800	15093.750	15093.750	-85.90	0.0000	0.000	15093.750	358.5547	FF				
16	Spectrogram 1	1	361.396162826	361.677147729	9764.700	15176.500	11156.250	11906.250	-85.79	0.2810	5411.800	11156.250	361.4453		SA	A	0	SB
17	Spectrogram 1	1	361.404115229	361.404115229	10117.600	10117.600	10125.000	10125.000	-76.24	0.0000	0.000	10125.000	361.4027	FI				
