Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF- Check	modulacao	PI	sobreposicao
1	Spectrogram 1	1	817.861527931	818.172678223	17647.100	21411.800	19593.750	18937.500	-87.27	0.3112	3764.700	19593.750	818.1493		SA	A	0	SB
2	Spectrogram 1	1	817.876523126	817.876523126	17882.400	17882.400	17906.250	17906.250	-91.95	0.0000	0.000	17906.250	817.8773	FI				
3	Spectrogram 1	1	818.172678223	818.172678223	20705.900	20705.900	20718.750	20718.750	-99.70	0.0000	0.000	20718.750	818.1707	FF				
4	Spectrogram 1	1	820.306863866	820.685492534	17176.500	20588.200	18562.500	18562.500	-83.87	0.3786	3411.700	18562.500	820.4373		SA	A	0	SB
5	Spectrogram 1	1	820.321859061	820.321859061	17882.400	17882.400	17906.250	17906.250	-88.10	0.0000	0.000	17906.250	820.3200	FI				
6	Spectrogram 1	1	820.674246138	820.674246138	20352.900	20352.900	20343.750	20343.750	-85.69	0.0000	0.000	20343.750	820.6720	FF				
7	Spectrogram 1	1	834.689778249	835.064658118	17176.500	20705.900	18843.750	18843.750	-81.47	0.3749	3529.400	18843.750	834.9813		SA	A	0	SB
8	Spectrogram 1	1	834.701024645	834.701024645	18117.600	18117.600	18093.750	18093.750	-88.52	0.0000	0.000	18093.750	834.6987	FI				
9	Spectrogram 1	1	835.049662923	835.049662923	20117.600	20117.600	20156.250	20156.250	-84.61	0.0000	0.000	20156.250	835.0507	FF				
10	Spectrogram 1	1	845.113252397	845.506876260	17882.400	20941.200	18843.750	18843.750	-84.81	0.3936	3058.800	18843.750	845.3280		SA	A	0	SB
11	Spectrogram 1	1	845.128247592	845.128247592	18117.600	18117.600	18093.750	18093.750	-91.42	0.0000	0.000	18093.750	845.1307	FI				
12	Spectrogram 1	1	845.499378662	845.499378662	20470.600	20470.600	20437.500	20437.500	-93.54	0.0000	0.000	20437.500	845.4987	FF				
13	Spectrogram 1	1	849.834536242	850.216913709	18000.000	21529.400	18750.000	18937.500	-86.49	0.3824	3529.400	18750.000	849.8720		SA	A	0	SS
14	Spectrogram 1	1	849.857029034	849.857029034	18352.900	18352.900	18375.000	18375.000	-79.65	0.0000	0.000	18375.000	849.8560	FI				
15	Spectrogram 1	1	850.205667313	850.205667313	20705.900	20705.900	20718.750	20718.750	-96.95	0.0000	0.000	20718.750	850.2080	FF				
16	Spectrogram 1	1	861.690401101	862.080276165	17882.400	21294.100	19593.750	19031.250	-90.53	0.3899	3411.700	19593.750	862.0427		SA	A	0	SB
