Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF- Check	modulacao	PI	sobreposicao
61	Spectrogram 1	1	462.227065696	462.510701401	8823.500	19529.400	11156.250	12750.000	-82.76	0.2836	10705.900	11156.250	462.2773		SA	A	0	SB
62	Spectrogram 1	1	462.242970502	462.242970502	9411.800	9411.800	9375.000	9375.000	-76.26	0.0000	0.000	9375.000	462.2453	FI				
63	Spectrogram 1	1	462.494796595	462.494796595	18823.500	18823.500	18843.750	18843.750	-70.93	0.0000	0.000	18843.750	462.4960	FF				
64	Spectrogram 1	1	468.849475394	469.141063502	8470.600	17294.100	12468.750	12562.500	-75.30	0.2916	8823.500	12468.750	468.9013		SA	A	0	SB
65	Spectrogram 1	1	468.862729399	468.862729399	8941.200	8941.200	8906.250	8906.250	-69.18	0.0000	0.000	8906.250	468.8640	FI				
66	Spectrogram 1	1	469.122507895	469.122507895	16705.900	16705.900	16687.500	16687.500	-79.67	0.0000	0.000	16687.500	469.1200	FF				
67	Spectrogram 1	1	471.307613263	471.673423798	6941.200	17882.400	14437.500	13687.500	-74.58	0.3658	10941.200	14437.500	471.4613		SA	M	2	SB
68	Spectrogram 1	1	471.320867268	471.320867268	7647.100	7647.100	7687.500	7687.500	-78.87	0.0000	0.000	7687.500	471.3227	FI				
69	Spectrogram 1	1	471.660169793	471.660169793	16352.900	16352.900	16312.500	16312.500	-80.67	0.0000	0.000	16312.500	471.6587	FF				
70	Spectrogram 1	1	488.116987372	488.453639096	7058.800	16470.600	13781.250	13687.500	-72.13	0.3367	9411.800	13781.250	488.2133		SA	A	0	SB
71	Spectrogram 1	1	488.122288974	488.122288974	7764.700	7764.700	7781.250	7781.250	-63.06	0.0000	0.000	7781.250	488.1227	FI				
72	Spectrogram 1	1	488.448337495	488.448337495	15647.100	15647.100	15656.250	15656.250	-81.19	0.0000	0.000	15656.250	488.4480	FF				
73	Spectrogram 1	1	494.355418568	494.482657015	7176.500	17882.400	16968.750	12656.250	-71.11	0.1272	10705.900	16968.750	494.4587		SA	A	0	SB
74	Spectrogram 1	1	494.368672573	494.368672573	8000.000	8000.000	7968.750	7968.750	-65.94	0.0000	0.000	7968.750	494.3680	FI				
75	Spectrogram 1	1	494.472053811	494.472053811	17529.400	17529.400	17531.250	17531.250	-68.04	0.0000	0.000	17531.250	494.4747	FF				
76	Spectrogram 1	1	505.059510756	505.335194058	4705.900	17294.100	12093.750	9468.750	-77.98	0.2757	12588.200	12093.750	505.2107		SA	A	0	SB
77	Spectrogram 1	1	505.075415562	505.075415562	5176.500	5176.500	5156.250	5156.250	-94.72	0.0000	0.000	5156.250	505.0773	FI				
78	Spectrogram 1	1	505.321940053	505.321940053	16705.900	16705.900	16687.500	16687.500	-74.35	0.0000	0.000	16687.500	505.3227	FF				
79	Spectrogram 1	1	509.261901515	509.466013191	3529.400	25058.800	8625.000	11062.500	-70.66	0.2041	21529.400	8625.000	509.3067		SA	A	0	SB
80	Spectrogram 1	1	509.272504719	509.272504719	4470.600	4470.600	4500.000	4500.000	-84.27	0.0000	0.000	4500.000	509.2747	FI				
81	Spectrogram 1	1	509.460711589	509.460711589	23882.400	23882.400	23906.250	23906.250	-107.00	0.0000	0.000	23906.250	509.4613	FF				
82	Spectrogram 1	1	510.499825572	510.664175232	7294.100	18117.600	14062.500	13218.750	-69.19	0.1643	10823.500	14062.500	510.5653		SA	A	0	SB
83	Spectrogram 1	1	510.513079577	510.513079577	7882.400	7882.400	7875.000	7875.000	-56.46	0.0000	0.000	7875.000	510.5120	FI				
84	Spectrogram 1	1	510.656222829	510.656222829	17411.800	17411.800	17437.500	17437.500	-60.36	0.0000	0.000	17437.500	510.6560	FI				
85	Spectrogram 1	1	523.763200574	524.121058706	9294.100	17647.100	11718.750	13781.250	-74.31	0.3579	8353.000	11718.750	523.8027		SA	A	0	SB
86	Spectrogram 1	1	523.773803778	523.773803778	10235.300	10235.300	10218.750	10218.750	-65.46	0.0000	0.000	10218.750	523.7760	FI				
87	Spectrogram 1	1	524.107804701	524.107804701	17058.800	17058.800	17062.500	17062.500	-68.99	0.0000	0.000	17062.500	524.1067	FF				
88	Spectrogram 1	1	541.343953046	541.725668387	8117.600	17529.400	10687.500	12187.500	-69.09	0.3817	9411.800	10687.500	541.3813		SA	AD	1	SB
89	Spectrogram 1	1	541.357207051	541.357207051	9058.800	9058.800	9093.750	9093.750	-69.15	0.0000	0.000	9093.750	541.3547	FI				
90	Spectrogram 1	1	541.717715984	541.717715984	13764.700	13764.700	13781.250	13781.250	-70.13	0.0000	0.000	13781.250	541.7173	FF				
91	Spectrogram 1	1	544.504577659	544.804118170	8117.600	18705.900	12656.250	14156.250	-67.26	0.2995	10588.300	12656.250	544.5867		SA	A	0	SB
92	Spectrogram 1	1	544.512530062	544.512530062	9058.800	9058.800	9093.750	9093.750	-71.24	0.0000	0.000	9093.750	544.5120	FI				
93	Spectrogram 1	1	544.798816568	544.798816568	18235.300	18235.300	18281.250	18281.250	-76.16	0.0000	0.000	18281.250	544.8000	FF				
94	Spectrogram 1	1	584.843584909	585.135173016	7411.800	15529.400	12843.750	12750.000	-74.56	0.2916	8117.600	12843.750	584.9973		SA	A	0	SB
95	Spectrogram 1	1	584.854188113	584.854188113	7647.100	7647.100	7687.500	7687.500	-74.10	0.0000	0.000	7687.500	584.8533	FI				
96	Spectrogram 1	1	585.127220613	585.127220613	15176.500	15176.500	15187.500	15187.500	-65.12	0.0000	0.000	15187.500	585.1253	FF				
97	Spectrogram 1	1	1000.459571217	1000.753810125	6941.200	18941.200	10687.500	12000.000	-80.39	0.2942	12000.000	10687.500	1000.5173		SA	A	0	SB
98	Spectrogram 1	1	1000.470594378	1000.470594378	7647.100	7647.100	7687.500	7687.500	-77.43	0.0000	0.000	7687.500	1000.4693	FI				
99	Spectrogram 1	1	1000.746277679	1000.746277679	18352.900	18352.900	18375.000	18375.000	-77.23	0.0000	0.000	18375.000	1000.7467	FF				
100	Spectrogram 1	1	1170.961622391	1171.274416906	8352.900	18117.600	10312.500	12468.750	-69.34	0.3128	9764.700	10312.500	1171.0080		SA	A	0	SB
101	Spectrogram 1	1	1170.977527197	1170.977527197	8588.200	8588.200	8625.000	8625.000	-63.98	0.0000	0.000	8625.000	1170.9760	FI				
102	Spectrogram 1	1	1171.261162901	1171.261162901	17294.100	17294.100	17250.000	17250.000	-58.72	0.0000	0.000	17250.000	1171.2587	FF				
103	Spectrogram 1	1	1174.584299079	1174.889141191	8470.600	18705.900	13687.500	12375.000	-69.17	0.3048	10235.300	13687.500	1174.7253		SA	A	0	SB
104	Spectrogram 1	1	1174.605505487	1174.605505487	9176.500	9176.500	9187.500	9187.500	-66.34	0.0000	0.000	9187.500	1174.6080	FI				
105	Spectrogram 1	1	1174.881188788	1174.881188788	17647.100	17647.100	17625.000	17625.000	-78.37	0.0000	0.000	17625.000	1174.8800	FF				
106	Spectrogram 1	1	1329.961079400	1330.125429061	5647.100	16705.900	11437.500	12000.000	-73.56	0.1643	11058.800	11437.500	1330.0107		SA	A	0	SB
107	Spectrogram 1	1	1329.971682604	1329.971682604	6470.600	6470.600	6468.750	6468.750	-74.44	0.0000	0.000	6468.750	1329.9733	FI				
108	Spectrogram 1	1	1330.112175056	1330.112175056	15411.800	15411.800	15375.000	15375.000	-86.01	0.0000	0.000	15375.000	1330.1120	FF				
109	Spectrogram 1	1	1340.884574462	1341.083384536	8705.900	22470.600	19218.750	18375.000	-73.71	0.1988	13764.700	19218.750	1340.9920		SA	A	0	SB
110	Spectrogram 1	1	1340.897828467	1340.897828467	9411.800	9411.800	9375.000	9375.000	-66.51	0.0000	0.000	9375.000	1340.8960	FI				
111	Spectrogram 1	1	1341.067479730	1341.067479730	21882.400	21882.400	21843.750	21843.750	-61.47	0.0000	0.000	21843.750	1341.0667	FF				
112	Spectrogram 1	1	1342.707125531	1342.852919585	10352.900	22588.200	20437.500	16875.000	-76.70	0.1458	12235.300	20437.500	1342.8000		SA	A	0	SB
113	Spectrogram 1	1	1342.717728735	1342.717728735	11058.800	11058.800	11062.500	11062.500	-70.41	0.0000	0.000	11062.500	1342.7200	FI				
114	Spectrogram 1	1	1342.847617983	1342.847617983	22117.600	22117.600	22125.000	22125.000	-81.34	0.0000	0.000	22125.000	1342.8480	FF				
115	Spectrogram 1	1	1343.242587328	1343.417540193	8352.900	22588.200	10781.250	13406.250	-79.60	0.1750	14235.300	10781.250	1343.2640		SA	A	0	SB
116	Spectrogram 1	1	1343.255841333	1343.255841333	9294.100	9294.100	9281.250	9281.250	-75.55	0.0000	0.000	9281.250	1343.2533	FI				
117	Spectrogram 1	1	1343.396333785	1343.396333785	21647.100	21647.100	21656.250	21656.250	-79.11	0.0000	0.000	21656.250	1343.3973	FF				
118	Spectrogram 1	1	1355.964168092	1356.231898990	7058.800	18117.600	12468.750	12375.000	-73.02	0.2677	11058.800	12468.750	1356.0160		SA	A	0	SB
119	Spectrogram 1	1	1355.972120495	1355.972120495	8470.600	8470.600	8437.500	8437.500	-81.75	0.0000	0.000	8437.500	1355.9733	FI				
120	Spectrogram 1	1	1356.210692582	1356.210692582	17294.100	17294.100	17250.000	17250.000	-68.89	0.0000	0.000	17250.000	1356.2133	FF				
121	Spectrogram 1	1	1356.817726006	1357.037742488	7529.400	19294.100	9375.000	12093.750	-75.76	0.2200	11764.700	9375.000	1356.8320		SA	A	0	SB
122	Spectrogram 1	1	1356.825678409	1356.825678409	8352.900	8352.900	8343.750	8343.750	-58.54	0.0000	0.000	8343.750	1356.8267	FI				
123	Spectrogram 1	1	1357.021837682	1357.021837682	19058.800	19058.800	19031.250	19031.250	-81.36	0.0000	0.000	19031.250	1357.0240	FF				
124	Spectrogram 1	1	1393.945964284	1394.311774818	7647.100	23647.100	12281.250	12375.000	-73.03	0.3658	16000.000	12281.250	1394.0320		SA	A	0	SB
125	Spectrogram 1	1	1393.961869089	1393.961869089	8470.600	8470.600	8437.500	8437.500	-64.50	0.0000	0.000	8437.500	1393.9627	FI				
126	Spectrogram 1	1	1394.298520814	1394.298520814	22588.200	22588.200	22593.750	22593.750	-78.08	0.0000	0.000	22593.750	1394.2987	FF				
127	Spectrogram 1	1	1402.813013288	1403.099299793	7529.400	19176.500	13593.750	12656.250	-69.33	0.2863	11647.100	13593.750	1402.9333		SA	A	0	SB
128	Spectrogram 1	1	1402.820965691	1402.820965691	9058.800	9058.800	9093.750	9093.750	-73.40	0.0000	0.000	9093.750	1402.8213	FI				
129	Spectrogram 1	1	1403.096648993	1403.096648993	18470.600	18470.600	18468.750	18468.750	-81.72	0.0000	0.000	18468.750	1403.0987	FF				
130	Spectrogram 1	1	1520.486336968	1521.000592358	7294.100	19411.800	12468.750	12375.000	-69.97	0.5143	12117.700	12468.750	1520.6027		SA	M	2	SB
131	Spectrogram 1	1	1520.504892575	1520.504892575	8470.600	8470.600	8437.500	8437.500	-64.90	0.0000	0.000	8437.500	1520.5067	FI				
132	Spectrogram 1	1	1520.989989154	1520.989989154	13529.400	13529.400	13500.000	13500.000	-63.75	0.0000	0.000	13500.000	1520.9920	FF				
133	Spectrogram 1	1	1522.178584280	1522.668982461	7882.400	18117.600	12187.500	12187.500	-72.43	0.4904	10235.200	12187.500	1522.2880		SA	AD	1	SB
134	Spectrogram 1	1	1522.194489086	1522.194489086	8588.200	8588.200	8625.000	8625.000	-72.76	0.0000	0.000	8625.000	1522.1920	FI				
135	Spectrogram 1	1	1522.658379257	1522.658379257	13529.400	13529.400	13500.000	13500.000	-64.62	0.0000	0.000	13500.000	1522.6560	FF				
136	Spectrogram 1	1	1525.108785582	1525.519659733	6823.500	17176.500	12843.750	12562.500	-69.38	0.4109	10353.000	12843.750	1525.3280		SA	A	0	SB
137	Spectrogram 1	1	1525.114087184	1525.114087184	7529.400	7529.400	7500.000	7500.000	-73.31	0.0000	0.000	7500.000	1525.1147	FI				
138	Spectrogram 1	1	1525.511707331	1525.511707331	16470.600	16470.600	16500.000	16500.000	-76.62	0.0000	0.000	16500.000	1525.5093	FF				
139	Spectrogram 1	1	1582.284281111	1582.610329632	7764.700	17529.400	11437.500	12468.750	-72.73	0.3260	9764.700	11437.500	1582.3840		SA	A	0	SB
140	Spectrogram 1	1	1582.302836718	1582.302836718	8705.900	8705.900	8718.750	8718.750	-75.93	0.0000	0.000	8718.750	1582.3040	FI				
141	Spectrogram 1	1	1582.602377229	1582.602377229	16470.600	16470.600	16500.000	16500.000	-71.64	0.0000	0.000	16500.000	1582.6027	FF				
143	Spectrogram 1	1	1634.506794311	1634.986589287	5176.500	22235.300	17343.750	13593.750	-76.67	0.4798	17058.800	17343.750	1634.8480		SA	A	0	SB
144	Spectrogram 1	1	1634.538603922	1634.538603922	5411.800	5411.800	5437.500	5437.500	-68.97	0.0000	0.000	5437.500	1634.5387	FI				
145	Spectrogram 1	1	1634.978636885	1634.978636885	21411.800	21411.800	21375.000	21375.000	-65.85	0.0000	0.000	21375.000	1634.9760	FF				
146	Spectrogram 1	1	1778.621577877	1778.968832805	12117.600	17529.400	14437.500	14906.250	-71.74	0.3473	5411.800	14437.500	1778.7733		SA	A	0	SB
147	Spectrogram 1	1	1778.637482683	1778.637482683	12705.900	12705.900	12750.000	12750.000	-66.91	0.0000	0.000	12750.000	1778.6400	FI				
148	Spectrogram 1	1	1778.955578800	1778.955578800	17176.500	17176.500	17156.250	17156.250	-63.25	0.0000	0.000	17156.250	1778.9547	FF				
149	Spectrogram 1	1	1668.829636031	1669.251113387	8705.900	16470.600	14906.250	13781.250	-73.99	0.4215	7764.700	14906.250	1669.0293		SA	AD	1	CS
150	Spectrogram 1	1	1668.845540837	1668.845540837	9529.400	9529.400	9562.500	9562.500	-84.48	0.0000	0.000	9562.500	1668.8480	FI				
151	Spectrogram 1	1	1669.237859382	1669.237859382	15294.100	15294.100	15281.250	15281.250	-65.86	0.0000	0.000	15281.250	1669.2373	FF				
