Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF- Check	modulacao	PI	sobreposicao
1	Spectrogram 1	1	22.249792683	22.654662942	8470.600	16352.900	9750.000	11531.250	-78.58	0.4049	7882.300	9750.000	22.2933		SA	A	0	SB
2	Spectrogram 1	1	22.257290280	22.257290280	9058.800	9058.800	9093.750	9093.750	-82.58	0.0000	0.000	9093.750	22.2560	FI				
3	Spectrogram 1	1	22.639667747	22.639667747	15764.700	15764.700	15750.000	15750.000	-76.68	0.0000	0.000	15750.000	22.6400	FF				
4	Spectrogram 1	1	23.745520931	24.094159210	9411.800	18235.300	15656.250	12937.500	-78.91	0.3486	8823.500	15656.250	23.8987		SA	M	2	SB
5	Spectrogram 1	1	23.768893630	23.768893630	10470.600	10470.600	10500.000	10500.000	-74.44	0.0000	0.000	10500.000	23.7707	FI				
6	Spectrogram 1	1	24.080043922	24.080043922	15411.800	15411.800	15375.000	15375.000	-97.12	0.0000	0.000	15375.000	24.0800	FF				
7	Spectrogram 1	1	51.734987792	51.967413311	3176.500	16823.500	12656.250	12656.250	-73.01	0.2324	13647.000	12656.250	51.8667		SA	A	0	SB
8	Spectrogram 1	1	51.753731785	51.753731785	4117.600	4117.600	4125.000	4125.000	-69.80	0.0000	0.000	4125.000	51.7547	FI				
9	Spectrogram 1	1	51.952418116	51.952418116	16235.300	16235.300	16218.750	16218.750	-53.94	0.0000	0.000	16218.750	51.9520	FF				
10	Spectrogram 1	1	154.361844244	154.789207295	6941.200	16941.200	14531.250	11812.500	-74.06	0.4274	10000.000	14531.250	154.5067		SA	AD	1	SB
11	Spectrogram 1	1	154.384337036	154.384337036	7647.100	7647.100	7687.500	7687.500	-76.08	0.0000	0.000	7687.500	154.3840	FI				
12	Spectrogram 1	1	154.774212100	154.774212100	14941.200	14941.200	14906.250	14906.250	-78.17	0.0000	0.000	14906.250	154.7733	FF				
13	Spectrogram 1	1	172.642586930	173.122433163	8117.600	17058.800	11718.750	13593.750	-69.56	0.4798	8941.200	11718.750	172.7413		SA	M	2	SB
14	Spectrogram 1	1	172.661330924	172.661330924	8588.200	8588.200	8625.000	8625.000	-63.47	0.0000	0.000	8625.000	172.6613	FI				
15	Spectrogram 1	1	173.103689170	173.103689170	13882.400	13882.400	13875.000	13875.000	-63.69	0.0000	0.000	13875.000	173.1040	FF				
16	Spectrogram 1	1	218.920685463	219.220589359	7882.400	17411.800	12656.250	12750.000	-75.20	0.2999	9529.400	12656.250	218.9547		SA	A	0	SB
17	Spectrogram 1	1	218.924434262	218.924434262	8705.900	8705.900	8718.750	8718.750	-69.63	0.0000	0.000	8718.750	218.9227	FI				
18	Spectrogram 1	1	219.201845365	219.201845365	16941.200	16941.200	16968.750	16968.750	-74.95	0.0000	0.000	16968.750	219.2000	FF				
19	Spectrogram 1	1	263.950482596	264.261632888	8588.200	17294.100	16125.000	13593.750	-76.70	0.3112	8705.900	16125.000	264.1707		SA	A	0	SB
20	Spectrogram 1	1	263.969226589	263.969226589	9058.800	9058.800	9093.750	9093.750	-69.43	0.0000	0.000	9093.750	263.9680	FI				
21	Spectrogram 1	1	264.239140095	264.239140095	16941.200	16941.200	16968.750	16968.750	-86.17	0.0000	0.000	16968.750	264.2400	FF				
22	Spectrogram 1	1	268.417252507	268.735900396	7294.100	19058.800	8625.000	12375.000	-75.60	0.3186	11764.700	8625.000	268.4373		SA	AD	1	SB
23	Spectrogram 1	1	268.432247702	268.432247702	8235.300	8235.300	8250.000	8250.000	-72.94	0.0000	0.000	8250.000	268.4320	FI				
24	Spectrogram 1	1	268.724654000	268.724654000	15176.500	15176.500	15187.500	15187.500	-77.86	0.0000	0.000	15187.500	268.7253	FF				
25	Spectrogram 1	1	284.482886894	284.857766764	6117.600	17294.100	13781.250	13500.000	-73.63	0.3749	11176.500	13781.250	284.5867		SA	AD	1	SB
26	Spectrogram 1	1	284.509128485	284.509128485	6941.200	6941.200	6937.500	6937.500	-79.17	0.0000	0.000	6937.500	284.5067	FI				
27	Spectrogram 1	1	284.816529978	284.816529978	15058.800	15058.800	15093.750	15093.750	-69.78	0.0000	0.000	15093.750	284.8160	FF				
28	Spectrogram 1	1	291.600439927	291.975319796	7176.500	17764.700	14906.250	12843.750	-73.41	0.3749	10588.200	14906.250	291.7280		SA	A	0	SB
29	Spectrogram 1	1	291.611686323	291.611686323	7882.400	7882.400	7875.000	7875.000	-68.86	0.0000	0.000	7875.000	291.6107	FI				
30	Spectrogram 1	1	291.960324601	291.960324601	13647.100	13647.100	13687.500	13687.500	-76.74	0.0000	0.000	13687.500	291.9627	FF				
31	Spectrogram 1	1	195.343024368	195.744145828	5647.100	22352.900	11062.500	10218.750	-69.62	0.4011	16705.800	11062.500	195.4453		SA	A	0	SB
32	Spectrogram 1	1	195.354270764	195.354270764	5647.100	5647.100	5625.000	5625.000	-66.25	0.0000	0.000	5625.000	195.3547	FI				
33	Spectrogram 1	1	195.732899432	195.732899432	22000.000	22000.000	22031.250	22031.250	-86.46	0.0000	0.000	22031.250	195.7333	FF				
34	Spectrogram 1	1	282.207453690	282.631067942	7294.100	18000.000	11718.750	12093.750	-70.94	0.4236	10705.900	11718.750	282.2880		SA	A	0	SB
35	Spectrogram 1	1	282.233695281	282.233695281	7764.700	7764.700	7781.250	7781.250	-73.51	0.0000	0.000	7781.250	282.2347	FI				
36	Spectrogram 1	1	282.616072748	282.616072748	14941.200	14941.200	14906.250	14906.250	-93.40	0.0000	0.000	14906.250	282.6187	FF				
37	Spectrogram 1	1	323.952948075	324.312832750	8117.600	16941.200	12468.750	12562.500	-75.28	0.3599	8823.600	12468.750	324.0267		SA	A	0	SB
38	Spectrogram 1	1	323.964194471	323.964194471	8941.200	8941.200	8906.250	8906.250	-82.95	0.0000	0.000	8906.250	323.9627	FI				
39	Spectrogram 1	1	324.301586353	324.301586353	13411.800	13411.800	13406.250	13406.250	-84.12	0.0000	0.000	13406.250	324.3040	FF				
40	Spectrogram 1	1	326.942767937	327.347638196	5058.800	21882.400	16406.250	13781.250	-71.56	0.4049	16823.600	16406.250	327.1893		SA	A	0	SB
41	Spectrogram 1	1	326.965260729	326.965260729	5647.100	5647.100	5625.000	5625.000	-74.34	0.0000	0.000	5625.000	326.9653	FI				
42	Spectrogram 1	1	327.336391800	327.336391800	21294.100	21294.100	21281.250	21281.250	-67.44	0.0000	0.000	21281.250	327.3387	FF				
43	Spectrogram 1	1	328.609376386	328.893012090	7411.800	21882.400	12187.500	13781.250	-73.59	0.2836	14470.600	12187.500	328.6613		SA	A	0	SB
44	Spectrogram 1	1	328.622630390	328.622630390	8352.900	8352.900	8343.750	8343.750	-63.05	0.0000	0.000	8343.750	328.6240	FI				
45	Spectrogram 1	1	328.885059687	328.885059687	21058.800	21058.800	21093.750	21093.750	-69.56	0.0000	0.000	21093.750	328.8853	FF				
46	Spectrogram 1	1	443.444663192	443.654076469	14235.300	20117.600	16031.250	16312.500	-75.28	0.2094	5882.300	16031.250	443.4933		SA	A	0	SB
47	Spectrogram 1	1	443.457917197	443.457917197	14588.200	14588.200	14625.000	14625.000	-79.71	0.0000	0.000	14625.000	443.4560	FI				
48	Spectrogram 1	1	443.648774867	443.648774867	19529.400	19529.400	19500.000	19500.000	-74.92	0.0000	0.000	19500.000	443.6480	FF				
49	Spectrogram 1	1	445.218687138	445.512926046	7058.800	20235.300	12000.000	12000.000	-76.72	0.2942	13176.500	12000.000	445.3013		SA	A	0	SB
50	Spectrogram 1	1	445.226639541	445.226639541	8000.000	8000.000	7968.750	7968.750	-70.21	0.0000	0.000	7968.750	445.2267	FI				
51	Spectrogram 1	1	445.510275245	445.510275245	19882.400	19882.400	19875.000	19875.000	-83.65	0.0000	0.000	19875.000	445.5093	FF				
52	Spectrogram 1	1	447.899492289	448.286509231	7529.400	19176.500	10031.250	12093.750	-81.94	0.3870	11647.100	10031.250	448.1440		SA	AD	1	SB
53	Spectrogram 1	1	447.910095492	447.910095492	7764.700	7764.700	7781.250	7781.250	-74.92	0.0000	0.000	7781.250	447.9093	FI				
54	Spectrogram 1	1	448.270604425	448.270604425	17647.100	17647.100	17625.000	17625.000	-77.53	0.0000	0.000	17625.000	448.2720	FF				
55	Spectrogram 1	1	457.293865210	457.717993366	7529.400	18000.000	12000.000	12937.500	-75.33	0.4241	10470.600	12000.000	457.3867		SA	M	2	SB
56	Spectrogram 1	1	457.304468414	457.304468414	8235.300	8235.300	8250.000	8250.000	-69.32	0.0000	0.000	8250.000	457.3067	FI				
57	Spectrogram 1	1	457.710040964	457.710040964	15058.800	15058.800	15093.750	15093.750	-79.40	0.0000	0.000	15093.750	457.7120	FF				
58	Spectrogram 1	1	461.683651496	461.924874385	6941.200	17294.100	13031.250	12843.750	-76.31	0.2412	10352.900	13031.250	461.8453		SA	A	0	SB
59	Spectrogram 1	1	461.686302297	461.686302297	7764.700	7764.700	7781.250	7781.250	-83.74	0.0000	0.000	7781.250	461.6853	FI				
60	Spectrogram 1	1	461.914271181	461.914271181	16705.900	16705.900	16687.500	16687.500	-78.66	0.0000	0.000	16687.500	461.9147	FF				
