Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	744.963831830	745.218750142	25540.107	33497.326	30562.500	29625.000	-93.55	0.2549	7957.219	30562.500	745.1707		SA	A	0	SB
2	Spectrogram 1	1	744.993822220	744.993822220	26310.160	26310.160	26250.000	26250.000	-84.17	0.0000	0.000	26250.000	744.9947	FI				
3	Spectrogram 1	1	745.203754947	745.203754947	32727.273	32727.273	32812.500	32812.500	-112.95	0.0000	0.000	32812.500	745.2027	FF				
4	Spectrogram 1	1	747.250599034	747.498019747	24770.053	31058.824	29250.000	28125.000	-93.09	0.2474	6288.771	29250.000	747.4453		SA	A	0	SB
5	Spectrogram 1	1	747.261845430	747.261845430	25796.791	25796.791	25875.000	25875.000	-103.96	0.0000	0.000	25875.000	747.2613	FI				
6	Spectrogram 1	1	747.486773351	747.486773351	30673.797	30673.797	30750.000	30750.000	-100.26	0.0000	0.000	30750.000	747.4880	FF				
7	Spectrogram 1	1	977.186972360	977.460634664	9574.124	17207.547	15937.500	13125.000	-78.46	0.2737	7633.423	15937.500	977.3680		SA	A	0	SB
8	Spectrogram 1	1	977.205716353	977.205716353	10091.644	10091.644	10125.000	10125.000	-66.63	0.0000	0.000	10125.000	977.2053	FI				
9	Spectrogram 1	1	977.438141872	977.438141872	16819.407	16819.407	16875.000	16875.000	-89.97	0.0000	0.000	16875.000	977.4373	FF				
10	Spectrogram 1	1	1033.369542003	1033.804402652	9444.744	21606.469	16875.000	15000.000	-79.70	0.4349	12161.725	16875.000	1033.6000		NA	A	0	SB
11	Spectrogram 1	1	1033.392034795	1033.392034795	9832.884	9832.884	9750.000	9750.000	-74.76	0.0000	0.000	9750.000	1033.3920	FI				
12	Spectrogram 1	1	1033.789407457	1033.789407457	20312.668	20312.668	20250.000	20250.000	-96.47	0.0000	0.000	20250.000	1033.7893	FF				
13	Spectrogram 1	1	1147.048825802	1147.356227295	7892.183	17595.687	9750.000	11625.000	-79.52	0.3074	9703.504	9750.000	1147.1787		NA	A	0	SB
14	Spectrogram 1	1	1147.056323400	1147.056323400	8927.224	8927.224	9000.000	9000.000	-81.10	0.0000	0.000	9000.000	1147.0560	FI				
15	Spectrogram 1	1	1147.344980899	1147.344980899	16172.507	16172.507	16125.000	16125.000	-81.52	0.0000	0.000	16125.000	1147.3440	FF				
16	Spectrogram 1	1	1148.484615702	1148.720790020	11126.685	19407.008	12000.000	14625.000	-84.50	0.2362	8280.323	12000.000	1148.4987		NA	A	0	SB
17	Spectrogram 1	1	1148.503359696	1148.503359696	12032.345	12032.345	12000.000	12000.000	-73.34	0.0000	0.000	12000.000	1148.5040	FI				
18	Spectrogram 1	1	1148.705794825	1148.705794825	18760.108	18760.108	18750.000	18750.000	-81.34	0.0000	0.000	18750.000	1148.7067	FF				
19	Spectrogram 1	1	1214.071385143	1214.498748194	5951.482	17725.067	6375.000	9187.500	-79.54	0.4274	11773.585	6375.000	1214.2107		SA	A	0	SB
20	Spectrogram 1	1	1214.097626733	1214.097626733	6727.763	6727.763	6750.000	6750.000	-80.12	0.0000	0.000	6750.000	1214.0987	FI				
21	Spectrogram 1	1	1214.487501798	1214.487501798	16948.787	16948.787	16875.000	16875.000	-83.58	0.0000	0.000	16875.000	1214.4880	FF				
22	Spectrogram 1	1	1466.224250546	1466.722840772	6598.383	34156.334	11250.000	11437.500	-77.76	0.4986	27557.951	11250.000	1466.4453		SA	A	0	SB
23	Spectrogram 1	1	1466.239245741	1466.239245741	7504.043	7504.043	7500.000	7500.000	-66.42	0.0000	0.000	7500.000	1466.2400	FI				
24	Spectrogram 1	1	1466.704096779	1466.704096779	33380.054	33380.054	33375.000	33375.000	-90.02	0.0000	0.000	33375.000	1466.7040	FF				
25	Spectrogram 1	1	1467.337643758	1467.708774829	9056.604	23029.650	11437.500	12187.500	-88.60	0.3711	13973.046	11437.500	1467.6427		SA	A	0	SB
26	Spectrogram 1	1	1467.352638953	1467.352638953	9832.884	9832.884	9750.000	9750.000	-74.04	0.0000	0.000	9750.000	1467.3520	FI				
27	Spectrogram 1	1	1467.693779634	1467.693779634	22253.369	22253.369	22312.500	22312.500	-86.81	0.0000	0.000	22312.500	1467.6933	FF				
