Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	144.981037217	145.311852386	9497.326	23229.947	10125.000	12750.000	-78.42	0.3308	13732.621	10125.000	145.2187		NA	A	0	SB
2	Spectrogram 1	1	145.007964033	145.007964033	9882.353	9882.353	9937.500	9937.500	-74.37	0.0000	0.000	9937.500	145.0080	FI				
3	Spectrogram 1	1	145.300312322	145.300312322	22588.235	22588.235	22500.000	22500.000	-74.24	0.0000	0.000	22500.000	145.3013	FF				
4	Spectrogram 1	1	146.619726314	146.973621612	9754.011	22844.920	11625.000	12750.000	-79.20	0.3539	13090.909	11625.000	146.6960		NA	A	0	SB
5	Spectrogram 1	1	146.665886570	146.665886570	10267.380	10267.380	10312.500	10312.500	-68.74	0.0000	0.000	10312.500	146.6667	FI				
6	Spectrogram 1	1	146.954388171	146.954388171	21946.524	21946.524	21937.500	21937.500	-72.00	0.0000	0.000	21937.500	146.9547	FF				
7	Spectrogram 1	1	147.597443328	147.916718434	9754.011	23358.289	9937.500	13875.000	-79.92	0.3193	13604.278	9937.500	147.6880		SA	A	0	SB
8	Spectrogram 1	1	147.616676768	147.616676768	10010.695	10010.695	9937.500	9937.500	-66.32	0.0000	0.000	9937.500	147.6160	FI				
9	Spectrogram 1	1	147.909025058	147.909025058	22716.578	22716.578	22687.500	22687.500	-76.64	0.0000	0.000	22687.500	147.9093	FF				
10	Spectrogram 1	1	193.764425025	194.139304895	8342.246	14374.332	10875.000	10875.000	-79.30	0.3749	6032.086	10875.000	193.9520		SA	A	0	SB
11	Spectrogram 1	1	193.790666616	193.790666616	9240.642	9240.642	9187.500	9187.500	-80.50	0.0000	0.000	9187.500	193.7920	FI				
12	Spectrogram 1	1	194.113063304	194.113063304	13860.963	13860.963	13875.000	13875.000	-67.09	0.0000	0.000	13875.000	194.1120	FF				
13	Spectrogram 1	1	221.086168506	221.322342824	10395.722	21433.155	15000.000	15937.500	-79.63	0.2362	11037.433	15000.000	221.1520		SA	A	0	SB
14	Spectrogram 1	1	221.104912500	221.104912500	11422.460	11422.460	11437.500	11437.500	-79.07	0.0000	0.000	11437.500	221.1040	FI				
15	Spectrogram 1	1	221.307347629	221.307347629	20534.759	20534.759	20625.000	20625.000	-83.74	0.0000	0.000	20625.000	221.3067	FF				
16	Spectrogram 1	1	222.473224023	222.791871912	8470.588	21433.155	9937.500	11812.500	-82.43	0.3186	12962.567	9937.500	222.5200		SA	A	0	SB
17	Spectrogram 1	1	222.503214413	222.503214413	8983.957	8983.957	9000.000	9000.000	-84.21	0.0000	0.000	9000.000	222.5040	FI				
18	Spectrogram 1	1	222.761881522	222.761881522	21176.471	21176.471	21187.500	21187.500	-81.65	0.0000	0.000	21187.500	222.7627	FF				
19	Spectrogram 1	1	282.024155965	282.256581484	10395.722	24385.027	18562.500	15187.500	-81.88	0.2324	13989.305	18562.500	282.1787		SA	A	0	SB
20	Spectrogram 1	1	282.031653562	282.031653562	11422.460	11422.460	11437.500	11437.500	-75.49	0.0000	0.000	11437.500	282.0320	FI				
21	Spectrogram 1	1	282.249083886	282.249083886	22844.920	22844.920	22875.000	22875.000	-89.50	0.0000	0.000	22875.000	282.2480	FF				
22	Spectrogram 1	1	283.392467488	283.621144208	10010.695	20534.759	13312.500	14437.500	-78.30	0.2287	10524.064	13312.500	283.5893		SA	A	0	SB
23	Spectrogram 1	1	283.403713884	283.403713884	11422.460	11422.460	11437.500	11437.500	-76.33	0.0000	0.000	11437.500	283.4027	FI				
24	Spectrogram 1	1	283.602400215	283.602400215	20149.733	20149.733	20062.500	20062.500	-68.83	0.0000	0.000	20062.500	283.6027	FF				
25	Spectrogram 1	1	372.133720332	372.444870623	4748.663	16171.123	13687.500	11250.000	-83.07	0.3112	11422.460	13687.500	372.4187		SA	A	0	SB
26	Spectrogram 1	1	372.159961922	372.159961922	5518.717	5518.717	5437.500	5437.500	-83.00	0.0000	0.000	5437.500	372.1600	FI				
27	Spectrogram 1	1	372.444870623	372.444870623	15144.385	15144.385	15187.500	15187.500	-85.87	0.0000	0.000	15187.500	372.4453	FF				
28	Spectrogram 1	1	455.360271372	455.746397638	11550.802	18224.599	14437.500	14625.000	-84.42	0.3861	6673.797	14437.500	455.4933		SA	A	0	SB
29	Spectrogram 1	1	455.371517769	455.371517769	13090.909	13090.909	13125.000	13125.000	-76.35	0.0000	0.000	13125.000	455.3707	FI				
30	Spectrogram 1	1	455.735151242	455.735151242	16556.150	16556.150	16500.000	16500.000	-81.12	0.0000	0.000	16500.000	455.7360	FF				
31	Spectrogram 1	1	463.086320991	463.536176834	12320.856	17967.914	14250.000	14250.000	-82.94	0.4499	5647.058	14250.000	463.4187		SA	A	0	SB
32	Spectrogram 1	1	463.101316185	463.101316185	13090.909	13090.909	13125.000	13125.000	-82.98	0.0000	0.000	13125.000	463.1013	FI				
33	Spectrogram 1	1	463.521181639	463.521181639	16684.492	16684.492	16687.500	16687.500	-78.34	0.0000	0.000	16687.500	463.5200	FF				
34	Spectrogram 1	1	477.255948629	477.705804472	10780.749	18352.941	11437.500	14062.500	-79.93	0.4499	7572.192	11437.500	477.5547		NA	A	0	SB
35	Spectrogram 1	1	477.278441421	477.278441421	11807.487	11807.487	11812.500	11812.500	-85.44	0.0000	0.000	11812.500	477.2773	FI				
36	Spectrogram 1	1	477.687060479	477.687060479	16941.176	16941.176	16875.000	16875.000	-97.90	0.0000	0.000	16875.000	477.6880	FF				
37	Spectrogram 1	1	965.109931771	965.417333264	7315.508	14631.016	13500.000	10875.000	-79.37	0.3074	7315.508	13500.000	965.3520		NA	A	0	SB
38	Spectrogram 1	1	965.136173362	965.136173362	7828.877	7828.877	7875.000	7875.000	-70.90	0.0000	0.000	7875.000	965.1360	FI				
39	Spectrogram 1	1	965.402338070	965.402338070	14374.332	14374.332	14437.500	14437.500	-86.74	0.0000	0.000	14437.500	965.4027	FF				
40	Spectrogram 1	1	987.634631353	987.949530444	5903.743	15401.070	10500.000	10125.000	-81.37	0.3149	9497.327	10500.000	987.8267		SA	A	0	SB
41	Spectrogram 1	1	987.664621743	987.664621743	6673.797	6673.797	6750.000	6750.000	-83.78	0.0000	0.000	6750.000	987.6640	FI				
42	Spectrogram 1	1	987.942032846	987.942032846	14117.647	14117.647	14062.500	14062.500	-81.29	0.0000	0.000	14062.500	987.9413	FF				
43	Spectrogram 1	1	978.004219351	978.292876851	13475.936	18352.941	14437.500	15000.000	-83.19	0.2887	4877.005	14437.500	978.0960		SA	A	0	SB
44	Spectrogram 1	1	978.026712143	978.026712143	13989.305	13989.305	14062.500	14062.500	-85.38	0.0000	0.000	14062.500	978.0267	FI				
45	Spectrogram 1	1	978.289128052	978.289128052	17839.572	17839.572	17812.500	17812.500	-92.78	0.0000	0.000	17812.500	978.2880	FF				
46	Spectrogram 1	1	988.387241513	988.668401415	5903.743	14759.358	11437.500	10312.500	-79.77	0.2812	8855.615	11437.500	988.6640		NA	A	0	SB
47	Spectrogram 1	1	988.413483103	988.413483103	6545.455	6545.455	6562.500	6562.500	-72.09	0.0000	0.000	6562.500	988.4133	FI				
48	Spectrogram 1	1	988.649657421	988.649657421	14117.647	14117.647	14062.500	14062.500	-76.42	0.0000	0.000	14062.500	988.6507	FF				
49	Spectrogram 1	1	1080.172477117	1080.382409844	8470.588	16427.807	12750.000	11812.500	-78.65	0.2099	7957.219	12750.000	1080.3520	]	SA	A	0	SB
50	Spectrogram 1	1	1080.198718708	1080.198718708	9112.299	9112.299	9187.500	9187.500	-66.43	0.0000	0.000	9187.500	1080.2000	FI				
51	Spectrogram 1	1	1080.374912246	1080.374912246	15657.754	15657.754	15750.000	15750.000	-85.54	0.0000	0.000	15750.000	1080.3760	FF				
52	Spectrogram 1	1	1127.990861146	1128.159557087	11037.433	18737.968	12937.500	14250.000	-81.32	0.1687	7700.535	12937.500	1128.0240		SA	A	0	SB
53	Spectrogram 1	1	1128.013353938	1128.013353938	11807.487	11807.487	11812.500	11812.500	-81.00	0.0000	0.000	11812.500	1128.0133	FI				
54	Spectrogram 1	1	1128.152059490	1128.152059490	17582.888	17582.888	17625.000	17625.000	-98.72	0.0000	0.000	17625.000	1128.1520	FF				
55	Spectrogram 1	1	1129.205471923	1129.569105396	11294.118	20406.417	12562.500	14250.000	-80.89	0.3636	9112.299	12562.500	1129.3920		SA	A	0	SB
56	Spectrogram 1	1	1129.235462312	1129.235462312	11807.487	11807.487	11812.500	11812.500	-73.97	0.0000	0.000	11812.500	1129.2347	FI				
57	Spectrogram 1	1	1129.565356597	1129.565356597	19508.021	19508.021	19500.000	19500.000	-94.05	0.0000	0.000	19500.000	1129.5653	FF				
58	Spectrogram 1	1	1517.115322790	1517.512695452	8727.273	23358.289	11062.500	11812.500	-83.20	0.3974	14631.016	11062.500	1517.4373		NA	A	0	SB
59	Spectrogram 1	1	1517.149061979	1517.149061979	9368.984	9368.984	9375.000	9375.000	-85.23	0.0000	0.000	9375.000	1517.1493	FI				
60	Spectrogram 1	1	1517.490202660	1517.490202660	22588.235	22588.235	22500.000	22500.000	-88.95	0.0000	0.000	22500.000	1517.4907	FF				
61	Spectrogram 1	1	1536.434876126	1536.914722359	9497.326	17582.888	12937.500	13312.500	-85.34	0.4798	8085.562	12937.500	1536.5467		SA	A	0	SB
62	Spectrogram 1	1	1536.476112911	1536.476112911	9882.353	9882.353	9937.500	9937.500	-80.80	0.0000	0.000	9937.500	1536.4773	FI				
63	Spectrogram 1	1	1536.910973560	1536.910973560	16299.465	16299.465	16312.500	16312.500	-98.88	0.0000	0.000	16312.500	1536.9120	FF				
64	Spectrogram 1	1	1536.161213821	1536.404885736	7572.193	14631.016	8062.500	10312.500	-81.28	0.2437	7058.823	8062.500	1536.1653		SA	A	0	SB
65	Spectrogram 1	1	1536.183706613	1536.183706613	7957.219	7957.219	7875.000	7875.000	-96.64	0.0000	0.000	7875.000	1536.1840	FI				
66	Spectrogram 1	1	1536.389890541	1536.389890541	14117.647	14117.647	14062.500	14062.500	-81.93	0.0000	0.000	14062.500	1536.3893	FF				
67	Spectrogram 1	1	1567.556581622	1568.040176653	7058.824	13347.594	12750.000	12000.000	-77.65	0.4836	6288.770	12750.000	1567.9280		NA	A	0	SB
68	Spectrogram 1	1	1567.605316005	1567.605316005	8855.615	8855.615	8812.500	8812.500	-82.62	0.0000	0.000	8812.500	1567.6053	FI				
69	Spectrogram 1	1	1568.017683861	1568.017683861	12577.540	12577.540	12562.500	12562.500	-73.25	0.0000	0.000	12562.500	1568.0187	FF				
70	Spectrogram 1	1	1687.175020975	1687.546152046	7187.166	20406.417	8250.000	10312.500	-83.87	0.3711	13219.251	8250.000	1687.3893		SA	A	0	SB
71	Spectrogram 1	1	1687.216257761	1687.216257761	7700.535	7700.535	7687.500	7687.500	-84.83	0.0000	0.000	7687.500	1687.2160	FI				
72	Spectrogram 1	1	1687.531156851	1687.531156851	19636.364	19636.364	19687.500	19687.500	-93.89	0.0000	0.000	19687.500	1687.5307	FF				
73	Spectrogram 1	1	1665.998664890	1666.373544759	8598.930	18481.283	13312.500	12000.000	-79.29	0.3749	9882.353	13312.500	1666.1920		NA	A	0	SB
74	Spectrogram 1	1	1666.021157682	1666.021157682	8855.615	8855.615	8812.500	8812.500	-87.65	0.0000	0.000	8812.500	1666.0213	FI				
75	Spectrogram 1	1	1666.358549564	1666.358549564	17582.888	17582.888	17625.000	17625.000	-76.92	0.0000	0.000	17625.000	1666.3573	FF				
76	Spectrogram 1	1	1694.095133642	1694.578728673	7187.166	15786.096	9562.500	9937.500	-77.60	0.4836	8598.930	9562.500	1694.3120		SA	A	0	SB
77	Spectrogram 1	1	1694.117626434	1694.117626434	8085.561	8085.561	8062.500	8062.500	-77.87	0.0000	0.000	8062.500	1694.1173	FI				
78	Spectrogram 1	1	1694.567482277	1694.567482277	14631.016	14631.016	14625.000	14625.000	-79.82	0.0000	0.000	14625.000	1694.5680	FF				
79	Spectrogram 1	1	1708.266876186	1708.694239237	7187.166	17711.230	8250.000	11437.500	-83.11	0.4274	10524.064	8250.000	1708.4507		SA	A	0	SB
80	Spectrogram 1	1	1708.281871381	1708.281871381	9497.326	9497.326	9562.500	9562.500	-85.67	0.0000	0.000	9562.500	1708.2827	FI				
81	Spectrogram 1	1	1708.675495244	1708.675495244	16171.123	16171.123	16125.000	16125.000	-86.18	0.0000	0.000	16125.000	1708.6747	FF				
82	Spectrogram 1	1	1710.088754033	1710.471131499	9240.642	17967.914	13687.500	13312.500	-85.63	0.3824	8727.272	13687.500	1710.3093		NA	A	0	SB
83	Spectrogram 1	1	1710.114995624	1710.114995624	9882.353	9882.353	9937.500	9937.500	-81.90	0.0000	0.000	9937.500	1710.1147	FI				
84	Spectrogram 1	1	1710.456136305	1710.456136305	16941.176	16941.176	16875.000	16875.000	-80.69	0.0000	0.000	16875.000	1710.4560	FF				
85	Spectrogram 1	1	1713.022298113	1713.408424379	7315.508	14502.674	8250.000	9187.500	-84.83	0.3861	7187.166	8250.000	1713.0907		SA	A	0	SB
86	Spectrogram 1	1	1713.044790905	1713.044790905	8470.588	8470.588	8437.500	8437.500	-74.59	0.0000	0.000	8437.500	1713.0453	FI				
87	Spectrogram 1	1	1713.389680385	1713.389680385	13860.963	13860.963	13875.000	13875.000	-102.05	0.0000	0.000	13875.000	1713.3893	FF				
88	Spectrogram 1	1	1744.049442054	1744.465558709	7315.508	16042.781	8625.000	10687.500	-81.66	0.4161	8727.273	8625.000	1744.1467		NA	A	0	SB
89	Spectrogram 1	1	1744.068186047	1744.068186047	8470.588	8470.588	8437.500	8437.500	-80.57	0.0000	0.000	8437.500	1744.0693	FI				
90	Spectrogram 1	1	1744.461809910	1744.461809910	15529.412	15529.412	15562.500	15562.500	-95.29	0.0000	0.000	15562.500	1744.4613	FF				
