Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	21.314710657	21.565880169	16556.150	33754.011	17062.500	21937.500	-79.31	0.2512	17197.861	17062.500	21.3253		NA	A	0	SB
2	Spectrogram 1	1	21.340952248	21.340952248	17326.203	17326.203	17250.000	17250.000	-79.41	0.0000	0.000	17250.000	21.3413	FI				
3	Spectrogram 1	1	21.550884975	21.550884975	33112.299	33112.299	33187.500	33187.500	-83.87	0.0000	0.000	33187.500	21.5520	FF				
4	Spectrogram 1	1	60.616476161	60.953868043	8085.561	17326.203	11062.500	11062.500	-72.76	0.3374	9240.642	11062.500	60.8347		SA	A	0	SB
5	Spectrogram 1	1	60.627722557	60.627722557	9112.299	9112.299	9187.500	9187.500	-73.65	0.0000	0.000	9187.500	60.6267	FI				
6	Spectrogram 1	1	60.931375251	60.931375251	16299.465	16299.465	16312.500	16312.500	-74.29	0.0000	0.000	16312.500	60.9307	FF				
7	Spectrogram 1	1	71.940896994	72.289535273	8598.930	16556.150	11250.000	11250.000	-72.14	0.3486	7957.220	11250.000	72.0747		SA	A	0	SB
8	Spectrogram 1	1	71.963389787	71.963389787	9497.326	9497.326	9562.500	9562.500	-74.13	0.0000	0.000	9562.500	71.9627	FI				
9	Spectrogram 1	1	72.278288877	72.278288877	16171.123	16171.123	16125.000	16125.000	-91.67	0.0000	0.000	16125.000	72.2773	FF				
10	Spectrogram 1	1	73.419950983	73.798579651	7572.193	21176.471	11437.500	11250.000	-72.87	0.3786	13604.278	11437.500	73.6960		SA	A	0	SB
11	Spectrogram 1	1	73.434946178	73.434946178	8727.273	8727.273	8812.500	8812.500	-67.17	0.0000	0.000	8812.500	73.4347	FI				
12	Spectrogram 1	1	73.794830852	73.794830852	20021.390	20021.390	20062.500	20062.500	-84.21	0.0000	0.000	20062.500	73.7947	FF				
13	Spectrogram 1	1	75.144753474	75.572116526	8855.615	20534.759	11250.000	11250.000	-72.42	0.4274	11679.144	11250.000	75.4080		SA	A	0	SB
14	Spectrogram 1	1	75.167246267	75.167246267	9497.326	9497.326	9562.500	9562.500	-71.42	0.0000	0.000	9562.500	75.1680	FI				
15	Spectrogram 1	1	75.553372532	75.553372532	19251.337	19251.337	19312.500	19312.500	-88.75	0.0000	0.000	19312.500	75.5547	FF				
16	Spectrogram 1	1	77.362763501	77.745140967	9112.299	17839.572	11250.000	11250.000	-73.88	0.3824	8727.273	11250.000	77.5067		SA	A	0	SB
17	Spectrogram 1	1	77.377758695	77.377758695	10524.064	10524.064	10500.000	10500.000	-64.54	0.0000	0.000	10500.000	77.3787	FI				
18	Spectrogram 1	1	77.730145773	77.730145773	16812.834	16812.834	16875.000	16875.000	-77.15	0.0000	0.000	16875.000	77.7307	FF				
19	Spectrogram 1	1	79.342047091	79.705680565	9882.353	18481.283	11250.000	11250.000	-69.47	0.3636	8598.930	11250.000	79.5920		SA	A	0	SB
20	Spectrogram 1	1	79.357042286	79.357042286	10780.749	10780.749	10687.500	10687.500	-60.21	0.0000	0.000	10687.500	79.3573	FI				
21	Spectrogram 1	1	79.698182967	79.698182967	17454.545	17454.545	17437.500	17437.500	-79.80	0.0000	0.000	17437.500	79.6987	FF				
22	Spectrogram 1	1	89.363159297	89.749285563	8213.904	21561.497	11437.500	11437.500	-70.18	0.3861	13347.593	11437.500	89.5360		SA	A	0	SB
23	Spectrogram 1	1	89.381903291	89.381903291	8983.957	8983.957	9000.000	9000.000	-77.05	0.0000	0.000	9000.000	89.3813	FI				
24	Spectrogram 1	1	89.715546374	89.715546374	20919.786	20919.786	21000.000	21000.000	-93.37	0.0000	0.000	21000.000	89.7147	FF				
25	Spectrogram 1	1	88.240634595	88.630509659	6160.428	20149.733	7875.000	8437.500	-70.63	0.3899	13989.305	7875.000	88.4133		SA	A	0	SB
26	Spectrogram 1	1	88.263127387	88.263127387	6417.112	6417.112	6375.000	6375.000	-55.16	0.0000	0.000	6375.000	88.2640	FI				
27	Spectrogram 1	1	88.623012062	88.623012062	19379.679	19379.679	19312.500	19312.500	-68.47	0.0000	0.000	19312.500	88.6240	FF				
28	Spectrogram 1	1	92.708235129	93.113105387	6673.797	20534.759	10500.000	10312.500	-70.86	0.4049	13860.962	10500.000	93.0027		SA	A	0	SB
29	Spectrogram 1	1	92.745723115	92.745723115	7058.824	7058.824	7125.000	7125.000	-61.11	0.0000	0.000	7125.000	92.7467	FI				
30	Spectrogram 1	1	93.105607790	93.105607790	19508.021	19508.021	19500.000	19500.000	-77.08	0.0000	0.000	19500.000	93.1067	FF				
31	Spectrogram 1	1	94.937048856	95.334421517	8470.588	18866.310	10875.000	11062.500	-72.84	0.3974	10395.722	10875.000	94.9947		SA	A	0	SB
32	Spectrogram 1	1	94.948295252	94.948295252	9625.668	9625.668	9562.500	9562.500	-62.15	0.0000	0.000	9562.500	94.9493	FI				
33	Spectrogram 1	1	95.330672719	95.330672719	18352.941	18352.941	18375.000	18375.000	-74.83	0.0000	0.000	18375.000	95.3307	FF				
34	Spectrogram 1	1	99.512533929	99.868669805	7957.219	18096.257	11250.000	11250.000	-71.47	0.3561	10139.038	11250.000	99.7227		SA	A	0	SB
35	Spectrogram 1	1	99.535026721	99.535026721	9240.642	9240.642	9187.500	9187.500	-72.63	0.0000	0.000	9187.500	99.5360	FI				
36	Spectrogram 1	1	99.857423409	99.857423409	17069.519	17069.519	17062.500	17062.500	-68.25	0.0000	0.000	17062.500	99.8587	FF				
37	Spectrogram 1	1	100.183568895	100.400999219	8085.561	18096.257	11625.000	11250.000	-72.25	0.2174	10010.696	11625.000	100.3387		SA	A	0	SB
38	Spectrogram 1	1	100.198564090	100.198564090	9754.011	9754.011	9750.000	9750.000	-71.32	0.0000	0.000	9750.000	100.1973	FI				
39	Spectrogram 1	1	100.389752823	100.389752823	17197.861	17197.861	17250.000	17250.000	-94.90	0.0000	0.000	17250.000	100.3893	FF				
40	Spectrogram 1	1	101.851745995	102.275360248	6032.086	19893.048	10875.000	9562.500	-72.91	0.4236	13860.962	10875.000	102.1627		SA	A	0	SB
41	Spectrogram 1	1	101.885485184	101.885485184	6545.455	6545.455	6562.500	6562.500	-64.40	0.0000	0.000	6562.500	101.8853	FI				
42	Spectrogram 1	1	102.260365053	102.260365053	19122.995	19122.995	19125.000	19125.000	-78.65	0.0000	0.000	19125.000	102.2613	FF				
43	Spectrogram 1	1	114.130383518	114.580239361	5903.743	20534.759	9750.000	7312.500	-72.12	0.4499	14631.016	9750.000	114.4507		SA	A	0	SB
44	Spectrogram 1	1	114.145378713	114.145378713	6673.797	6673.797	6750.000	6750.000	-79.31	0.0000	0.000	6750.000	114.1467	FI				
45	Spectrogram 1	1	114.557746569	114.557746569	19764.706	19764.706	19687.500	19687.500	-71.80	0.0000	0.000	19687.500	114.5573	FF				
46	Spectrogram 1	1	115.466589746	115.845218414	5775.401	20791.444	8250.000	8250.000	-69.53	0.3786	15016.043	8250.000	115.6960		SA	A	0	SB
47	Spectrogram 1	1	115.492831336	115.492831336	6288.770	6288.770	6375.000	6375.000	-62.55	0.0000	0.000	6375.000	115.4933	FI				
48	Spectrogram 1	1	115.833972018	115.833972018	20021.390	20021.390	20062.500	20062.500	-80.46	0.0000	0.000	20062.500	115.8347	FF				
49	Spectrogram 1	1	116.272138770	116.557047471	10010.695	13604.278	10875.000	11250.000	-72.04	0.2849	3593.583	10875.000	116.4427		SA	A	0	SB
50	Spectrogram 1	1	116.287133965	116.287133965	10780.749	10780.749	10687.500	10687.500	-66.97	0.0000	0.000	10687.500	116.2880	FI				
51	Spectrogram 1	1	116.553298672	116.553298672	12962.567	12962.567	12937.500	12937.500	-78.57	0.0000	0.000	12937.500	116.5520	FF				
52	Spectrogram 1	1	118.415566233	118.872919673	6160.428	19251.337	9750.000	10312.500	-70.67	0.4574	13090.909	9750.000	118.6613		SA	A	0	SB
53	Spectrogram 1	1	118.434310226	118.434310226	6673.797	6673.797	6750.000	6750.000	-65.82	0.0000	0.000	6750.000	118.4347	FI				
54	Spectrogram 1	1	118.846678083	118.846678083	18994.652	18994.652	18937.500	18937.500	-57.85	0.0000	0.000	18937.500	118.8480	FF				
55	Spectrogram 1	1	120.109148818	120.480279889	6288.770	20406.417	10312.500	9187.500	-71.13	0.3711	14117.647	10312.500	120.4053		SA	A	0	SB
56	Spectrogram 1	1	120.139139208	120.139139208	6545.455	6545.455	6562.500	6562.500	-68.73	0.0000	0.000	6562.500	120.1387	FI				
57	Spectrogram 1	1	120.476531090	120.476531090	19508.021	19508.021	19500.000	19500.000	-58.38	0.0000	0.000	19500.000	120.4773	FF				
58	Spectrogram 1	1	127.696946546	128.128058396	6930.481	20406.417	10875.000	9375.000	-71.28	0.4311	13475.936	10875.000	128.0160		SA	A	0	SB
59	Spectrogram 1	1	127.723188137	127.723188137	7315.508	7315.508	7312.500	7312.500	-64.29	0.0000	0.000	7312.500	127.7227	FI				
60	Spectrogram 1	1	128.116812000	128.116812000	19893.048	19893.048	19875.000	19875.000	-68.19	0.0000	0.000	19875.000	128.1173	FF				
61	Spectrogram 1	1	172.159828005	172.598437452	9112.299	21304.813	11625.000	11812.500	-71.11	0.4386	12192.514	11625.000	172.4373		SA	A	0	SB
62	Spectrogram 1	1	172.182320797	172.182320797	10010.695	10010.695	9937.500	9937.500	-66.64	0.0000	0.000	9937.500	172.1813	FI				
63	Spectrogram 1	1	172.587191056	172.587191056	20278.075	20278.075	20250.000	20250.000	-79.65	0.0000	0.000	20250.000	172.5867	FF				
64	Spectrogram 1	1	178.466421968	178.826306643	9625.668	23229.947	11437.500	11437.500	-70.89	0.3599	13604.279	11437.500	178.6507		SA	A	0	SB
65	Spectrogram 1	1	178.488914761	178.488914761	10267.380	10267.380	10312.500	10312.500	-66.01	0.0000	0.000	10312.500	178.4880	FI				
66	Spectrogram 1	1	178.818809046	178.818809046	22331.551	22331.551	22312.500	22312.500	-76.46	0.0000	0.000	22312.500	178.8187	FF				
67	Spectrogram 1	1	186.310753428	186.704377291	8983.957	23101.604	11062.500	11250.000	-72.02	0.3936	14117.647	11062.500	186.3760		SA	A	0	SB
68	Spectrogram 1	1	186.333246221	186.333246221	9497.326	9497.326	9562.500	9562.500	-60.67	0.0000	0.000	9562.500	186.3333	FI				
69	Spectrogram 1	1	186.685633298	186.685633298	20663.102	20663.102	20625.000	20625.000	-80.59	0.0000	0.000	20625.000	186.6853	FF				
70	Spectrogram 1	1	187.232957907	187.630330569	7957.219	21689.840	11062.500	11250.000	-72.32	0.3974	13732.621	11062.500	187.3013		SA	A	0	SB
71	Spectrogram 1	1	187.240455504	187.240455504	9368.984	9368.984	9375.000	9375.000	-93.96	0.0000	0.000	9375.000	187.2400	FI				
72	Spectrogram 1	1	187.611586575	187.611586575	20663.102	20663.102	20625.000	20625.000	-77.42	0.0000	0.000	20625.000	187.6107	FF				
73	Spectrogram 1	1	192.549814249	192.913447722	7828.877	20663.102	11250.000	11250.000	-67.50	0.3636	12834.225	11250.000	192.7973		SA	A	0	SB
74	Spectrogram 1	1	192.557311846	192.557311846	9112.299	9112.299	9187.500	9187.500	-70.07	0.0000	0.000	9187.500	192.5573	FI				
