Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	45.928232760	46.314359026	9625.668	20021.390	12750.000	12562.500	-72.95	0.3861	10395.722	12750.000	46.0613		SA	A	0	SB
2	Spectrogram 1	1	45.935730358	45.935730358	10524.064	10524.064	10500.000	10500.000	-64.74	0.0000	0.000	10500.000	45.9360	FI				
3	Spectrogram 1	1	46.314359026	46.314359026	19379.679	19379.679	19312.500	19312.500	-83.18	0.0000	0.000	19312.500	46.3147	FF				
4	Spectrogram 1	1	173.153664035	173.599771079	7058.824	19122.995	9937.500	10500.000	-71.47	0.4461	12064.171	9937.500	173.1840		NA	A	0	SB
5	Spectrogram 1	1	173.176156827	173.176156827	7957.219	7957.219	7875.000	7875.000	-73.11	0.0000	0.000	7875.000	173.1760	FI				
6	Spectrogram 1	1	173.584775885	173.584775885	18609.626	18609.626	18562.500	18562.500	-72.71	0.0000	0.000	18562.500	173.5840	FF				
7	Spectrogram 1	1	427.150059860	427.547432521	8598.930	18609.626	8625.000	11625.000	-70.69	0.3974	10010.696	8625.000	427.3307		SA	A	0	SB
8	Spectrogram 1	1	427.168803853	427.168803853	8983.957	8983.957	9000.000	9000.000	-69.42	0.0000	0.000	9000.000	427.1680	FI				
9	Spectrogram 1	1	427.543683722	427.543683722	18224.599	18224.599	18187.500	18187.500	-80.97	0.0000	0.000	18187.500	427.5440	FF				
10	Spectrogram 1	1	572.567923458	572.931083192	10524.064	19764.706	12562.500	12562.500	-74.09	0.3632	9240.642	12562.500	572.7253		SA	A	0	SB
11	Spectrogram 1	1	572.583828264	572.583828264	10780.749	10780.749	10687.500	10687.500	-69.21	0.0000	0.000	10687.500	572.5840	FI				
12	Spectrogram 1	1	572.917829187	572.917829187	19122.995	19122.995	19125.000	19125.000	-76.34	0.0000	0.000	19125.000	572.9173	FF				
13	Spectrogram 1	1	579.505969398	579.755144690	11037.433	17454.545	11625.000	12937.500	-74.03	0.2492	6417.112	11625.000	579.5093		SA	A	0	SB
14	Spectrogram 1	1	579.519223403	579.519223403	11165.775	11165.775	11250.000	11250.000	-71.04	0.0000	0.000	11250.000	579.5200	FI				
15	Spectrogram 1	1	579.747192287	579.747192287	16556.150	16556.150	16500.000	16500.000	-70.15	0.0000	0.000	16500.000	579.7467	FF				
16	Spectrogram 1	1	623.892809607	624.324890167	5518.717	19251.337	8437.500	9000.000	-72.15	0.4321	13732.620	8437.500	623.9253		NA	A	0	SB
17	Spectrogram 1	1	623.906063612	623.906063612	6673.797	6673.797	6750.000	6750.000	-64.02	0.0000	0.000	6750.000	623.9067	FI				
18	Spectrogram 1	1	624.311636162	624.311636162	17967.914	17967.914	18000.000	18000.000	-78.13	0.0000	0.000	18000.000	624.3120	FF				
19	Spectrogram 1	1	646.005689810	646.360897141	9240.642	18866.310	10875.000	12562.500	-70.63	0.3552	9625.668	10875.000	646.1707		NA	A	0	SB
20	Spectrogram 1	1	646.021594616	646.021594616	10395.722	10395.722	10312.500	10312.500	-67.78	0.0000	0.000	10312.500	646.0213	FI				
21	Spectrogram 1	1	646.355595539	646.355595539	18224.599	18224.599	18187.500	18187.500	-81.40	0.0000	0.000	18187.500	646.3547	FF				
22	Spectrogram 1	1	650.049025700	650.436042643	9368.984	20021.390	15375.000	12375.000	-73.25	0.3870	10652.406	15375.000	650.3573		SA	A	0	SB
23	Spectrogram 1	1	650.067581307	650.067581307	10139.037	10139.037	10125.000	10125.000	-73.29	0.0000	0.000	10125.000	650.0667	FI				
24	Spectrogram 1	1	650.428090240	650.428090240	19764.706	19764.706	19687.500	19687.500	-71.51	0.0000	0.000	19687.500	650.4293	FF				
25	Spectrogram 1	1	651.085911564	651.488833312	8342.246	17582.888	9000.000	10875.000	-72.53	0.4029	9240.642	9000.000	651.1467		NA	A	0	SB
26	Spectrogram 1	1	651.104467170	651.104467170	8983.957	8983.957	9000.000	9000.000	-55.89	0.0000	0.000	9000.000	651.1040	FI				
27	Spectrogram 1	1	651.472928506	651.472928506	17454.545	17454.545	17437.500	17437.500	-75.03	0.0000	0.000	17437.500	651.4720	FF				
28	Spectrogram 1	1	662.452892197	662.755083509	7700.535	16042.781	11625.000	11062.500	-71.22	0.3022	8342.246	11625.000	662.6453		SA	A	0	SB
29	Spectrogram 1	1	662.471447804	662.471447804	8855.615	8855.615	8812.500	8812.500	-70.75	0.0000	0.000	8812.500	662.4720	FI				
30	Spectrogram 1	1	662.749781907	662.749781907	15272.727	15272.727	15187.500	15187.500	-107.20	0.0000	0.000	15187.500	662.7493	FF				
31	Spectrogram 1	1	766.343283884	766.618967185	8342.246	13475.936	9000.000	10875.000	-70.34	0.2757	5133.690	9000.000	766.4987		SA	A	0	SB
32	Spectrogram 1	1	766.356537889	766.356537889	9240.642	9240.642	9187.500	9187.500	-61.40	0.0000	0.000	9187.500	766.3573	FI				
33	Spectrogram 1	1	766.603062380	766.603062380	12577.540	12577.540	12562.500	12562.500	-70.46	0.0000	0.000	12562.500	766.6027	FF				
34	Spectrogram 1	1	770.508371142	770.847673667	9368.984	17326.203	10500.000	11625.000	-73.25	0.3393	7957.219	10500.000	770.5680		SA	A	0	SB
35	Spectrogram 1	1	770.521625147	770.521625147	10010.695	10010.695	9937.500	9937.500	-62.93	0.0000	0.000	9937.500	770.5227	FI				
36	Spectrogram 1	1	770.829118060	770.829118060	16812.834	16812.834	16875.000	16875.000	-77.49	0.0000	0.000	16875.000	770.8293	FF				
37	Spectrogram 1	1	804.119967494	804.567952859	8470.588	20534.759	9000.000	11625.000	-73.04	0.4480	12064.171	9000.000	804.2667		NA	A	0	SB
38	Spectrogram 1	1	804.130570698	804.130570698	9240.642	9240.642	9187.500	9187.500	-73.71	0.0000	0.000	9187.500	804.1307	FI				
39	Spectrogram 1	1	804.544095651	804.544095651	19636.364	19636.364	19687.500	19687.500	-83.92	0.0000	0.000	19687.500	804.5440	FF				
40	Spectrogram 1	1	829.623252081	830.007618222	8470.588	19508.021	10687.500	11812.500	-73.06	0.3844	11037.433	10687.500	829.8453		NA	A	0	SB
41	Spectrogram 1	1	829.649760090	829.649760090	8983.957	8983.957	9000.000	9000.000	-71.92	0.0000	0.000	9000.000	829.6507	FI				
42	Spectrogram 1	1	829.997015018	829.997015018	18609.626	18609.626	18562.500	18562.500	-78.09	0.0000	0.000	18562.500	829.9973	FF				
43	Spectrogram 1	1	940.477810417	940.827716146	8855.615	17454.545	12937.500	12187.500	-72.80	0.3499	8598.930	12937.500	940.6773		SA	A	0	SB
44	Spectrogram 1	1	940.499016825	940.499016825	9497.326	9497.326	9562.500	9562.500	-81.59	0.0000	0.000	9562.500	940.4987	FI				
45	Spectrogram 1	1	940.814462141	940.814462141	16812.834	16812.834	16875.000	16875.000	-78.64	0.0000	0.000	16875.000	940.8133	FF				
46	Spectrogram 1	1	943.989150740	944.328453265	7058.824	21818.182	9375.000	10500.000	-73.72	0.3393	14759.358	9375.000	944.1760		NA	A	0	SB
47	Spectrogram 1	1	944.007706347	944.007706347	8085.561	8085.561	8062.500	8062.500	-68.36	0.0000	0.000	8062.500	944.0080	FI				
48	Spectrogram 1	1	944.323151663	944.323151663	21176.471	21176.471	21187.500	21187.500	-73.56	0.0000	0.000	21187.500	944.3227	FF				
49	Spectrogram 1	1	945.038867927	945.351662442	9240.642	16299.465	9375.000	11625.000	-72.40	0.3128	7058.823	9375.000	945.2720		SA	A	0	SB
50	Spectrogram 1	1	945.052121932	945.052121932	9882.353	9882.353	9937.500	9937.500	-72.21	0.0000	0.000	9937.500	945.0533	FI				
51	Spectrogram 1	1	945.341059239	945.341059239	15529.412	15529.412	15562.500	15562.500	-82.01	0.0000	0.000	15562.500	945.3413	FF				
52	Spectrogram 1	1	995.740015696	995.941476570	11550.802	21048.128	13875.000	14437.500	-74.32	0.2015	9497.326	13875.000	995.7413		SA	A	0	SB
53	Spectrogram 1	1	995.761222104	995.761222104	12192.513	12192.513	12187.500	12187.500	-76.13	0.0000	0.000	12187.500	995.7600	FI				
54	Spectrogram 1	1	995.930873366	995.930873366	20534.759	20534.759	20625.000	20625.000	-74.38	0.0000	0.000	20625.000	995.9307	FF				
