Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	339.151025731	339.556598280	7572.193	18609.626	11812.500	11812.500	-76.47	0.4056	11037.433	11812.500	339.2693		SA	A	0	SB
2	Spectrogram 1	1	339.164279735	339.164279735	8855.615	8855.615	8812.500	8812.500	-73.43	0.0000	0.000	8812.500	339.1653	FI				
3	Spectrogram 1	1	339.543344275	339.543344275	18352.941	18352.941	18375.000	18375.000	-86.51	0.0000	0.000	18375.000	339.5440	FF				
4	Spectrogram 1	1	339.861440393	340.033742456	12834.225	17069.519	15000.000	15187.500	-78.00	0.1723	4235.294	15000.000	339.9067		SA	A	0	SB
5	Spectrogram 1	1	339.874694397	339.874694397	13219.251	13219.251	13312.500	13312.500	-69.56	0.0000	0.000	13312.500	339.8747	FI				
6	Spectrogram 1	1	340.015186849	340.015186849	16812.834	16812.834	16875.000	16875.000	-69.10	0.0000	0.000	16875.000	340.0160	FF				
7	Spectrogram 1	1	528.527837487	528.673631540	13219.251	20534.759	15937.500	15750.000	-82.92	0.1458	7315.508	15937.500	528.5947		SA	A	0	SB
8	Spectrogram 1	1	528.533139089	528.533139089	13989.305	13989.305	14062.500	14062.500	-75.15	0.0000	0.000	14062.500	528.5333	FI				
9	Spectrogram 1	1	528.663028336	528.663028336	20149.733	20149.733	20062.500	20062.500	-89.92	0.0000	0.000	20062.500	528.6640	FF				
10	Spectrogram 1	1	652.648811650	653.004018981	11935.829	21048.128	17625.000	17625.000	-77.75	0.3552	9112.299	17625.000	652.8107		SA	A	0	SB
11	Spectrogram 1	1	652.670018058	652.670018058	12705.882	12705.882	12750.000	12750.000	-70.56	0.0000	0.000	12750.000	652.6693	FI				
12	Spectrogram 1	1	652.980161772	652.980161772	20663.102	20663.102	20625.000	20625.000	-70.02	0.0000	0.000	20625.000	652.9813	FF				
13	Spectrogram 1	1	653.428147137	653.823116483	11037.433	22459.893	16312.500	15375.000	-81.28	0.3950	11422.460	16312.500	653.5547		SA	A	0	SB
14	Spectrogram 1	1	653.452004346	653.452004346	11550.802	11550.802	11625.000	11625.000	-75.59	0.0000	0.000	11625.000	653.4533	FI				
15	Spectrogram 1	1	653.809862478	653.809862478	21561.497	21561.497	21562.500	21562.500	-73.10	0.0000	0.000	21562.500	653.8107	FF				
16	Spectrogram 1	1	778.495859886	778.816606804	13347.594	18994.652	17062.500	16125.000	-79.14	0.3207	5647.058	17062.500	778.6533		SA	A	0	SB
17	Spectrogram 1	1	778.522367896	778.522367896	14117.647	14117.647	14062.500	14062.500	-79.98	0.0000	0.000	14062.500	778.5227	FI				
18	Spectrogram 1	1	778.790098794	778.790098794	18352.941	18352.941	18375.000	18375.000	-77.69	0.0000	0.000	18375.000	778.7893	FF				
19	Spectrogram 1	1	778.941194450	779.187718941	8855.615	18737.968	9000.000	11437.500	-79.27	0.2465	9882.353	9000.000	779.1520		NA	A	0	SB
20	Spectrogram 1	1	778.957099256	778.957099256	9368.984	9368.984	9375.000	9375.000	-82.80	0.0000	0.000	9375.000	778.9573	FI				
21	Spectrogram 1	1	779.179766538	779.179766538	18224.599	18224.599	18187.500	18187.500	-71.79	0.0000	0.000	18187.500	779.1787	FF				
22	Spectrogram 1	1	780.575552270	781.068601252	9882.353	18866.310	14062.500	12562.500	-77.43	0.4930	8983.957	14062.500	780.9147		SA	A	0	SB
23	Spectrogram 1	1	780.583504673	780.583504673	11165.775	11165.775	11250.000	11250.000	-73.93	0.0000	0.000	11250.000	780.5840	FI				
24	Spectrogram 1	1	781.060648849	781.060648849	17582.888	17582.888	17625.000	17625.000	-82.67	0.0000	0.000	17625.000	781.0613	FF				
25	Spectrogram 1	1	783.543663869	783.882966395	6417.112	19508.021	7312.500	9937.500	-73.32	0.3393	13090.909	7312.500	783.7333		NA	A	0	SB
26	Spectrogram 1	1	783.556917874	783.556917874	7187.166	7187.166	7125.000	7125.000	-72.27	0.0000	0.000	7125.000	783.5573	FI				
27	Spectrogram 1	1	783.875013992	783.875013992	19122.995	19122.995	19125.000	19125.000	-70.87	0.0000	0.000	19125.000	783.8747	FF				
28	Spectrogram 1	1	789.161204586	789.495205509	11294.118	19122.995	13687.500	15187.500	-70.89	0.3340	7828.877	13687.500	789.2053		SA	A	0	SB
