Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Center Freq (Hz)	Avg Power Density (dB FS)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	Peak Time (s)	observacoes	PF_check	modulacao	Pi	sobreposicao
1	Spectrogram 1	1	6.488221116	6.782460025	12449.198	26181.818	16687.500	16687.500	-85.12	0.2942	13732.620	16687.500	6.5600		SA	M	2	SB
2	Spectrogram 1	1	6.501475121	6.501475121	12834.225	12834.225	12750.000	12750.000	-85.25	0.0000	0.000	12750.000	6.5013	FI				
3	Spectrogram 1	1	6.769206020	6.769206020	25283.422	25283.422	25312.500	25312.500	-101.29	0.0000	0.000	25312.500	6.7680	FF				
4	Spectrogram 1	1	45.415350989	45.598256256	9754.011	17326.203	9937.500	12187.500	-80.91	0.1829	7572.192	9937.500	45.4267		NA	A	0	SB
5	Spectrogram 1	1	45.428604994	45.428604994	10267.380	10267.380	10312.500	10312.500	-73.01	0.0000	0.000	10312.500	45.4293	FI				
6	Spectrogram 1	1	45.582351450	45.582351450	16684.492	16684.492	16687.500	16687.500	-84.41	0.0000	0.000	16687.500	45.5813	FF				
7	Spectrogram 1	1	69.024313783	69.241679463	3721.925	21433.155	9937.500	10125.000	-76.13	0.2174	17711.230	9937.500	69.1227		SA	A	0	SB
8	Spectrogram 1	1	69.042869389	69.042869389	4363.636	4363.636	4312.500	4312.500	-78.15	0.0000	0.000	4312.500	69.0427	FI				
9	Spectrogram 1	1	69.233727060	69.233727060	20919.786	20919.786	21000.000	21000.000	-86.29	0.0000	0.000	21000.000	69.2347	FF				
10	Spectrogram 1	1	74.385943121	74.833928486	13475.936	27465.241	17625.000	18375.000	-86.93	0.4480	13989.305	17625.000	74.4773		SA	A	0	SB
11	Spectrogram 1	1	74.404498728	74.404498728	14374.332	14374.332	14437.500	14437.500	-79.99	0.0000	0.000	14437.500	74.4053	FI				
12	Spectrogram 1	1	74.820674481	74.820674481	25925.134	25925.134	25875.000	25875.000	-87.44	0.0000	0.000	25875.000	74.8213	FF				
13	Spectrogram 1	1	75.512533537	75.899550479	12192.513	22973.262	14625.000	17625.000	-83.46	0.3870	10780.749	14625.000	75.5440		SA	A	0	SB
14	Spectrogram 1	1	75.523136741	75.523136741	12962.567	12962.567	12937.500	12937.500	-75.97	0.0000	0.000	12937.500	75.5227	FI				
15	Spectrogram 1	1	75.883645673	75.883645673	22331.551	22331.551	22312.500	22312.500	-81.27	0.0000	0.000	22312.500	75.8827	FF				
16	Spectrogram 1	1	78.756560194	79.252259976	8342.246	23229.947	12750.000	11437.500	-83.50	0.4957	14887.701	12750.000	78.9173		SA	AC	1	SB
17	Spectrogram 1	1	78.780417402	78.780417402	8727.273	8727.273	8812.500	8812.500	-83.88	0.0000	0.000	8812.500	78.7813	FI				
18	Spectrogram 1	1	79.236355170	79.236355170	22588.235	22588.235	22500.000	22500.000	-88.66	0.0000	0.000	22500.000	79.2373	FF				
19	Spectrogram 1	1	79.650916411	80.133362189	8470.588	22588.235	9937.500	11062.500	-82.44	0.4824	14117.647	9937.500	79.8027		SA	AC	1	SB
20	Spectrogram 1	1	79.674773620	79.674773620	8598.930	8598.930	8625.000	8625.000	-81.90	0.0000	0.000	8625.000	79.6747	FI				
21	Spectrogram 1	1	80.112155781	80.112155781	22203.209	22203.209	22125.000	22125.000	-80.68	0.0000	0.000	22125.000	80.1120	FF				
22	Spectrogram 1	1	80.048536558	80.432902699	10395.722	22203.209	16875.000	14812.500	-82.71	0.3844	11807.487	16875.000	80.1627		SA	A	0	SB
23	Spectrogram 1	1	80.061790563	80.061790563	10909.091	10909.091	10875.000	10875.000	-69.81	0.0000	0.000	10875.000	80.0613	FI				
24	Spectrogram 1	1	80.411696292	80.411696292	21433.155	21433.155	21375.000	21375.000	-85.34	0.0000	0.000	21375.000	80.4107	FF				
